mass	cl	exp	ps1	ps2	ns1
5.0	1187648456.057007	17572684.08551069	1205221140.1425178	1205221140.1425178	13124703.087885987
7.0	33791.970802919706	236434.30656934308	18484609.489051096	18484609.489051096	199850.36496350367
10.0	9060.515021459229	4408.726752503577	13324.034334763948	719716.3090128755	3428.0400572246067
12.0	1771.2550607287449	824.6963562753036	3400.323886639676	4480.161943319838	503.6842105263157
14.0	1172.8899835796387	521.871921182266	1408.9490968801315	1916.9293924466338	417.6190476190476
17.0	135.76729559748426	230.2893081761006	605.8993710691824	801.9119496855345	189.49685534591194
21.0	88.87696335078535	94.68848167539268	280.520942408377	13183.693717277487	68.39528795811519
33.0	41.81645983017635	25.95950359242325	76.07054212932722	3291.798824297844	17.895493141737425
200.0	13.294167134043748	7.727425687044308	21.57571508693214	29.288278182837914	4.611609646662928
400.0	12.37357630979499	12.775398633257403	33.023234624145786	46.262414578587695	11.087927107061503
