mass	cl	exp	ps1	ps2	ns1
5.0	1.8724771005987548	1.762341885086641	100.89394900670129	100.89394900670129	1.3399024544985925
7.0	0.03410902187174144	0.058988913439734655	4.08812115117143	4.08812115117143	0.05042539578165971
10.0	0.004703434179671186	0.0038065542311246574	0.011176602541231932	0.40423514095606805	0.0025619420978661885
12.0	0.0003148653633756575	0.0013535659512032496	0.0038550814409497934	0.17542773853836463	0.001161353249832506
14.0	0.0001895111710691467	0.0006547675895737487	0.0019464006064357474	0.10055522677204434	0.00048122051188196073
17.0	0.00015894832810860838	0.0003591141164835734	0.0010844062015212552	0.0015040409779886873	0.0003002486825624475
21.0	7.209571896540176e-05	0.00027362662137410827	0.0007632032889500033	0.0010185033471184538	0.00019191558601108918
33.0	0.00016195662552579294	0.0001441777786906958	0.0004744152398474921	0.023830357948018084	0.00010387811175060219
200.0	0.0005065402199998229	0.00028143179289477643	0.0008709164353045574	0.04050666089568713	0.0002164841379854079
400.0	0.00015760735797703418	0.0004415117154588797	0.001342936222654164	0.001774591237564385	0.000306028442215521
