mass	cl	exp	ps1	ps2	ns1
5.0	0.012156253630741512	0.011116880276639183	0.9346759295945076	0.9346759295945076	0.0085996277318184
7.0	0.023399186318566894	0.0002778185391603447	0.023677004857727238	0.023677004857727238	0.00017057070858782523
10.0	3.148751118657661e-06	1.2122781074015475e-05	3.37233565755006e-05	0.0014999091724261517	8.960342320557374e-06
12.0	3.6818726085440196e-06	3.7780287271830085e-06	1.0880191345210377e-05	1.3325319138364761e-05	2.9316018407424315e-06
14.0	2.1479503954163465e-06	1.872960052042647e-06	5.176446216695482e-06	6.528653597528952e-06	1.5156372705331097e-06
17.0	7.336816462905735e-07	8.84899797282694e-07	2.4210256255286713e-06	3.329027851970633e-06	5.14072381324286e-07
21.0	6.044140927829152e-07	4.37330964026395e-07	1.1600434289475577e-06	1.4644539157389777e-05	3.1774036867897975e-07
33.0	4.854087382062349e-07	2.0421390781385923e-07	6.562397899312434e-07	2.8423027169733388e-05	1.526073421204608e-07
200.0	6.463983313759708e-08	2.3452386806534712e-07	6.899576638291025e-07	3.3214030570920996e-05	1.733666708355716e-07
400.0	4.209300661531641e-07	4.098520146750391e-07	1.3132635237145783e-06	6.0226544661138615e-05	3.026485381140471e-07
