mass	cl	exp	ps1	ps2	ns1
5.0	637.9178361826996	8.328400102066853	646.2462362847665	646.2462362847665	5.924342944628731
7.0	22.608679924396572	0.40552284833193153	23.014202772728503	23.014202772728503	0.3587907069282038
10.0	0.011049508384786062	0.019152269051432042	0.050090733417185174	2.0080478671481385	0.016195974634421097
12.0	0.0041542807313640915	0.006990321181826377	0.01887394897777083	0.8248587173239086	0.005889633894298363
14.0	0.004106784488169989	0.0028665407872504206	0.009179871208850566	0.010767778729375496	0.0024502792189098907
17.0	0.0008237007015130145	0.001921185017076728	0.005350929746854651	0.006389917563433828	0.0014582627229760298
21.0	0.00027439486825802105	0.0010448256960983112	0.0031176761230920207	0.003925250875867855	0.0008571313311075608
33.0	0.0011912918171044786	0.0006434551883557859	0.0018631055653736371	0.0024029903610023233	0.0004531830106887469
200.0	0.0003221065387845286	0.0014082783030380307	0.003771887181336486	0.1570604184327996	0.0011564954011641284
400.0	0.003757160874312451	0.002088159307246467	0.006018845864335155	0.2889074696811912	0.0018689719902586985
