mass	cl	exp	ps1	ps2	ns1
5.0	1.684021241348972e-06	1.2370325856147688e-06	9.284057708397593e-05	9.284057708397593e-05	1.0423200914290524e-06
7.0	6.106415408533612e-08	4.8742570776743034e-08	3.7478069083909976e-06	3.7478069083909976e-06	3.997430867086221e-08
10.0	6.822533907501884e-09	3.422192474367653e-09	1.0168356629784626e-08	3.6639629934181344e-07	2.36354219427806e-09
12.0	5.942071990911813e-10	1.2136465251760664e-09	3.482722243237654e-09	3.466108484186093e-08	9.817676608555152e-10
14.0	1.0227306270769924e-09	5.948469724717744e-10	1.8836910022877674e-09	1.948334858918786e-08	4.234757944606008e-10
17.0	-1.0333495883774695e-09	2.9444263171227617e-10	9.523969816239786e-10	1.244886582614221e-09	2.2001046086144704e-10
21.0	1.3700457619148903e-10	2.1206452073233426e-10	6.306245985697788e-10	8.598533646845715e-10	1.6951710055622432e-10
33.0	9.940818525696591e-11	1.8620896431192567e-10	4.707943372402227e-10	5.882606690395469e-10	1.571383491633807e-10
200.0	3.383315854014424e-12	3.3347392787804636e-10	9.963140802547059e-10	4.294450483486072e-08	1.775090325523084e-10
400.0	1.3812046189091145e-09	8.655394631401459e-10	2.273363206050302e-09	8.12372906740143e-08	7.723564547862584e-10
