mass	cl	exp	ps1	ps2	ns1
5.0	0.4034810451345416	1.368342193304735	103.99349356540303	inf	0.9130149216970094
7.0	2.5792074611313436	0.03848332284455633	2.6176907839759	2.6176907839759	0.027856988104695193
10.0	0.0014032624154994297	0.0013460127723566157	0.0038189582774810077	0.00453283418881488	0.0011559775573644977
12.0	0.0005758254369894847	0.0003192694369794633	0.0010406780188643877	0.0014366387792527943	0.00021849941868203586
14.0	0.00022925651132337533	0.0001708873541253369	0.0004666682626383639	0.0006530220732531717	0.00013509308504924404
17.0	5.9280078779422054e-05	7.970983364443093e-05	0.0002585429664659583	0.0003345905196263184	5.6244206809659925e-05
21.0	4.149071278115561e-06	4.9720388814645544e-05	0.0001350584320897082	0.006896372662932733	4.339682077427008e-05
33.0	1.6566777512864385e-05	1.7917081861924467e-05	5.825552168734823e-05	0.0027359210050907578	1.4073280713694252e-05
200.0	2.5007100882814973e-05	1.8447477807805645e-05	4.84692385647172e-05	6.700431737876017e-05	1.4495975600316532e-05
400.0	2.2141218211296163e-05	3.3348217221125825e-05	8.4088804171589e-05	0.0009799136365133472	2.6240886175299757e-05
