mass	cl	exp	ps1	ps2	ns1
5.0	inf	inf	inf	inf	nan
7.0	inf	inf	inf	inf	nan
10.0	26234722.222222224	56640277.77777778	163672222.22222224	7001084722.222222	45725000.0
12.0	-16366612.111292964	4959574.468085106	15934533.551554829	179744026.1865794	4033060.556464812
14.0	2055445.0261780105	1488324.6073298429	4422722.513089006	6525235.6020942405	1007748.6910994763
17.0	443508.40336134454	664600.8403361344	1831722.6890756302	2765441.176470588	523004.20168067224
21.0	593464.7550776583	459522.10274790926	1211768.219832736	1570418.1600955795	333094.384707288
33.0	35714285.71428572	257142.85714285716	755157.142857143	35971428.571428575	200264.28571428574
50.0	149700.59880239522	257263.4730538922	749784.4311377245	30197383.233532935	184976.0479041916
200.0	140222.22222222222	201644.44444444444	646088.8888888889	771562.9629629629	117340.74074074074
400.0	47342.73318872017	258839.47939262472	689425.1626898048	899088.9370932755	192245.11930585682
