Energy  Quenched
0.1 0.0132059
0.16622073905334445 0.020715596691605474
0.23244147810668894 0.029194482541648283
0.29866221716003344 0.03868252381247243
0.3648829562133779 0.050111279186594915
0.4311036952667224 0.06240687851451892
0.49732443432006684 0.07563599421742273
0.5635451733734114 0.09035676932009395
0.6297659124267558 0.10576635755578306
0.6959866514801003 0.12194262725025592
0.7622073905334447 0.13930967081432
0.8284281295867891 0.15725501010166296
0.8946488686401337 0.175867011019996
0.9608696076934782 0.19547909959273282
1.0270903467468226 0.2155965694970808
1.0933110858001671 0.2363170387468723
1.1595318248535116 0.25790250541178533
1.225752563906856 0.2799397748050193
1.2919733029602005 0.30253429097002044
1.358194042013545 0.3258905671449788
1.4244147810668895 0.34965612095628174
1.490635520120234 0.37394257700409583
1.5568562591735784 0.3981988992345479
1.6230769982269229 0.42171317896729577
1.6892977372802676 0.44384944761804784
1.755518476333612 0.46684064492942534
1.8217392153869565 0.4898896384728992
1.887959954440301 0.5127197087504809
1.9541806934936454 0.5371381887379418
2.02040143254699 0.5641659827139821
2.086622171600334 0.5962612545317056
2.152842910653679 0.6242489412184973
2.219063649707023 0.6515629743226481
2.2852843887603678 0.6797829422702308
2.351505127813712 0.7091022060402611
2.4177258668670567 0.7387769142240501
2.483946605920401 0.7685647578444977
2.5501673449737456 0.7988604703206742
2.61638808402709 0.8292908395054139
2.6826088230804346 0.8596364931766091
2.748829562133779 0.8932117340873321
2.8150503011871235 0.9274642536643488
2.8812710402404678 0.9601086808268939
2.947491779293812 0.9949806814021477
3.0137125183471567 1.0297343320463146
3.079933257400501 1.0606709395928218
3.1461539964538456 1.0912129957196701
3.21237473550719 1.1218967004643696
3.278595474560535 1.1539433235755407
3.3448162136138793 1.1856841474950788
3.411036952667224 1.217178681840951
3.477257691720568 1.2481719319977
3.543478430773913 1.2820278298372687
3.609699169827257 1.3172905055494912
3.675919908880602 1.352025269805142
3.742140647933946 1.3872859493470084
3.8083613869872908 1.4227799228746674
3.874582126040635 1.4578087072117147
3.9408028650939797 1.4935131869947191
4.007023604147324 1.5296094388132786
4.073244343200669 1.5654600225219781
4.139465082254014 1.601740976899166
4.205685821307357 1.6384690835661875
4.271906560360701 1.6768514570810233
4.3381272994140465 1.710351233351019
4.404348038467392 1.7406808686643453
4.470568777520735 1.7770923422314846
4.53678951657408 1.817530612224874
4.603010255627424 1.8608078788608107
4.669230994680769 1.8960554137763832
4.735451733734113 1.9331628502541862
4.801672472787458 1.9718571856508547
4.867893211840802 2.0094910033932964
4.9341139508941465 2.047893617169635
5.000334689947491 2.0870255885481592
5.066555429000836 2.1273070019069187
5.13277616805418 2.1673858585471026
5.198996907107524 2.207258027738512
5.265217646160869 2.2479578088597023
5.331438385214214 2.285727686373648
5.397659124267558 2.320241935568251
5.463879863320902 2.359858908244928
5.5301006023742465 2.401533652613274
5.596321341427592 2.445453299596363
5.662542080480936 2.483539252689556
5.72876281953428 2.5223019394285173
5.794983558587624 2.562392718659427
5.8612042976409695 2.598465812907349
5.927425036694314 2.637275089800507
5.993645775747658 2.6804218445259647
6.059866514801002 2.728984259262232
6.126087253854347 2.7726631746440717
6.192307992907692 2.8079428182098085
6.258528731961036 2.853937766303854
6.32474947101438 2.89889180833927
6.390970210067725 2.9397430067896884
6.4571909491210695 2.9829650463134594
6.523411688174414 3.026920708738039
6.589632427227759 3.0715333531012776
6.655853166281103 3.109604811972268
6.722073905334447 3.149174209797003
6.788294644387792 3.1941681753951374
6.854515383441137 3.232534355893202
6.920736122494481 3.2729304088393048
6.986956861547825 3.320899795458804
7.0531776006011695 3.361077007276766
7.119398339654515 3.401860762186256
7.185619078707859 3.448720540994521
7.251839817761203 3.49037108590121
7.318060556814547 3.5336616434426027
7.3842812958678925 3.585179012135446
7.450502034921237 3.625681474642362
7.516722773974581 3.6650811908622365
7.582943513027925 3.7113653910344917
7.64916425208127 3.7565762942301655
7.715384991134615 3.801931111727624
7.781605730187959 3.8489915600787263
7.847826469241303 3.8901262410401776
7.914047208294648 3.9317587539107937
7.980267947347992 3.983706193739011
8.046488686401338 4.0229373505285455
8.11270942545468 4.059078328447045
8.178930164508026 4.104944062671928
8.24515090356137 4.150969541695892
8.311371642614715 4.199268084411509
8.377592381668059 4.258171186334614
8.443813120721403 4.302789306668968
8.51003385977475 4.340689009397875
8.576254598828093 4.3818829588538195
8.642475337881436 4.425122758137515
8.708696076934782 4.470203089844429
8.774916815988126 4.5198955433250765
8.84113755504147 4.566972820543011
8.907358294094815 4.612269455565594
8.97357903314816 4.656078031348396
9.039799772201505 4.7022101706703525
9.10602051125485 4.749506512825358
9.172241250308192 4.793017383943312
9.238461989361538 4.847941024649518
9.304682728414882 4.908758704300607
9.370903467468226 4.938736425053196
9.43712420652157 4.974605533150758
9.503344945574916 5.016016759666994
9.56956568462826 5.074787976951166
9.635786423681605 5.124120180143309
9.702007162734947 5.165560535638574
9.768227901788293 5.2112426502978035
9.834448640841638 5.256108671326645
9.900669379894982 5.300342692758988
9.966890118948326 5.356431792910973
10.033110858001672 5.408541162310408
10.099331597055016 5.456671149888731
10.165552336108359 5.507766737125721
10.231773075161703 5.553568288220169
10.29799381421505 5.593597615997343
10.364214553268393 5.640750173406912
10.430435292321738 5.692492791621765
10.496656031375082 5.749369646751818
10.562876770428428 5.7888789821942135
10.629097509481772 5.835217237747495
10.695318248535115 5.891446369816287
10.76153898758846 5.917369456933343
10.827759726641805 5.958077961409121
10.893980465695149 6.022467570594256
10.960201204748493 6.076683304023626
11.02642194380184 6.1248624507165115
