Energy  Quenched
0.1 0.011146699999999999
0.925 0.030951750000000004
1.75 0.0630606
2.575 0.11571149999999998
3.4 0.18777000000000002
4.225 0.284124110598894
5.05 0.38972845
5.875 0.50850325
6.7 0.655318
7.525 0.80480595
8.35 0.9608920000000001
9.175 1.148793013480908
10.0 1.3331159
10.825 1.5299194999999999
11.65 1.7362462659464004
12.475 1.9607629500000003
13.3 2.177817
14.125 2.4315478841698424
14.95 2.6569878
15.775 2.9124087499999995
16.6 3.2097235491550835
17.425 3.450207
18.25 3.732135305940238
19.075 4.01945047205628
19.9 4.300665
