Wavelength  Distance
262.8879199794819 0.006768999582592504
263.88054578220203 0.006451397582090218
264.87499192454294 0.006144533768009616
265.86546775030257 0.005837784005677777
266.8575891694871 0.0055518965367241544
267.8513098582348 0.005296156752058253
268.8407064172058 0.005055090808641031
269.83151983151987 0.004807703900793346
270.823700376511 0.0045738374190612595
271.817197410002 0.00434216783824287
272.81195936654393 0.0041100688161355235
273.8018387017786 0.00390863512464492
274.7927883648712 0.003736474143295448
275.7847533632287 0.003574429873492486
276.77767776777677 0.003409492171783825
277.7715047085658 0.003257148943917529
278.75985858036444 0.0031080405769746324
279.75527099870357 0.0029696999168763324
280.74500136948785 0.0028506531302874725
281.73530624398734 0.0027415960153607754
282.73262228760575 0.0026364160062794504
283.7239343052223 0.0025259276603407303
284.71563158260227 0.0024184294490781437
285.70764906738515 0.00232176658126783
286.69992074961544 0.0022441328892855213
287.69237966038264 0.0021842720550965243
288.6849578707724 0.0021293794928208113
289.677586491133 0.0020739169938915713
290.6701956706683 0.0020166052716895965
291.65579873378704 0.00196092137766633
292.6481084939329 0.0019127510887716607
293.6401833460657 0.0018791696215998126
294.63194960116897 0.0018484619973136954
295.63043791760805 0.0018149412836676447
296.6214097957412 0.001772065972012414
297.61184640325195 0.0017233903218870398
298.60167022722857 0.001674983596745569
299.59810010960905 0.001635174741693183
300.58651026392965 0.0016163323052840399
301.5814637734461 0.0016229958062777715
302.5681393289383 0.0016416692845854914
303.56129223327326 0.0016569019395627192
304.553445415604 0.0016664028165215795
305.54451510333865 0.0016686986690796313
306.5420560747663 0.0016699220113323154
307.53075307530753 0.0016802675424247727
308.5258484460832 0.0017070745184075752
309.5118268746854 0.0017386759180058105
310.50412743291344 0.001757291428325122
311.50281112292964 0.0017506601634866407
312.4920606691903 0.0017310015818931595
313.4876134162504 0.0017117113028760672
314.4734487254877 0.0017071528037031008
315.4655039753783 0.0017412013336506856
316.45569620253167 0.0018282107020980603
317.45212409022866 0.001973101165180218
318.4466019417476 0.0021517817535865597
319.43903389170237 0.002337633448058451
320.42932319074663 0.002503677008197017
321.41737221699594 0.0026348874628486594
322.4115334207077 0.0027549675137976087
323.40336023979177 0.0028843968266387076
324.392752591186 0.0030500496307271883
325.38821724293007 0.0032538438564118474
326.3811494984875 0.0034502264175055516
327.3714468221016 0.003593271206289184
328.3677719045331 0.00361410992740089
329.35254110212605 0.003643345231343207
330.3521070018532 0.003687921569316222
331.3399062550509 0.00380172059113119
332.33363054227124 0.004072114672986885
333.3243001544673 0.004665827834115978
334.320893696828 0.005787441969718057
335.3051822370035 0.007805231174762789
336.30447859134904 0.011441474554178545
337.2912496229468 0.01796077456641153
338.2838283828383 0.03668786181575122
339.27290781706847 0.05429973573598759
340.2677879827377 0.0786511975007311
341.25905168826125 0.10853139864575335
342.2561077411097 0.13713108459626838
343.2494279176201 0.16310139149558395
344.23889619657996 0.18468193405857763
345.22439585730723 0.20273863819774524
346.22529978044247 0.21945341485478345
347.212420606916 0.23518953127885012
348.20518627561995 0.2492551456958048
349.1937315466727 0.26171189422279156
350.1879057055005 0.27204491692000093
351.1777301927195 0.2822519491550563
352.1731661226593 0.2889201610323923
353.1641208223269 0.2960252701763017
354.16066801036567 0.3026007883831508
355.15260012127163 0.30929212353277324
356.13979210701564 0.3158102924554798
357.1324874422926 0.32399252063480194
358.12030513014616 0.332529439838822
359.11360252255406 0.3398859763270259
360.112425342546 0.34970543036206975
361.10621807292586 0.35947204789712334
362.0948511878477 0.3740674128335981
363.0889125044279 0.38777516033941145
364.0776699029126 0.40146125027758606
365.07182713997383 0.4157597507148725
366.06053391268114 0.4323208752956853
367.0546105640108 0.44911809395952984
368.0430879712747 0.46768921614930203
369.036903690369 0.48738517935534853
370.0249691645859 0.51085502628432
371.0183397683398 0.5345899205571193
372.01705834316306 0.5623982808905209
373.0098559514784 0.5948968896305211
373.9965945025541 0.6298338299658578
374.98856742172495 0.6693890604602755
375.9858164700129 0.7152562665924747
376.9768297168077 0.7701099996204619
377.9614663675752 0.8324082646811789
378.962935576301 0.9068393029116534
379.94625150588456 1.000441226580704
380.94648166501486 1.11236181188903
381.9282720074523 1.2440764206379318
