x	low_nr	mid_nr	high_nr	low_er	mid_er	high_er
2.7090301003344486	2.553584436776693	2.806057843328398	3.045636421752013	3.0478613485038393	3.178193369019426	3.311646438097987
3.0100334448160537	2.5751239869490297	2.8226501534062534	3.057404740685694	3.056200204938131	3.1860201377731583	3.318917132555053
3.311036789297659	2.5957556184537767	2.8385778775873076	3.068747438279527	3.0643574294419236	3.1937087737746035	3.32608971759133
3.6120401337792645	2.6155361500736194	2.8538805683915327	3.079687440155583	3.0723396950801836	3.201263189379006	3.3331661251663247
3.91304347826087	2.634517756408922	2.8685947007920936	3.0902460544922166	3.0801533519859676	3.208687150576462	3.3401482368450925
4.214046822742475	2.652748432876289	2.882753965830382	3.100443112193701	3.087804446661603	3.2159842837730825	3.3470378854307503
4.51505016722408	2.670272405934397	2.8963895312454464	3.1102970927314817	3.0952987399118963	3.2231580821986094	3.3538368565339223
4.816053511705686	2.6871304959192073	2.909530273361681	3.119825237337208	3.1026417235211605	3.230211911964266	3.360546890081965
5.117056856187292	2.703360438755075	2.9222029838658843	3.129043651006249	3.1098386357755414	3.2371490177929285	3.3671696817706422
5.418060200668897	2.7189971718788226	2.934432554589821	3.1379673945812474	3.1168944759228445	3.2439725284421015	3.3737068844607867
5.719063545150502	2.734073088936672	2.946242142980177	3.1466105680232856	3.123814017653765	3.250685461838745	3.380160109522381
6.0200668896321075	2.7486182671617696	2.9576533205704623	3.154986385839108	3.1306018216809166	3.2572907299436618	3.3865309281283373
6.321070234113713	2.7626606707910133	2.968686206457737	3.1631072455131113	3.137262247485329	3.26379114336191	3.392820872500173
6.622073578595318	2.7762263334160866	2.9793595875217807	3.1709847896894487	3.143799464293993	3.2701894157145865	3.3990314371076407
6.923076923076923	2.7893395217706893	2.9896910268979644	3.178629962760205	3.1502174613465486	3.2764881677862623	3.405164079824298
7.224080267558529	2.802022883121996	2.999696962021353	3.1860530624380634	3.1565200575042454	3.2826899314613875	3.4112202230408926
7.5250836120401345	2.814297578149743	3.009392793393333	3.1932637868245513	3.162710910249813	3.2887971534620917	3.4172012547383397
7.82608695652174	2.826183400953096	3.0187929650790686	3.200271277426258	3.1687935241228224	3.294812198898969	3.4231085295219996
8.127090301003346	2.83769888761696	3.0279110378207545	3.2070841585202468	3.1747712586314085	3.3007373546456744	3.428943369618877
8.42809364548495	2.848861414590266	3.036759755545032	3.2137105732251046	3.1806473356779024	3.3065748325474504	3.434707065839273
8.729096989966555	2.8596872879744555	3.0453511059505542	3.2201582165948435	3.186424846532849	3.312326772473036	3.440400878504371
