s1c 	 mean 	 psig1 	 nsig1
4.056851498858867 	 3.2365160613391 	 3.407013766739196 	 3.0660183559390037 
5.965831625611643 	 3.3256353770231257 	 3.4738964136553654 	 3.177374340390886 
7.973043161180729 	 3.402394342710269 	 3.529010071728068 	 3.2757786136924705 
9.975369458128078 	 3.4602989379834805 	 3.5722574447920312 	 3.34834043117493 
11.985377068983993 	 3.5055923456116607 	 3.6074409767451465 	 3.403743714478175 
13.982823467889538 	 3.542902009292223 	 3.637295888307099 	 3.4485081302773475 
15.986529228152772 	 3.5749133318123842 	 3.663652325434263 	 3.4861743381905055 
17.98828033606296 	 3.603076199085398 	 3.6870735404144743 	 3.519078857756322 
19.99023134012105 	 3.628420742374688 	 3.7086567975752502 	 3.548184687174126 
21.990908990244606 	 3.650687057768329 	 3.727325281844503 	 3.5740488336921548 
23.99801816125673 	 3.6703904614213254 	 3.7439864156055194 	 3.5967945072371315 
25.989925774831434 	 3.688814295427504 	 3.760257792298253 	 3.617370798556755 
27.991956980809842 	 3.70590062774784 	 3.7754341084445904 	 3.63636714705109 
29.98627326116182 	 3.721563067525177 	 3.7889867449052566 	 3.654139390145098 
32.004120028578235 	 3.735884674922602 	 3.801547747176491 	 3.6702216026687124 
33.99524586843328 	 3.7493109190129528 	 3.8134238640659626 	 3.685197973959943 
35.99328681105447 	 3.762196279422931 	 3.824918898459674 	 3.6994736603861877 
37.99827401789187 	 3.7741996061843657 	 3.835692759789681 	 3.7127064525790505 
39.99503205912584 	 3.7853103739415603 	 3.845551576827468 	 3.7250691710556527 
41.99169229243131 	 3.795872309294712 	 3.8552201159062514 	 3.736524502683173 
44.002270459081835 	 3.8063789296407187 	 3.8647649726229045 	 3.747992886658533 
45.998154475397165 	 3.816331521061427 	 3.8737017292021587 	 3.758961312920695 
47.99200362670159 	 3.825210203876038 	 3.881394100045571 	 3.769026307706505 
49.99195106657965 	 3.8338994139250393 	 3.88921905057747 	 3.7785797772726086 
52.00157135497167 	 3.842644448737764 	 3.8973535766654956 	 3.787935320810032 
53.994127386557665 	 3.850888265121334 	 3.9049394310019547 	 3.7968370992407134 
56.00183128774596 	 3.8585993571011117 	 3.911927876988792 	 3.805270837213431 
57.993094625817484 	 3.8659601276645734 	 3.918793556530856 	 3.813126698798291 
60.00319698121118 	 3.8735943109457303 	 3.925841191736563 	 3.8213474301548973 
61.99195576328089 	 3.8804867684813376 	 3.9321370819098327 	 3.8288364550528424 
63.99749853637767 	 3.887298552344456 	 3.9384283318478004 	 3.8361687728411114 
66.00361509835194 	 3.8944420520999468 	 3.9449954262536298 	 3.8438886779462638 
67.99519633803942 	 3.9005642306822277 	 3.9505082611729443 	 3.850620200191511 
69.99597261377366 	 3.9060734326755266 	 3.955689955255983 	 3.85645691009507 
72.00057925720367 	 3.9120906133390805 	 3.9612636007014514 	 3.8629176259767095 
73.995211168529 	 3.917937961635238 	 3.9666915262973643 	 3.8691843969731115 
75.99974166881942 	 3.9236987246597503 	 3.971993258047795 	 3.8754041912717057 
77.99465401495782 	 3.929090259642598 	 3.976838104293705 	 3.881342414991491 
79.99896797985497 	 3.934364998004761 	 3.981755665797326 	 3.886974330212196 
82.00592898905944 	 3.9396939998083003 	 3.9867973654316615 	 3.892590634184939 
83.99234630894577 	 3.944724302526541 	 3.9915017272658746 	 3.8979468777872075 
86.0034436210364 	 3.9497727210115987 	 3.9962823935290386 	 3.903263048494159 
87.99479791916767 	 3.954084081908626 	 4.000191437617057 	 3.9079767262001948 
89.99569547955701 	 3.958438566552901 	 4.0043092444727195 	 3.912567888633083 
92.00196880628901 	 3.9635277587723587 	 4.009354121588243 	 3.9177013959564753 
93.99663017184726 	 3.968238915222954 	 4.0137284589303 	 3.9227493715156077 
95.99883415504333 	 3.9727257946708248 	 4.017790762022836 	 3.9276608273188134 
97.99757534748653 	 3.9767668245510164 	 4.021639242542817 	 3.9318944065592154 
99.99541473247874 	 3.98073332339622 	 4.025516275339635 	 3.9359503714528046 
102.00765627432388 	 3.98484160286438 	 4.029108742601419 	 3.940574463127341 
103.98879468280005 	 3.98876105974749 	 4.03272472998035 	 3.9447973895146293 
106.00074631149894 	 3.9927683850967335 	 4.036677341562089 	 3.9488594286313785 
108.00711966736914 	 3.99641296918608 	 4.040311130390146 	 3.9525148079820145 
109.99033561262509 	 4.0003321508615155 	 4.044094556103 	 3.956569745620031 
112.00079217617998 	 4.00430004032897 	 4.047680410317071 	 3.9609196703408696 
114.00275561168839 	 4.0078451690682595 	 4.050891442299147 	 3.964798895837372 
115.99588974159984 	 4.011757854042712 	 4.054758105975394 	 3.968757602110031 
117.99922012651281 	 4.0152560584616275 	 4.058148517500746 	 3.9723635994225086 
119.98791726397707 	 4.018305345074748 	 4.06096652821954 	 3.975644161929956 
122.01109907166077 	 4.021950610595367 	 4.064500460758168 	 3.979400760432565 
123.997793904209 	 4.025312699564586 	 4.067607991223258 	 3.9830174079059146 
125.99402985074627 	 4.028645229733685 	 4.070574459864878 	 3.9867159996024926 
128.0060574137477 	 4.031715243028122 	 4.073431951553903 	 3.9899985345023414 
129.9985289619715 	 4.034544742859641 	 4.0760803718187155 	 3.993009113900566 
