s1c 	 mean 	 psig1 	 nsig1
4.080244399185336 	 3.6159582484725035 	 3.7090003834876986 	 3.5229161134573084 
5.951778656126482 	 3.6558577075098806 	 3.744009573581927 	 3.567705841437834 
8.010682004930157 	 3.6994474116680363 	 3.7859776208611065 	 3.612917202474966 
9.999186330349877 	 3.7372030105777045 	 3.823859401129643 	 3.650546620025766 
11.96936634494335 	 3.767292278640367 	 3.8553385702499985 	 3.6792459870307357 
14.020356234096692 	 3.797582697201019 	 3.886762136428038 	 3.708403257974 
15.9890756302521 	 3.8228823529411797 	 3.911741135388214 	 3.7340235704941453 
17.95702259636686 	 3.846879707576431 	 3.9381357282882847 	 3.7556236868645776 
20.03442109968708 	 3.872549172999553 	 3.9610570053308316 	 3.7840413406682747 
22.000431965442765 	 3.8928261339092862 	 3.9794409655366936 	 3.806211302281879 
23.992167101827675 	 3.9130983463881623 	 4.002401816531806 	 3.8237948762445195 
25.988015978695074 	 3.9331280514869063 	 4.022562672307411 	 3.8436934306664017 
27.992760180995475 	 3.9473212669683266 	 4.036757673254762 	 3.8578848606818914 
30.018783542039355 	 3.9616413237924863 	 4.052176903090485 	 3.8711057444944874 
32.0039352864014 	 3.9792358985570626 	 4.06821325054075 	 3.890258546573375 
33.993423936869796 	 3.992763042525209 	 4.080358652403821 	 3.9051674326465973 
36.006576063130204 	 4.006342612889084 	 4.094395231812455 	 3.918289993965714 
38.023394300297745 	 4.0250457252233085 	 4.115170618089526 	 3.9349208323570903 
39.95391304347826 	 4.041749999999999 	 4.131278550826282 	 3.952221449173715 
41.99588100686499 	 4.0533032036613275 	 4.1438337158005 	 3.9627726915221553 
43.990723562152134 	 4.065243506493507 	 4.156314991492397 	 3.974172021494618 
46.02153000458085 	 4.079304855703161 	 4.1661643203064385 	 3.992445391099884 
48.027898866608545 	 4.09077593722755 	 4.178896031263256 	 4.002655843191843 
50.00253807106599 	 4.101960659898477 	 4.191801978323539 	 4.012119341473415 
51.944790739091715 	 4.113007569011577 	 4.200959610533577 	 4.025055527489577 
54.025711662075295 	 4.125844811753905 	 4.2135362474820655 	 4.038153376025744 
55.992786293958524 	 4.13616321009919 	 4.223228532367647 	 4.049097887830734 
58.009892086330936 	 4.145377697841729 	 4.232124540541725 	 4.058630855141733 
60.00882612533098 	 4.154483671668139 	 4.242130681939204 	 4.0668366613970734 
61.986252771618624 	 4.165868070953437 	 4.254387663035174 	 4.077348478871699 
63.97511520737327 	 4.174951612903226 	 4.261845815801902 	 4.08805741000455 
66.01855287569573 	 4.182175324675326 	 4.268359164959877 	 4.095991484390774 
68.02616407982262 	 4.192471175166298 	 4.278169876800632 	 4.106772473531963 
69.98061674008811 	 4.203559471365638 	 4.289520934330941 	 4.117598008400336 
71.99819981998199 	 4.2149054905490555 	 4.301052951813794 	 4.128758029284317 
74.02161446846053 	 4.224965813850905 	 4.311278854206377 	 4.138652773495433 
75.95298372513562 	 4.231946202531645 	 4.318694384678818 	 4.1451980203844725 
78.01770736253495 	 4.237996272134205 	 4.322508182736309 	 4.153484361532101 
80.00907441016334 	 4.247999092558985 	 4.330962992056672 	 4.165035193061297 
82.00492170022372 	 4.256851230425058 	 4.341019112315167 	 4.172683348534949 
83.97629899726527 	 4.265186873290793 	 4.349439001422855 	 4.180934745158732 
86.00879222582138 	 4.2725694123091165 	 4.3544655824742335 	 4.190673242143999 
87.98368298368298 	 4.280064102564104 	 4.363115038814428 	 4.197013166313781 
90.02269569245021 	 4.289725567392312 	 4.374077938078188 	 4.205373196706435 
92.0058532192706 	 4.293533318325078 	 4.3770138672069905 	 4.210052769443166 
94.01759014951627 	 4.296389621811785 	 4.380554439215547 	 4.212224804408023 
95.98106560986349 	 4.304118229854691 	 4.389699692241201 	 4.218536767468181 
98.01153504880213 	 4.3118167701863355 	 4.396657682498635 	 4.226975857874036 
99.98214285714286 	 4.321546875000001 	 4.404588361184485 	 4.238505388815517 
101.99543378995433 	 4.3313789954337905 	 4.414109572438873 	 4.248648418428708 
104.01357466063348 	 4.337325791855204 	 4.420006713535427 	 4.254644870174982 
106.00841080123949 	 4.3433565737051785 	 4.42339258134408 	 4.263320566066277 
108.00567437800088 	 4.348850938454824 	 4.430461322861936 	 4.267240554047712 
109.98769771528998 	 4.354846221441124 	 4.437461032582955 	 4.272231410299294 
112.00133274100399 	 4.36248667258996 	 4.443874019954552 	 4.281099325225369 
113.974988631196 	 4.369507730786722 	 4.449811018069444 	 4.289204443504 
116.01561065197428 	 4.3751354453627185 	 4.455970227217951 	 4.294300663507486 
118.01732563305198 	 4.379201466015105 	 4.461376430194984 	 4.297026501835226 
119.97767857142857 	 4.383609375000001 	 4.465789268599957 	 4.301429481400044 
122.0227576974565 	 4.39196006247211 	 4.473560510110031 	 4.31035961483419 
124.0039113428944 	 4.399362233811387 	 4.480574381957883 	 4.318150085664891 
125.99346405228758 	 4.404297385620914 	 4.4848710661178375 	 4.323723705123991 
127.98621609604268 	 4.4104257447754565 	 4.488462597464844 	 4.332388892086069 
129.9909008189263 	 4.414649681528663 	 4.493434722564239 	 4.335864640493086 
132.02463054187191 	 4.418173981191223 	 4.500522542570664 	 4.335825419811782 
133.98850574712642 	 4.424040671971707 	 4.505476466163663 	 4.342604877779752 
135.99505617977528 	 4.431111235955056 	 4.511488600757829 	 4.350733871152283 
138.0212201591512 	 4.438059239610964 	 4.51825122730498 	 4.3578672519169475 
139.97787610619469 	 4.441292035398232 	 4.521413768710403 	 4.361170302086061 
142.020390070922 	 4.44540115248227 	 4.526590469583911 	 4.364211835380629 
