bin value xlow xhigh ylow yhigh
2.0 0.7197943444730077 12.5 12.5 0.17611905986514922 0.21028182972129758
18.0 1.2853470437017995 12.5 12.5 0.23973596744342635 0.27334302722393944
34.0 1.5938303341902313 12.5 12.5 0.268301036476948 0.30165507894128335
50.0 1.7480719794344475 12.5 12.5 0.2815040321830203 0.3147371036037166
66.0 1.9537275064267352 12.5 12.5 0.29819344126061803 0.33126892962514304
82.0 2.056555269922879 12.5 12.5 0.30619173886987544 0.3391898666165721
98.0 2.159383033419023 12.5 12.5 0.3139817510945445 0.3469028936023334
114.0 2.210796915167095 12.5 12.5 0.31780322475736744 0.35068594426893096
130.0 2.365038560411311 12.5 12.5 0.3289921553919037 0.36176131534679035
146.0 2.570694087403599 12.5 12.5 0.34332175868549075 0.37594062459527544
162.0 2.622107969151671 12.5 12.5 0.3468073182384821 0.3793887418849732
178.0 2.6735218508997427 12.5 12.5 0.3502561921792036 0.38280055440078375
194.0 2.6735218508997427 12.5 12.5 0.3502561921792036 0.38280055440078375
210.0 2.6735218508997427 12.5 12.5 0.3502561921792036 0.38280055440078375
226.0 2.7249357326478147 12.5 12.5 0.35366972214064607 0.38617675088736847
242.0 2.827763496143959 12.5 12.5 0.36039415305243705 0.39282654801733907
258.0 2.930591259640103 12.5 12.5 0.3669870464664885 0.3993461569328782
274.0 2.982005141388175 12.5 12.5 0.3702366882396318 0.4025587925833213
290.0 2.982005141388175 12.5 12.5 0.3702366882396318 0.4025587925833213
306.0 3.033419023136247 12.5 12.5 0.37345594809988086 0.4057412442083519
322.0 3.033419023136247 12.5 12.5 0.37345594809988086 0.4057412442083519
338.0 3.033419023136247 12.5 12.5 0.37345594809988086 0.4057412442083519
354.0 3.033419023136247 12.5 12.5 0.37345594809988086 0.4057412442083519
370.0 3.0848329048843186 12.5 12.5 0.3766456659765265 0.40889415251465777
386.0 3.0848329048843186 12.5 12.5 0.3766456659765265 0.40889415251465777
402.0 3.0848329048843186 12.5 12.5 0.3766456659765265 0.40889415251465777
418.0 3.0848329048843186 12.5 12.5 0.3766456659765265 0.40889415251465777
434.0 3.0848329048843186 12.5 12.5 0.3766456659765265 0.40889415251465777
450.0 3.0848329048843186 12.5 12.5 0.3766456659765265 0.40889415251465777
466.0 3.2390745501285343 12.5 12.5 0.3860441326635142 0.41818296618228445
482.0 3.3419023136246784 12.5 12.5 0.39217440196221315 0.4242400151997172
498.0 3.3419023136246784 12.5 12.5 0.39217440196221315 0.4242400151997172
514.0 3.3419023136246784 12.5 12.5 0.39217440196221315 0.4242400151997172
530.0 3.3419023136246784 12.5 12.5 0.39217440196221315 0.4242400151997172
546.0 3.3419023136246784 12.5 12.5 0.39217440196221315 0.4242400151997172
562.0 3.3933161953727504 12.5 12.5 0.3952009400774482 0.4272295040453039
578.0 3.3933161953727504 12.5 12.5 0.3952009400774482 0.4272295040453039
594.0 3.444730077120823 12.5 12.5 0.39820184637257283 0.4301943764976106
610.0 3.496143958868895 12.5 12.5 0.40117821625393035 0.43313461499263284
626.0 3.547557840616967 12.5 12.5 0.4041307380453142 0.4360505699431243
642.0 3.547557840616967 12.5 12.5 0.4041307380453142 0.4360505699431243
658.0 3.547557840616967 12.5 12.5 0.4041307380453142 0.4360505699431243
674.0 3.547557840616967 12.5 12.5 0.4041307380453142 0.4360505699431243
690.0 3.547557840616967 12.5 12.5 0.4041307380453142 0.4360505699431243
706.0 3.5989717223650386 12.5 12.5 0.4070598446606524 0.4389428100088043
722.0 3.5989717223650386 12.5 12.5 0.4070598446606524 0.4389428100088043
738.0 3.5989717223650386 12.5 12.5 0.4070598446606524 0.4389428100088043
754.0 3.5989717223650386 12.5 12.5 0.4070598446606524 0.4389428100088043
770.0 3.6503856041131106 12.5 12.5 0.4099653733360291 0.441812464219709
786.0 3.6503856041131106 12.5 12.5 0.4099653733360291 0.441812464219709
802.0 3.6503856041131106 12.5 12.5 0.4099653733360291 0.441812464219709
818.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
834.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
850.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
866.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
882.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
898.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
914.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
930.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
946.0 3.7532133676092547 12.5 12.5 0.415709496396513 0.4474839142766578
962.0 3.8046272493573263 12.5 12.5 0.41854867766894166 0.45028689419085655
978.0 3.8046272493573263 12.5 12.5 0.41854867766894166 0.45028689419085655
994.0 3.8046272493573263 12.5 12.5 0.41854867766894166 0.45028689419085655
1010.0 3.8046272493573263 12.5 12.5 0.41854867766894166 0.45028689419085655
1026.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1042.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1058.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1074.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1090.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1106.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1122.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
1138.0 3.8560411311053984 12.5 12.5 0.421366613235781 0.45306850087220507
