bin value xlow xhigh ylow yhigh
2.0 1.5648510382184775 12.5 12.5 0.2060618660903875 0.22556604488224857
18.0 23.02136623532952 12.5 12.5 0.725145860413523 0.735978850441732
34.0 34.065603370448386 12.5 12.5 0.8192393932551723 0.8256375228635482
50.0 41.95004513993379 12.5 12.5 0.8547338777643076 0.8579668518149453
66.0 47.84832982244959 12.5 12.5 0.8664305476611733 0.8672951534411777
82.0 51.790550707192295 12.5 12.5 0.8674697012984622 0.8667503433930301
98.0 55.582305145952446 12.5 12.5 0.8633641232314138 0.8611223645036303
114.0 58.772193800782425 12.5 12.5 0.8559724467637198 0.8524516418848993
130.0 61.6310562744508 12.5 12.5 0.8462059553790535 0.8415351514587277
146.0 64.39963888052964 12.5 12.5 0.8338067702680974 0.8280245870974978
162.0 66.11495636473067 12.5 12.5 0.8246139776518557 0.818143279328476
178.0 67.37887451098405 12.5 12.5 0.8170724755004022 0.8100944472261062
194.0 68.88353897080951 12.5 12.5 0.807215994945798 0.7996337467045644
210.0 69.87661751429431 12.5 12.5 0.8001716424828831 0.7921891920479207
226.0 70.71922961179658 12.5 12.5 0.7938467094002033 0.7855267365029062
242.0 72.07342762563948 12.5 12.5 0.7829939508301798 0.7741302234426151
258.0 73.0965994583208 12.5 12.5 0.7742130748629839 0.7649360967249219
274.0 73.7887451098405 12.5 12.5 0.7679770633343685 0.7584243019180592
290.0 74.24014444778815 12.5 12.5 0.7637788827236203 0.7540462641929979
306.0 74.81191694252182 12.5 12.5 0.7583109029009272 0.748347188649845
322.0 75.32350285886248 12.5 12.5 0.7532713370294708 0.7431015542970765
338.0 75.83508877520313 12.5 12.5 0.7480889645531175 0.7377154346488446
354.0 76.31658140234727 12.5 12.5 0.7430805170321131 0.7325128311323592
370.0 76.64760758350889 12.5 12.5 0.7395612585529343 0.7288605243008783
386.0 76.91844718627746 12.5 12.5 0.7366353082541188 0.7258255624310039
402.0 77.15919349984954 12.5 12.5 0.7339987287995009 0.7230921884207153
418.0 77.55040625940414 12.5 12.5 0.7296412359199422 0.7185782574058441
434.0 77.73096599458322 12.5 12.5 0.727599842335036 0.7164637207089486
450.0 78.00180559735179 12.5 12.5 0.7244998546557135 0.7132560908220009
466.0 78.0619921757448 12.5 12.5 0.7238056600841647 0.7125364791175981
482.0 78.18236533253085 12.5 12.5 0.7224092906805368 0.7110919237159896
498.0 78.3629250677099 12.5 12.5 0.7202981088362481 0.708908238916317
514.0 78.60367138128197 12.5 12.5 0.7174515051068586 0.7059652922714488
530.0 78.78423111646103 12.5 12.5 0.715293058468569 0.7037337975791091
546.0 78.87451098405056 12.5 12.5 0.7142057796089452 0.7026106138220745
562.0 79.05507071922962 12.5 12.5 0.7120160233481498 0.7003482184865462
578.0 79.23563045440866 12.5 12.5 0.7098053475485311 0.6980647779944116
594.0 79.41619018958772 12.5 12.5 0.707573224881064 0.6957604164993914
610.0 79.6870297923563 12.5 12.5 0.7041851834584612 0.6922633876502604
626.0 79.77730965994583 12.5 12.5 0.7030448956516278 0.6910870155856452
642.0 79.83749623833884 12.5 12.5 0.7022818098332384 0.6902996048305576
658.0 79.92777610592839 12.5 12.5 0.7011325830236892 0.6891139612683617
674.0 80.07824255191093 12.5 12.5 0.6992047687619962 0.687125853433368
690.0 80.19861570869696 12.5 12.5 0.6976514088514518 0.6855243016240187
706.0 80.19861570869696 12.5 12.5 0.6976514088514518 0.6855243016240187
722.0 80.31898886548299 12.5 12.5 0.6960884884484209 0.6839124536648811
738.0 80.37917544387602 12.5 12.5 0.6953028343541723 0.6831032345003929
754.0 80.52964188985857 12.5 12.5 0.6933285154486435 0.6810683876169565
770.0 80.58982846825158 12.5 12.5 0.6925339380889572 0.68025045938791
786.0 80.74029491423413 12.5 12.5 0.6905382610090993 0.6781926181026687
802.0 80.77038820343063 12.5 12.5 0.6901372683028484 0.677779074019258
818.0 80.86066807102016 12.5 12.5 0.6889294402446899 0.6765355843444953
834.0 80.95094793860969 12.5 12.5 0.6877166380385047 0.6752854592146695
850.0 81.13150767378875 12.5 12.5 0.685271492012518 0.6727696688137885
866.0 81.28197411977129 12.5 12.5 0.6832171097404527 0.6706539002391598
882.0 81.3120674089678 12.5 12.5 0.6828037051571312 0.6702293143027171
898.0 81.40234727655734 12.5 12.5 0.6815606357862269 0.6689504472226937
914.0 81.49262714414685 12.5 12.5 0.6803122584028265 0.6676648886142833
930.0 81.55281372253988 12.5 12.5 0.6794763320732589 0.6668048244251712
946.0 81.58290701173638 12.5 12.5 0.6790573768851393 0.6663737667973568
962.0 81.67318687932591 12.5 12.5 0.6777962215030797 0.6650767828734971
978.0 81.73337345771893 12.5 12.5 0.6769518994349855 0.6642089022463327
994.0 81.76346674691544 12.5 12.5 0.6765290637451904 0.6637735958595736
1010.0 81.76346674691544 12.5 12.5 0.6765290637451904 0.6637735958595736
1026.0 81.85374661450496 12.5 12.5 0.6752561902894527 0.6624638487184975
1042.0 81.91393319289799 12.5 12.5 0.6744039850341665 0.6615874518669185
1058.0 81.974119771291 12.5 12.5 0.6735487724089717 0.6607085534914958
1074.0 82.03430634968402 12.5 12.5 0.6726912971180221 0.6598263873840327
1090.0 82.12458621727355 12.5 12.5 0.6713992814504355 0.6584985239618701
1106.0 82.18477279566658 12.5 12.5 0.6705341324663938 0.6576101102578336
1122.0 82.18477279566658 12.5 12.5 0.6705341324663938 0.6576101102578336
1138.0 82.21486608486308 12.5 12.5 0.670101357547348 0.6571640025582859
1154.0 82.3051459524526 12.5 12.5 0.6687970522848308 0.6558232213801918
