bin value xlow xhigh ylow yhigh
2.0 3.444730077120823 12.5 12.5 0.39820184637257283 0.4301943764976106
18.0 30.95115681233933 12.5 12.5 1.041873154171491 1.0549368763727696
34.0 41.696658097686374 12.5 12.5 1.1152919335115252 1.120985857831508
50.0 48.174807197943444 12.5 12.5 1.1324948814392222 1.133746552331133
66.0 53.213367609254504 12.5 12.5 1.1326348342520887 1.1304313970092794
82.0 57.58354755784062 12.5 12.5 1.1233646323124846 1.1181640693691652
98.0 61.38817480719795 12.5 12.5 1.1079925033598337 1.1001827782637252
114.0 64.42159383033419 12.5 12.5 1.0906547879157347 1.080763897800352
130.0 67.30077120822622 12.5 12.5 1.069800654636166 1.0579359360798568
146.0 69.66580976863753 12.5 12.5 1.049277427079398 1.0357885380110843
162.0 72.13367609254499 12.5 12.5 1.0243737113818652 1.0091940599131877
178.0 74.39588688946014 12.5 12.5 0.9981851356304472 0.9814535406250435
194.0 75.32133676092545 12.5 12.5 0.9864822526221673 0.9691160362635509
210.0 76.81233933161954 12.5 12.5 0.9663438770955213 0.9479544207185553
226.0 78.40616966580977 12.5 12.5 0.9429589442694009 0.9234759810235582
242.0 79.33161953727506 12.5 12.5 0.9284428308201864 0.9083240978139728
258.0 80.41131105398458 12.5 12.5 0.9105801684362369 0.8897208257082179
274.0 81.18251928020565 12.5 12.5 0.8971777291510663 0.8757897327282937
290.0 82.0051413881748 12.5 12.5 0.8822594309781273 0.8603066057737419
306.0 83.18766066838046 12.5 12.5 0.8596192182723894 0.8368550762457128
322.0 83.80462724935732 12.5 12.5 0.8472136693979282 0.8240255962450371
338.0 84.47300771208226 12.5 12.5 0.8332869293688261 0.8096396900023173
354.0 85.03856041131105 12.5 12.5 0.821087960725575 0.7970517129680332
370.0 85.5012853470437 12.5 12.5 0.8108103210713313 0.7864568781144055
386.0 85.8611825192802 12.5 12.5 0.8026259212022713 0.7780240654491566
402.0 85.96401028277634 12.5 12.5 0.8002549696445649 0.7755840169359818
418.0 86.52956298200513 12.5 12.5 0.7869602892214833 0.7619002617181514
434.0 86.73521850899742 12.5 12.5 0.7820141794776747 0.7568128189901269
450.0 87.04370179948586 12.5 12.5 0.7744792904642805 0.7490664782258349
466.0 87.40359897172236 12.5 12.5 0.7655088938371635 0.7398484783327053
482.0 87.66066838046272 12.5 12.5 0.7589790122579987 0.7331416504457566
498.0 87.91773778920309 12.5 12.5 0.7523438466440879 0.7263297375504685
514.0 88.0719794344473 12.5 12.5 0.7483109397564802 0.7221910231423934
530.0 88.32904884318766 12.5 12.5 0.7415009589750388 0.7152051566883921
546.0 88.53470437017995 12.5 12.5 0.7359726910259878 0.7095342753017375
562.0 88.63753213367609 12.5 12.5 0.7331805477883258 0.7066715311007998
578.0 88.94601542416453 12.5 12.5 0.7246910656999672 0.6979698145739066
594.0 89.30591259640103 12.5 12.5 0.7145654922772082 0.6875962965107951
610.0 89.51156812339332 12.5 12.5 0.7086681531992767 0.681558167382168
626.0 89.51156812339332 12.5 12.5 0.7086681531992767 0.681558167382168
642.0 89.7172236503856 12.5 12.5 0.7026880677996394 0.6754363237238548
658.0 89.97429305912597 12.5 12.5 0.695092221789928 0.6676639110144711
674.0 90.17994858611826 12.5 12.5 0.6889168296920101 0.6613463164776401
690.0 90.33419023136247 12.5 12.5 0.6842255880528003 0.6565488676114728
706.0 90.53984575835476 12.5 12.5 0.6778889480180572 0.6500711643879886
722.0 90.74550128534705 12.5 12.5 0.6714572582378953 0.6434975148665645
738.0 90.89974293059126 12.5 12.5 0.6665685783057262 0.6385034174602344
754.0 91.31105398457584 12.5 12.5 0.653253774351481 0.6249035897195276
770.0 91.36246786632391 12.5 12.5 0.6515593039521983 0.6231745890461271
786.0 91.5681233933162 12.5 12.5 0.6447148897900767 0.6161890709929008
802.0 91.5681233933162 12.5 12.5 0.6447148897900767 0.6161890709929008
818.0 91.72236503856041 12.5 12.5 0.6395092150124682 0.610876280094752
834.0 91.77377892030847 12.5 12.5 0.6377595576841144 0.6090913457189595
850.0 91.82519280205655 12.5 12.5 0.6360027188838879 0.6072991728802823
866.0 91.97943444730076 12.5 12.5 0.6306884870841301 0.6018786020187128
882.0 92.03084832904884 12.5 12.5 0.628902318894653 0.6000568208335832
898.0 92.08226221079691 12.5 12.5 0.6271084928265558 0.5982276385760432
914.0 92.23650385604113 12.5 12.5 0.6216812846257747 0.5926941174785094
930.0 92.23650385604113 12.5 12.5 0.6216812846257747 0.5926941174785094
946.0 92.2879177377892 12.5 12.5 0.6198566277212492 0.5908341686126084
962.0 92.33933161953728 12.5 12.5 0.6180245269277074 0.5889659126593894
978.0 92.54498714652956 12.5 12.5 0.6106144244470313 0.5814141353489011
994.0 92.6478149100257 12.5 12.5 0.6068606987622238 0.5775885190273611
1010.0 92.69922879177378 12.5 12.5 0.6049703870180001 0.5756640082931308
1026.0 92.75064267352185 12.5 12.5 0.6030724569451196 0.5737301310537513
1042.0 92.85347043701799 12.5 12.5 0.5992503371253899 0.5698370129879615
1058.0 92.85347043701799 12.5 12.5 0.5992503371253899 0.5698370129879615
1074.0 92.85347043701799 12.5 12.5 0.5992503371253899 0.5698370129879615
1090.0 92.90488431876607 12.5 12.5 0.5973262336906204 0.5678773440391915
1106.0 92.90488431876607 12.5 12.5 0.5973262336906204 0.5678773440391915
1122.0 93.0077120822622 12.5 12.5 0.5934514939066493 0.5639313545589775
1138.0 93.11053984575835 12.5 12.5 0.5895400049123478 0.5599499941184805
1154.0 93.11053984575835 12.5 12.5 0.5895400049123478 0.5599499941184805
