mass	ucl	median	nsig1	psig1	nsig2	psig2
5 96247170756.87373 247516007675.94446 167603876860.4165 383072089326.8948 98202518062.61665 596601047436.4784
7 1114303223.6957283 2824620258.2336063 1779455413.7353 5060716754.73881 1157006466.6599593 7817481756.913687
10 110613026.57664365 148035688.93723518 92876997.5938491 281699463.49595356 54373026.60768736 425962436.9341492
12 31901046.525549337 54179166.74203308 30456427.793655634 100520989.77287972 18290827.182654526 148585965.7410812
14 12214518.271715313 27251572.721684687 14673535.468857558 50219241.24362771 8609887.369820898 76209616.96400267
21 2154848.5523582147 8333744.914039882 4197568.601665855 15462333.589529898 2238600.870485321 23386167.290122923
33 1861129.5663607756 4794049.286870232 2324519.3877178216 8682116.790220365 1267329.4634257979 13557391.006826052
50 3036502.8114650017 4106646.379609025 2026239.876656214 8002439.40983293 1019109.6389813987 12229270.700615298
100 6076903.080945672 5685286.123919125 2738787.879211681 10515897.481215322 1382962.416573493 15913757.300870096
1000 57624252.762199536 44971822.03774946 21425787.25740004 84302407.8130218 10888476.566195961 123344671.20381016
4000 240148892.66338593 183509378.52829677 79628682.6853523 330390826.4376915 41522470.97087614 492534815.97805226
