mass	ucl	median	nsig1	psig1	nsig2	psig2
5 6.594558772180064 17.17420837158856 11.118253910405294 26.3933539940244 6.657042482112451 41.187083657968444
7 0.1010364824549113 0.23528425249442952 0.1470214491671353 0.4327910949954872 0.1030525914427147 0.6475916272152534
10 0.009218261951404615 0.013474404294500275 0.008041731508151014 0.026329590854666383 0.004923068579762561 0.040462892723411206
12 0.002789943602479758 0.004972359818123926 0.0028004305505426276 0.009430600407243705 0.001771608911136066 0.014343592549633783
14 0.0009979653243789622 0.002589371620580748 0.0013409371453718367 0.004740700094865305 0.000772629519796365 0.007556196309244346
21 0.00021010774548568378 0.0007874941401056936 0.00038827796049219497 0.0014314132491584338 0.00021742853905567833 0.0021567887694826345
33 0.00031073510749582005 0.0004251422277652347 0.0002027487642138841 0.0007686893648994607 0.00010144340427012372 0.0011619097691245638
50 0.000478627087417694 0.0003203064848796185 0.00014694763255066547 0.000584669683422416 7.658448535643859e-05 0.0008647614474109948
100 0.0006891619625248588 0.0003526714026389281 0.00017406029627420308 0.0006549419086984096 8.29546938405222e-05 0.0009663531855631568
1000 0.005303574969549593 0.0025815785391822645 0.0011694252509773227 0.004738633481977298 0.0005989825780752831 0.007088242510144498
4000 0.02108397176670017 0.01013443581015756 0.0046271283125086625 0.018812026993035802 0.002448716572424585 0.027900627200928303
10000 0.051674907842231006 0.02655916811299302 0.012667060096045476 0.04728071069181645 0.006282586380296319 0.06973625096041104
