mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0 59328028.29354554 150265251.98938993 106684350.13262598 251087533.15649867 432687886.8258179 21564986.73740053
7.0 646433.990895296 1511229.1350531108 838088.0121396056 2646054.628224583 3740060.6980273146 679059.1805766313
10.0 38921.25134843582 56321.46709816613 31340.3451995685 98004.31499460626 174862.4595469256 0.0
12.0 8910.514541387025 16178.97091722595 9055.92841163311 29334.82475764355 45486.2043251305 0.0
14.0 2451.274362818591 6369.415292353824 3638.6806596701654 12690.554722638683 19469.265367316344 2040.1799100449778
21.0 368.47457627118644 1409.8789346246974 626.5375302663439 2325.375302663438 3773.5593220338983 48.426150121065376
33.0 709.1865537593021 504.82422376186815 239.09417500641518 838.5681293302541 1437.554529124968 -1616.1406209905056
