mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0 13970272.50206441 31456647.398843933 21284888.521882743 49220478.9430223 69109826.58959538 13831544.178364988
7.0 176515.15151515152 514315.56948798336 364420.06269592483 947884.012539185 1420794.1483803554 26123.301985370956
10.0 28855.51629367884 40855.908912446015 26811.93561052218 72675.69689831174 118570.86768747547 1988.6140557518652
12.0 10253.205128205129 18951.923076923078 9737.179487179488 36629.80769230769 50332.532051282054 801.2820512820514
14.0 3758.1291759465475 9425.389755011136 5805.790645879732 18698.440979955456 26102.449888641426 445.43429844097994
21.0 1354.1494119595827 4204.903097565016 2156.865993042902 7460.990558224284 10952.459831041908 266.3574623157197
33.0 867.84 2814.5066666666667 1382.5066666666667 5403.093333333334 8980.053333333333 106.66666666666667
50.0 1140.2110927152319 3290.149006622517 1253.725165562914 6092.922185430464 9134.62334437086 -20695.364238410595
100.0 2690.5995558845298 5600.740192450037 2534.863064396743 8423.242042931162 12789.045151739452 1222.057735011103
1000.0 23448.529411764703 42995.098039215685 18178.92156862745 72286.76470588235 113074.75490196078 -245098.03921568627
4000.0 110640.46579330422 166802.52304706455 71344.00776322173 299733.1392527899 511135.37117903924 -970402.7171276079
10000.0 292975.65701828746 408598.76468451007 222804.8928182148 704069.2745549231 1134722.0540147752 -2422187.2350732707
