mass	ucl	median	nsig1	psig1	nsig2	psig2
5 6.998205076427597e-06 1.7638812598346084e-05 1.1943214904584023e-05 2.7258987194933325e-05 7.089452897910684e-06 4.270360078675541e-05
7 1.6161014512726535e-07 3.974339061491128e-07 2.4038232084899455e-07 7.052338062067709e-07 1.664204340002279e-07 1.0672598687079201e-06
10 2.3732326253245694e-08 3.452092150319879e-08 2.0816765723586503e-08 6.537886551587649e-08 1.2580109136112609e-08 1.0193859888509022e-07
12 9.050920695543904e-09 1.6689593991437356e-08 8.63089933333402e-09 2.9269984251696652e-08 5.528759738999658e-09 4.473743694800639e-08
14 3.8354621790836134e-09 9.552241697576367e-09 4.999927409451743e-09 1.7108696008144622e-08 3.0602984403711455e-09 2.6280468529121644e-08
21 1.150309666011517e-09 4.20337789850332e-09 2.0561328605484273e-09 7.268554270202186e-09 1.1595151334116135e-09 1.1245018493474238e-08
33 1.1476967942484532e-09 2.9275165480443614e-09 1.428732513436456e-09 5.439782925456072e-09 8.06970079386663e-10 8.307929134708217e-09
50 2.0446003329496245e-09 3.1012584578917564e-09 1.469055603344799e-09 5.5459656224693e-09 7.571167090649682e-10 8.65011367345076e-09
100 4.290525956587795e-09 4.646465075075801e-09 2.2128828959445684e-09 8.612502069462104e-09 1.1308202530714772e-09 1.2950115643955698e-08
200 9.242230870604177e-09 8.821394877067586e-09 4.084317467625667e-09 1.5897076669349676e-08 1.946946871192756e-09 2.402779896654269e-08
400 1.8202254900126483e-08 1.5938022795079434e-08 7.23162906228155e-09 2.995568976161757e-08 3.827649888547853e-09 4.603032331092922e-08
1000 4.515290999168021e-08 3.9895716556965956e-08 1.9606045463298205e-08 7.227701918889464e-08 9.697823235208031e-09 1.083856881533258e-07
4000 1.7978884091467207e-07 1.6349791320554705e-07 7.197041102756834e-08 2.88362627374941e-07 3.551257379232809e-08 4.308811145333998e-07
10000 4.5160557886882245e-07 4.0029593623589495e-07 1.7627019970390485e-07 7.211124169125438e-07 9.153999211989051e-08 1.0858501499484202e-06
