Wavelength	QE
290	0.031532949820070516
291	0.03518117986359946
292	0.03878883799536174
293	0.04235608871271713
294	0.04588309651302123
295	0.04937002589363304
296	0.05281704135191014
297	0.056224307385208214
298	0.05959198849088683
299	0.06292024916630354
300	0.06620925390881403
301	0.06945916721577841
302	0.07267015358455209
303	0.07584237751249437
304	0.07897600349696227
305	0.0820711960353123
306	0.08512811962490426
307	0.08814693876309361
308	0.09112781794723948
309	0.09407092167469905
310	0.0969764144428288
311	0.09984446074898842
312	0.1026752250905339
313	0.10546887196482235
314	0.10822556586921347
315	0.11094547130106223
316	0.11362875275772942
317	0.11627557473657052
318	0.11888610173494255
319	0.12146049825020466
320	0.12399892877971468
321	0.12650155782082784
322	0.12896854987090445
323	0.13140006942729948
324	0.1337962809873738
325	0.13615734904848265
326	0.13848343810798333
327	0.14077471266323546
328	0.14303133721159406
329	0.14525347625041934
330	0.14744129427706829
331	0.14959495578889653
332	0.15171462528326354
333	0.1538004672575261
334	0.15585264620904188
335	0.1578713266351703
336	0.159856673033266
337	0.1618088499006885
338	0.16372802173479456
339	0.1656143530329417
340	0.16746800829248856
341	0.16928915201079156
342	0.1710779486852096
343	0.1728345628131002
344	0.17455915889181764
345	0.17625190141872488
346	0.1779129548911754
347	0.17954248380652782
348	0.1811406526621406
349	0.18270762595537055
350	0.18424356818357626
351	0.18574864384411513
352	0.18722301743434186
353	0.188666853451619
354	0.19008031639329928
355	0.19146357075674428
356	0.19281678103931066
357	0.19414011173835266
358	0.19543372735123227
359	0.19669779237530577
360	0.19793247130792907
361	0.19913792864646165
362	0.20031432888825998
363	0.20146183653068298
364	0.2025806160710868
365	0.20367083200682937
366	0.20473264883526918
367	0.20576623105376393
368	0.20677174315966818
369	0.2077493496503443
370	0.208699215023145
371	0.20962150377543223
372	0.21051638040456205
373	0.21138400940789034
374	0.2122245552827769
375	0.213038182526577
376	0.21382505563665127
377	0.21458533911035638
378	0.21531919744504702
379	0.21602679513808468
380	0.21670829668682595
381	0.21736386658862641
382	0.2179936693408456
383	0.21859786944084045
384	0.21917663138596916
385	0.2197301196735886
386	0.22025849880105625
387	0.22076193326573082
388	0.22124058756496764
389	0.22169462619612754
390	0.22212421365656615
391	0.22252951444364089
392	0.22291069305471076
393	0.2232679139871316
394	0.2236013417382616
395	0.2239111408054593
396	0.2241974756860813
397	0.22446051087748614
398	0.2247004108770301
399	0.22491734018207118
400	0.22511146328996814
401	0.22528294469807605
402	0.22543194890375573
403	0.22555864040436308
404	0.22566318369725516
405	0.22574574327979108
406	0.22580648364932712
407	0.2258455693032208
408	0.2258631647388311
409	0.22585943445351334
410	0.2258345429446281
411	0.22578865470953127
412	0.2257219342455799
413	0.22563454605013317
414	0.22552665462054755
415	0.2253984244541803
416	0.22525002004839015
417	0.2250816059005329
418	0.22489334650796924
419	0.22468540636805545
420	0.22445794997814614
421	0.22421114183560314
422	0.22394514643778182
423	0.2236601282820401
424	0.2233562518657373
425	0.22303368168622684
426	0.22269258224087066
427	0.22233311802702332
428	0.22195545354204535
429	0.22155975328329236
430	0.22114618174812206
431	0.22071490343389288
432	0.22026608283795943
433	0.21979988445768434
434	0.21931647279042216
435	0.21881601233353057
436	0.2182986675843684
437	0.21776460304028974
438	0.21721398319865642
439	0.21664697255682522
440	0.2160637356121526
441	0.21546443686199696
442	0.21484924080371315
443	0.21421831193466276
444	0.21357181475220255
445	0.21290991375368848
446	0.21223277343647992
447	0.21154055829793078
448	0.2108334328354031
449	0.21011156154625343
450	0.2093751089278384
451	0.20862423947751574
452	0.20785911769264154
453	0.20707990807057663
454	0.20628677510867666
455	0.20547988330430036
456	0.20465939715480488
457	0.20382548115754684
458	0.20297829980988233
459	0.20211801760917436
460	0.20124479905277534
461	0.2003588086380472
462	0.19946021086234336
463	0.19854917022302207
464	0.19762585121744314
465	0.1966904183429653
466	0.19574303609694257
467	0.1947838689767326
468	0.19381308147969473
469	0.19283083810318713
470	0.191837303344567
471	0.19083264170118935
472	0.18981701767041506
473	0.18879059574959917
474	0.1877535404361031
475	0.18670601622728028
476	0.18564818762049054
477	0.18458021911309208
478	0.18350227520243945
479	0.18241452038589084
480	0.18131711916080767
481	0.18021023602454392
482	0.17909403547445835
483	0.17796868200790966
484	0.17683434012225083
485	0.17569117431484485
486	0.17453934908304883
487	0.17337902892421897
488	0.17221037833571176
489	0.171033561814884
490	0.1698487438590964
491	0.1686560889657073
492	0.16745576163207118
493	0.1662479263555457
494	0.16503274763348968
495	0.16381038996326125
496	0.16258101784221765
497	0.1613447957677149
498	0.16010188823711294
499	0.15885245974776616
500	0.15759667479703549
501	0.1563346978822797
502	0.15506669350085003
503	0.1537928261501112
504	0.15251326032741652
505	0.15122816053012272
506	0.14993769125559228
507	0.14864201700117854
508	0.1473413022642414
509	0.1460357115421375
510	0.1447254093322213
511	0.14341056013185635
512	0.14209132843839822
513	0.14076787874920196
514	0.13944037556163
515	0.13810898337303104
516	0.13677386668077338
517	0.1354351899822089
518	0.13409311777469582
519	0.13274781455559337
520	0.13139944482225396
521	0.1300481730720417
522	0.1286941638023121
523	0.12733758151042077
524	0.12597859069372694
525	0.12461735584958891
526	0.1232540414753601
527	0.12188881206840398
528	0.12052183212607566
529	0.11915326614573386
530	0.11778327862473309
531	0.11641203406043109
532	0.11503969695018813
533	0.1136664317913614
534	0.11229240308130864
535	0.11091777531738695
536	0.10954271299695033
537	0.10816738061736285
538	0.10679194267597952
539	0.10541656367015595
540	0.10404140809725139
541	0.1026666404546225
542	0.1012924252396296
543	0.09991892694962774
