Wavelength	QE
580	0.05110682983974362
581	0.04988246724140311
582	0.04866523696500153
583	0.0474553035078955
584	0.04625283136744166
585	0.04505798504100194
586	0.04387092902592554
587	0.04269182781957972
588	0.04152084591931048
589	0.0403581478224872
590	0.039203898026462264
591	0.038058261028595476
592	0.03692140132624135
593	0.03579348341675759
594	0.034674671797506114
595	0.033565130965839324
596	0.032465025419115966
597	0.031374519654696925
598	0.030293778169935635
599	0.029222965462188735
600	0.028162246028819227
601	0.027111784367182677
602	0.026071744974636768
603	0.025042292348538147
604	0.024023590986244497
605	0.023015805385113514
606	0.02201910004250183
607	0.021033639455770317
608	0.02005958812227137
609	0.01909711053936373
610	0.018146371204409345
611	0.01720753461476696
612	0.016280765267785786
613	0.015366227660831996
614	0.014464086291256928
615	0.013574505656421446
616	0.012697650253681126
617	0.011833684580395782
618	0.010982773133922043
619	0.010145080411618665
