Wavelength	Rate
199.6	0.0
200.4	0.0
201.20000000000002	0.0
202.0	0.0
202.8	0.0
203.6	0.0
204.4	0.0
205.20000000000002	0.0
206.0	0.0
206.8	0.0
207.6	0.0
208.4	0.0
209.20000000000002	0.0
210.0	0.0
210.8	0.0
211.6	0.0
212.4	0.0
213.20000000000002	0.0
214.0	0.0
214.8	0.0
215.6	0.0
216.4	0.0
217.20000000000002	0.0
218.0	0.0
218.8	0.0
219.6	0.0
220.4	0.0
221.20000000000002	0.0
222.0	0.0
222.8	0.0
223.6	0.0
224.4	0.0
225.20000000000002	0.0
226.0	0.0
226.8	0.0
227.6	0.0
228.4	0.0
229.20000000000002	0.0
230.0	0.0
230.8	0.0
231.6	0.0
232.4	0.0
233.20000000000002	0.0
234.0	0.0
234.8	0.0
235.6	0.0
236.4	0.0
237.20000000000002	0.0
238.0	0.0
238.8	0.0
239.6	0.0
240.4	0.0
241.20000000000002	0.0
242.0	0.0
242.8	0.0
243.6	0.0
244.4	0.0
245.20000000000002	0.0
246.0	0.0
246.8	0.0
247.6	0.0
248.4	0.0
249.20000000000002	0.0
250.0	0.0
250.8	0.0
251.6	0.0
252.4	0.0
253.20000000000002	0.0
254.0	0.0
254.8	0.0
255.6	0.0
256.4	0.0
257.2	0.0
258.0	0.0
258.79999999999995	0.0
259.59999999999997	0.0
260.4	0.0
261.2	0.0
262.0	0.0
262.79999999999995	0.0
263.59999999999997	0.0
264.4	0.0
265.2	0.009016838674633352
266.0	0.01064638783269962
266.79999999999995	0.013253666485605648
267.59999999999997	0.012710483432916893
268.4	0.01075502444323737
269.2	0.012167300380228136
270.0	0.010972297664312873
270.79999999999995	0.011406844106463879
271.59999999999997	0.010320478001086366
272.4	0.012927756653992395
273.2	0.010537751222161868
274.0	0.009342748506246605
274.79999999999995	0.0089082020640956
275.59999999999997	0.01075502444323737
276.4	0.010103204780010864
277.2	0.009342748506246605
278.0	0.00988593155893536
278.79999999999995	0.009342748506246605
279.59999999999997	0.011406844106463879
280.4	0.011080934274850626
281.2	0.009342748506246605
282.0	0.01064638783269962
282.79999999999995	0.012493210211841391
283.59999999999997	0.008473655621944595
284.4	0.009016838674633352
285.2	0.009016838674633352
286.0	0.01064638783269962
286.79999999999995	0.01064638783269962
287.59999999999997	0.006300923411189571
288.4	0.00803910917979359
289.2	0.0072786529060293315
290.0	0.00803910917979359
290.79999999999995	0.007061379684953829
291.59999999999997	0.007061379684953829
292.4	0.008582292232482346
293.2	0.006844106463878327
294.0	0.006844106463878327
294.79999999999995	0.006735469853340576
295.59999999999997	0.007387289516567083
296.4	0.00717001629549158
297.2	0.007713199348180337
298.0	0.00619228680065182
298.79999999999995	0.006300923411189571
299.59999999999997	0.005866376969038566
300.4	0.006083650190114068
301.2	0.006626833242802824
302.0	0.008147745790331342
302.79999999999995	0.005866376969038566
303.59999999999997	0.006735469853340576
304.4	0.006518196632265073
305.2	0.007387289516567083
306.0	0.006952743074416078
