energy barns
1E-05 9721228
1.065E-05 9419993
1.13E-05 9145141
1.195E-05 8893034
1.26E-05 8660698
1.34E-05 8398293
1.42E-05 8158391
1.5E-05 7937949
1.58E-05 7734471
1.685E-05 7489729
1.79E-05 7266854
1.895E-05 7062772
2E-05 6874984
2.1275E-05 6665923
2.255E-05 6474856
2.3825E-05 6299344
2.51E-05 6137384
2.6725E-05 5948014
2.835E-05 5775173
2.9975E-05 5616588
3.16E-05 5470403
3.365E-05 5301317
3.57E-05 5147017
3.775E-05 5005468
3.98E-05 4875006
4.235E-05 4726141
4.49E-05 4590151
4.745E-05 4465281
5E-05 4350094
5.01E-05 4345757
5.050625E-05 4328271
5.09125E-05 4310994
5.1725E-05 4277054
5.335E-05 4211516
5.66E-05 4089016
5.985E-05 3976641
6.31E-05 3873068
6.7175E-05 3753987
7.125E-05 3645281
7.5325E-05 3545526
7.94E-05 3453558
8.455E-05 3346988
8.97E-05 3249740
9.485E-05 3160532
0.0001 3078313
0.0001065 2983189
0.000113 2896405
0.0001195 2816809
0.000126 2743462
0.000134 2660631
0.000142 2584911
0.00015 2515342
0.000158 2451134
0.0001685 2373914
0.000179 2303604
0.0001895 2239233
0.0002 2180009
0.00021275 2114088
0.0002255 2053851
0.00023825 1998528
0.000251 1947486
0.00026725 1887818
0.0002835 1833371
0.00029975 1783427
0.000316 1737398
0.0003365 1684172
0.000357 1635616
0.0003775 1591084
0.000398 1550053
0.0004235 1503250
0.000449 1460510
0.0004745 1421280
0.0005 1385105
0.000501 1383743
0.0005050625 1378253
0.000509125 1372829
0.00051725 1362174
0.0005335 1341603
0.000566 1303166
0.0005985 1267922
0.000631 1235455
0.00067175 1198146
0.0007125 1164108
0.00075325 1132891
0.000794 1104129
0.0008455 1070821
0.000897 1040451
0.0009485 1012611
0.001 986972.7
0.001065 957335.1
0.00113 930321.5
0.001195 905569.1
0.00126 882781.6
0.00134 857074.9
0.00142 833602.9
0.0015 812062.6
0.00158 792205.6
0.001685 768357.1
0.00179 746676.2
0.001895 726857.1
0.002 708651.3
0.0021275 688421.1
0.002255 669970.4
0.0023825 653056.9
0.00251 637481.6
0.0026725 619313.3
0.002835 602774.7
0.0029975 587640.3
0.00316 573726.2
0.003365 557680.1
0.00357 543085.6
0.003775 529741.1
0.00398 517481.6
0.004235 503543.2
0.00449 490860.4
0.005 468599.9
0.00501 468199.3
0.005050625 466584.8
0.00509125 464990.7
