energy 	 rate 
0.1 	 1.4741971938085855e-14 
1.1 	 3.576129437478867e-12 
2.1 	 1.9202842097490655e-11 
3.1 	 5.407245971352646e-11 
4.1 	 1.1395590888483052e-10 
5.1 	 2.0336599199854696e-10 
6.1 	 3.2569436391872976e-10 
7.1 	 4.833376918786966e-10 
8.1 	 6.778136937330983e-10 
9.1 	 9.098677113719188e-10 
10.1 	 1.1795704396135127e-09 
11.1 	 1.4864073961961306e-09 
12.1 	 1.8293606854987531e-09 
13.1 	 2.2069835772671222e-09 
14.1 	 2.6174683918273012e-09 
15.1 	 3.0587081549674643e-09 
16.1 	 3.5283524587921735e-09 
17.1 	 4.023857939338238e-09 
18.1 	 4.542533757525879e-09 
19.1 	 5.081582447044374e-09 
20.1 	 5.638136470981247e-09 
21.1 	 6.209290808343969e-09 
22.1 	 6.792131872041263e-09 
23.1 	 7.383763041337384e-09 
24.1 	 7.981327074219645e-09 
25.1 	 8.582025648480887e-09 
26.1 	 9.183136264571041e-09 
27.1 	 9.782026728372847e-09 
28.1 	 1.0376167417966557e-08 
29.1 	 1.0963141525127875e-08 
30.1 	 1.1540653449716042e-08 
31.1 	 1.2106535513219133e-08 
32.1 	 1.2658753146497908e-08 
33.1 	 1.319540869617516e-08 
34.1 	 1.3714743984123691e-08 
35.1 	 1.4215141745083435e-08 
36.1 	 1.4695126058557886e-08 
37.1 	 1.5153361882775623e-08 
38.1 	 1.558865379062794e-08 
39.1 	 1.5999944000083707e-08 
40.1 	 1.6386309784614376e-08 
41.1 	 1.6746960342612507e-08 
42.1 	 1.7081233198635067e-08 
43.1 	 1.738859020352732e-08 
44.1 	 1.76686131950651e-08 
45.1 	 1.7920999375673282e-08 
46.1 	 1.8145556459019267e-08 
47.1 	 1.834219763282444e-08 
48.1 	 1.851093638106854e-08 
49.1 	 1.8651881204865088e-08 
50.1 	 1.8765230277646673e-08 
51.1 	 1.8851266066902662e-08 
52.1 	 1.891034995154488e-08 
53.1 	 1.8942916861027023e-08 
54.1 	 1.8949469959598604e-08 
55.1 	 1.893057539652195e-08 
56.1 	 1.888685714071144e-08 
57.1 	 1.8818991916056112e-08 
58.1 	 1.8727704251650493e-08 
59.1 	 1.8613761659275353e-08 
60.1 	 1.8477969948729217e-08 
61.1 	 1.8321168690006548e-08 
62.1 	 1.8144226829839912e-08 
63.1 	 1.794803846876411e-08 
64.1 	 1.7733518803612408e-08 
65.1 	 1.7501600239212866e-08 
66.1 	 1.7253228672008546e-08 
67.1 	 1.6989359947372417e-08 
68.1 	 1.6710956491523914e-08 
69.1 	 1.6418984118166424e-08 
70.1 	 1.6114409009258387e-08 
71.1 	 1.5798194868688515e-08 
72.1 	 1.5471300247054553e-08 
73.1 	 1.5134676035231173e-08 
74.1 	 1.478926312395824e-08 
75.1 	 1.4435990226278107e-08 
76.1 	 1.4075771859297893e-08 
77.1 	 1.3709506481444557e-08 
78.1 	 1.3338074781117985e-08 
79.1 	 1.2962338112418397e-08 
80.1 	 1.2583137073437818e-08 
81.1 	 1.2201290222447529e-08 
82.1 	 1.1817592927188847e-08 
83.1 	 1.1432816342378034e-08 
84.1 	 1.1047706510463487e-08 
85.1 	 1.0662983580628221e-08 
86.1 	 1.0279341141003886e-08 
87.1 	 9.89744565905665e-09 
88.1 	 9.51793602511873e-09 
89.1 	 9.141423194066375e-09 
90.1 	 8.768489920189452e-09 
91.1 	 8.39969058035384e-09 
92.1 	 8.03555108062637e-09 
93.1 	 7.6765688416101e-09 
94.1 	 7.323212857826673e-09 
95.1 	 6.975923826579467e-09 
96.1 	 6.63511434183295e-09 
97.1 	 6.301169148755049e-09 
98.1 	 5.974445454684245e-09 
99.1 	 5.6552732924020204e-09 
100.1 	 5.3439559317152575e-09 
101.1 	 5.0407703354784505e-09 
102.1 	 4.745967656316401e-09 
103.1 	 4.459773770435662e-09 
104.1 	 4.182389845046552e-09 
105.1 	 3.9139929360485755e-09 
106.1 	 3.6547366127659564e-09 
107.1 	 3.4047516066505205e-09 
108.1 	 3.164146481001084e-09 
109.1 	 2.933008318881657e-09 
110.1 	 2.7114034265445578e-09 
111.1 	 2.4993780497998954e-09 
112.1 	 2.2969591008911233e-09 
113.1 	 2.1041548935663488e-09 
114.1 	 1.920955884152783e-09 
115.1 	 1.7473354165648597e-09 
116.1 	 1.5832504692860911e-09 
117.1 	 1.4286424024909364e-09 
118.1 	 1.2834377035678994e-09 
119.1 	 1.1475487294295981e-09 
120.1 	 1.0208744440871146e-09 
121.1 	 9.033011500784635e-10 
122.1 	 7.947032124313701e-10 
123.1 	 6.949437739429971e-10 
124.1 	 6.038754606477234e-10 
125.1 	 5.213410764352378e-10 
126.1 	 4.4717428586571526e-10 
127.1 	 3.8120028431453803e-10 
128.1 	 3.2323645465471614e-10 
129.1 	 2.7309300976538216e-10 
130.1 	 2.3057362022560339e-10 
131.1 	 1.9547602662424904e-10 
132.1 	 1.6759263598223943e-10 
133.1 	 1.4671110185059785e-10 
134.1 	 1.3261488770401637e-10 
135.1 	 1.250838133126337e-10 
136.1 	 1.2389458382770907e-10 
137.1 	 1.2882130136737944e-10 
138.1 	 1.3963595894361355e-10 
139.1 	 1.5610891661255432e-10 
140.1 	 1.780093597781439e-10 
141.1 	 2.051057396225364e-10 
142.1 	 2.3716619566935323e-10 
143.1 	 2.7395896053011237e-10 
144.1 	 3.152527469168345e-10 
145.1 	 3.608171170302023e-10 
146.1 	 4.1042283447423886e-10 
147.1 	 4.638421988633299e-10 
148.1 	 5.208493633253227e-10 
149.1 	 5.812206351206062e-10 
150.1 	 6.447347596199653e-10 
151.1 	 7.11173187911291e-10 
152.1 	 7.8032032831177e-10 
153.1 	 8.519637820931193e-10 
154.1 	 9.258945637269066e-10 
155.1 	 1.00190730598793e-09 
156.1 	 1.079800450249934e-09 
157.1 	 1.1593764223292001e-09 
158.1 	 1.2404417942385126e-09 
159.1 	 1.3228074322190698e-09 
160.1 	 1.4062886314283544e-09 
161.1 	 1.4907052376659734e-09 
162.1 	 1.5758817565280392e-09 
163.1 	 1.6616474503747504e-09 
164.1 	 1.7478364235132094e-09 
165.1 	 1.8342876959827932e-09 
166.1 	 1.920845266346896e-09 
167.1 	 2.0073581638827768e-09 
168.1 	 2.093680490565696e-09 
169.1 	 2.1796714532479303e-09 
170.1 	 2.265195386411335e-09 
171.1 	 2.350121765902653e-09 
172.1 	 2.4343252140170262e-09 
173.1 	 2.5176854963294452e-09 
174.1 	 2.6000875106393198e-09 
175.1 	 2.681421268411469e-09 
176.1 	 2.7615818690722426e-09 
177.1 	 2.840469467530116e-09 
178.1 	 2.9179892352724975e-09 
179.1 	 2.9940513153922393e-09 
180.1 	 3.068570771879937e-09 
181.1 	 3.1414675335285836e-09 
182.1 	 3.2126663327682623e-09 
183.1 	 3.282096639761485e-09 
184.1 	 3.349692592068134e-09 
185.1 	 3.4153929201853533e-09 
186.1 	 3.479140869265018e-09 
187.1 	 3.540884117249474e-09 
188.1 	 3.6005746897771295e-09 
189.1 	 3.658168872053205e-09 
190.1 	 3.7136271171567566e-09 
191.1 	 3.766913953304586e-09 
192.1 	 3.817997888779886e-09 
193.1 	 3.866851314382537e-09 
194.1 	 3.913450404491868e-09 
195.1 	 3.957775015317034e-09 
196.1 	 3.999808583104688e-09 
197.1 	 4.039538021615496e-09 
198.1 	 4.076953615878679e-09 
199.1 	 4.112048919594106e-09 
200.1 	 4.1448206510487616e-09 
201.1 	 4.17526858776922e-09 
202.1 	 4.203395460928118e-09 
203.1 	 4.22920684860089e-09 
204.1 	 4.2527110707067906e-09 
205.1 	 4.27391908495078e-09 
206.1 	 4.29284438224347e-09 
207.1 	 4.309502882662919e-09 
208.1 	 4.3239128313679104e-09 
209.1 	 4.3360946952839814e-09 
210.1 	 4.346071062875513e-09 
211.1 	 4.3538665437742285e-09 
212.1 	 4.359507669349062e-09 
213.1 	 4.363022794495471e-09 
214.1 	 4.364442000732785e-09 
215.1 	 4.363797000689006e-09 
216.1 	 4.361121044051268e-09 
217.1 	 4.35644882504735e-09 
218.1 	 4.349816391523185e-09 
219.1 	 4.341261055678774e-09 
220.1 	 4.330821306514018e-09 
221.1 	 4.318536724028123e-09 
222.1 	 4.304447895230887e-09 
223.1 	 4.288596331988565e-09 
224.1 	 4.2710243907509786e-09 
225.1 	 4.251775194189924e-09 
226.1 	 4.230892554769668e-09 
227.1 	 4.208420900280299e-09 
228.1 	 4.184405201347197e-09 
229.1 	 4.15889090093275e-09 
230.1 	 4.131923845852978e-09 
231.1 	 4.103550220297243e-09 
232.1 	 4.073816481378565e-09 
233.1 	 4.042769296702534e-09 
234.1 	 4.010455483960869e-09 
235.1 	 3.9769219525454884e-09 
236.1 	 3.942215647176666e-09 
237.1 	 3.906383493537385e-09 
238.1 	 3.869472345904355e-09 
239.1 	 3.8315289367618134e-09 
240.1 	 3.792599828381939e-09 
241.1 	 3.752731366361179e-09 
242.1 	 3.711969635083497e-09 
243.1 	 3.6703604150997055e-09 
244.1 	 3.6279491423953115e-09 
245.1 	 3.584780869524261e-09 
246.1 	 3.5409002285837986e-09 
247.1 	 3.4963513960056257e-09 
248.1 	 3.4511780591294347e-09 
249.1 	 3.4054233845384453e-09 
250.1 	 3.359129988121077e-09 
251.1 	 3.31233990682918e-09 
252.1 	 3.265094572100816e-09 
253.1 	 3.217434784916568e-09 
254.1 	 3.169400692454397e-09 
255.1 	 3.1210317663103114e-09 
256.1 	 3.0723667822473558e-09 
257.1 	 3.0234438014404863e-09 
258.1 	 2.9743001531862687e-09 
259.1 	 2.924972419028332e-09 
260.1 	 2.8754964182778493e-09 
261.1 	 2.825907194882598e-09 
262.1 	 2.776239005613309e-09 
263.1 	 2.7265253095233757e-09 
264.1 	 2.6767987586591145e-09 
265.1 	 2.6270911899671957e-09 
266.1 	 2.577433618373639e-09 
267.1 	 2.5278562309975326e-09 
268.1 	 2.4783883824540575e-09 
269.1 	 2.4290585912219737e-09 
270.1 	 2.3798945370331642e-09 
271.1 	 2.3309230592452573e-09 
272.1 	 2.2821701561728765e-09 
273.1 	 2.2336609853291245e-09 
274.1 	 2.1854198645509545e-09 
275.1 	 2.1374702739729016e-09 
276.1 	 2.0898348588111253e-09 
277.1 	 2.0425354329278897e-09 
278.1 	 1.9955929831402383e-09 
279.1 	 1.949027674244709e-09 
280.1 	 1.902858854720045e-09 
281.1 	 1.8571050630800365e-09 
282.1 	 1.81178403484276e-09 
283.1 	 1.76691271008814e-09 
284.1 	 1.7225072415718806e-09 
285.1 	 1.6785830033664954e-09 
286.1 	 1.635154599998741e-09 
287.1 	 1.5922358760609071e-09 
288.1 	 1.5498399262576544e-09 
289.1 	 1.5079791058747334e-09 
290.1 	 1.466665041630385e-09 
291.1 	 1.4259086428905434e-09 
292.1 	 1.385720113220316e-09 
293.1 	 1.3461089622500315e-09 
294.1 	 1.3070840178241915e-09 
295.1 	 1.2686534384195047e-09 
296.1 	 1.2308247258032908e-09 
297.1 	 1.1936047379082949e-09 
298.1 	 1.1569997019110339e-09 
299.1 	 1.1210152274812408e-09 
300.1 	 1.0856563201918218e-09 
301.1 	 1.0509273950661183e-09 
302.1 	 1.0168322902394733e-09 
303.1 	 9.83374280723465e-10 
304.1 	 9.505560922517184e-10 
305.1 	 9.183799151891114e-10 
306.1 	 8.86847418489645e-10 
307.1 	 8.559597636857481e-10 
308.1 	 8.257176188960958e-10 
309.1 	 7.961211728318737e-10 
310.1 	 7.671701487933844e-10 
311.1 	 7.388638186392306e-10 
312.1 	 7.11201016717919e-10 
313.1 	 6.841801537445905e-10 
314.1 	 6.577992306170563e-10 
315.1 	 6.320558521539649e-10 
316.1 	 6.069472407492869e-10 
317.1 	 5.824702499283584e-10 
318.1 	 5.586213777979089e-10 
319.1 	 5.353967803790563e-10 
320.1 	 5.127922848174326e-10 
321.1 	 4.908034024573206e-10 
322.1 	 4.694253417761127e-10 
323.1 	 4.4865302116979464e-10 
324.1 	 4.284810815803384e-10 
325.1 	 4.0890389896124686e-10 
326.1 	 3.899155965756986e-10 
327.1 	 3.7151005711672177e-10 
328.1 	 3.536809346500507e-10 
329.1 	 3.364216663690817e-10 
330.1 	 3.1972548415908833e-10 
331.1 	 3.035854259726254e-10 
332.1 	 2.8799434699874523e-10 
333.1 	 2.729449306357046e-10 
334.1 	 2.5842969925769175e-10 
335.1 	 2.444410247711517e-10 
336.1 	 2.3097113896327961e-10 
337.1 	 2.1801214363576914e-10 
338.1 	 2.055560205242138e-10 
339.1 	 1.9359464100110156e-10 
340.1 	 1.8211977556048116e-10 
341.1 	 1.711231030822748e-10 
342.1 	 1.605962198800911e-10 
343.1 	 1.505306485236968e-10 
344.1 	 1.4091784644309475e-10 
345.1 	 1.317492143109412e-10 
346.1 	 1.2301610420302334e-10 
347.1 	 1.1470982753879233e-10 
348.1 	 1.0682166280112472e-10 
349.1 	 9.934286303413533e-11 
350.1 	 9.226466312522503e-11 
351.1 	 8.557828686830892e-11 
352.1 	 7.927495380757574e-11 
353.1 	 7.334588586994369e-11 
354.1 	 6.778231378105355e-11 
355.1 	 6.257548326931769e-11 
356.1 	 5.771666106068263e-11 
357.1 	 5.3197140664877454e-11 
358.1 	 4.90082479525801e-11 
359.1 	 4.514134653274896e-11 
360.1 	 4.1587842925777734e-11 
361.1 	 3.83391915357607e-11 
362.1 	 3.53868994290738e-11 
363.1 	 3.272253091630131e-11 
364.1 	 3.033771194246593e-11 
365.1 	 2.822413429050175e-11 
366.1 	 2.637355959553328e-11 
367.1 	 2.4777823178224814e-11 
368.1 	 2.342883769749605e-11 
369.1 	 2.231859662551054e-11 
370.1 	 2.1439177548188e-11 
371.1 	 2.078274529636516e-11 
372.1 	 2.0341554907544676e-11 
373.1 	 2.0107954424038425e-11 
374.1 	 2.0074387527873458e-11 
375.1 	 2.0233396020403127e-11 
376.1 	 2.057762214513158e-11 
377.1 	 2.1099810758989963e-11 
378.1 	 2.1792811355900395e-11 
379.1 	 2.2649579946201043e-11 
380.1 	 2.366318079259472e-11 
381.1 	 2.4826788009366635e-11 
382.1 	 2.61336870273903e-11 
383.1 	 2.757727592540819e-11 
384.1 	 2.915106663421048e-11 
385.1 	 3.084868601841749e-11 
386.1 	 3.266387683194408e-11 
387.1 	 3.459049855969666e-11 
388.1 	 3.662252814167704e-11 
389.1 	 3.875406058774313e-11 
390.1 	 4.0979309481649084e-11 
391.1 	 4.329260738213256e-11 
392.1 	 4.5688406120101866e-11 
393.1 	 4.81612769994425e-11 
394.1 	 5.0705910900506584e-11 
395.1 	 5.331711829231991e-11 
396.1 	 5.5989829153895683e-11 
397.1 	 5.871909281170444e-11 
398.1 	 6.150007769236292e-11 
399.1 	 6.432807099493858e-11 
400.1 	 6.719847828679748e-11 
401.1 	 7.010682302462877e-11 
402.1 	 7.304874600521731e-11 
403.1 	 7.602000474408566e-11 
404.1 	 7.901647279332253e-11 
405.1 	 8.203413899169552e-11 
406.1 	 8.50691066578017e-11 
407.1 	 8.81175927225135e-11 
408.1 	 9.117592680863601e-11 
409.1 	 9.424055025704987e-11 
410.1 	 9.730801510202765e-11 
411.1 	 1.0037498300060623e-10 
412.1 	 1.0343822411503887e-10 
413.1 	 1.0649461595325631e-10 
414.1 	 1.0954114216963036e-10 
415.1 	 1.1257489132588696e-10 
416.1 	 1.1559305561673057e-10 
417.1 	 1.185929295626074e-10 
418.1 	 1.215719086690781e-10 
419.1 	 1.2452748805723015e-10 
420.1 	 1.2745726106809282e-10 
421.1 	 1.3035891783817996e-10 
422.1 	 1.3323024385479646e-10 
423.1 	 1.3606911848742183e-10 
424.1 	 1.3887351349947617e-10 
425.1 	 1.416414915422908e-10 
426.1 	 1.4437120463345728e-10 
427.1 	 1.4706089261804036e-10 
428.1 	 1.4970888161985026e-10 
429.1 	 1.523135824777213e-10 
430.1 	 1.548734891761098e-10 
431.1 	 1.5738717726313515e-10 
432.1 	 1.5985330226291106e-10 
433.1 	 1.622705980854691e-10 
434.1 	 1.6463787542701765e-10 
435.1 	 1.6695402017164876e-10 
436.1 	 1.6921799178942612e-10 
437.1 	 1.7142882173539542e-10 
438.1 	 1.7358561184719238e-10 
439.1 	 1.7568753274817692e-10 
440.1 	 1.7773382224963622e-10 
441.1 	 1.7972378376039916e-10 
442.1 	 1.816567847000057e-10 
443.1 	 1.835322549187443e-10 
444.1 	 1.853496851238435e-10 
445.1 	 1.8710862531545607e-10 
446.1 	 1.888086832294011e-10 
447.1 	 1.9044952279191604e-10 
448.1 	 1.9203086258247882e-10 
449.1 	 1.9355247431069616e-10 
450.1 	 1.950141813029492e-10 
