pulsearea weight xerror yerror
5.0 9.246973037719727 5.0 0.14963210223225545
15.0 2.2130751609802246 5.0 0.07320201674494418
25.0 1.6803873777389526 5.0 0.06378663376425904
35.0 0.842615008354187 5.0 0.04516890582609596
45.0 0.4237288236618042 5.0 0.03203088754315485
55.0 0.34382566809654236 5.0 0.02885320892932926
65.0 0.2736077606678009 5.0 0.025738851846815135
75.0 0.2590799033641815 5.0 0.025046199595129784
85.0 0.2857142984867096 5.0 0.026302131939952098
95.0 0.2615012228488922 5.0 0.02516296572739289
105.0 0.4019370377063751 5.0 0.03119636495575091
115.0 0.6416465044021606 5.0 0.039416030499030766
125.0 1.0 5.0 0.04920678313051229
135.0 0.8062953948974609 5.0 0.04418471571645196
145.0 0.5205811262130737 5.0 0.03550333728478252
155.0 0.24697336554527283 5.0 0.024454007114678156
165.0 0.09685230255126953 5.0 0.01531369326958053
175.0 0.036319613456726074 5.0 0.009377683646991325
185.0 0.012106537818908691 5.0 0.005414208177965593
195.0 0.0 5.0 0.0
205.0 0.0 5.0 0.0
