pulsearea weight xerror yerror
0.5 0.08680464327335358 0.5 0.0019468602575851849
1.5 0.38848134875297546 0.5 0.004118588333431801
2.5 0.7961750030517578 0.5 0.005896136984504531
3.5 1.0 0.5 0.0066078974563768605
4.5 0.7923762202262878 0.5 0.005882054027974278
5.5 0.42127326130867004 0.5 0.004288893252225543
6.5 0.16221290826797485 0.5 0.0026613745450477294
7.5 0.048947691917419434 0.5 0.0014619394850042095
8.5 0.01039210520684719 0.5 0.0006736201476090084
9.5 0.0017029080772772431 0.5 0.0002726835210199283
10.5 0.00026198584237135947 0.5 0.0001069552765166002
11.5 0.0 0.5 0.0
12.5 0.0 0.5 0.0
13.5 0.0 0.5 0.0
14.5 0.0 0.5 0.0
15.5 0.0 0.5 0.0
16.5 0.0 0.5 0.0
17.5 0.0 0.5 0.0
18.5 0.0 0.5 0.0
19.5 0.0 0.5 0.0
