bin 	 value 	 error 
-2.5 	 0.0 	 0.0 
2.5 	 0.0 	 0.0 
7.5 	 46.54991912841797 	 14.093066414390572 
12.5 	 0.7864908576011658 	 0.05241039843334181 
17.5 	 0.6782950758934021 	 0.0442206500603393 
22.5 	 1.0545011758804321 	 0.09636921999802321 
27.5 	 0.9572047591209412 	 0.11688346087913157 
32.5 	 0.8547421097755432 	 0.13446991828508925 
37.5 	 0.7747280597686768 	 0.13575508491953464 
42.5 	 1.0735843181610107 	 0.14047766629899552 
47.5 	 1.2437340021133423 	 0.021366018493278856 
52.5 	 1.1425639390945435 	 0.01978193211362912 
57.5 	 1.0870431661605835 	 0.018847004364189405 
62.5 	 1.0334984064102173 	 0.018063005695664065 
67.5 	 0.9695025086402893 	 0.01701558542008666 
72.5 	 0.9545143842697144 	 0.017187242190349766 
77.5 	 0.8937361240386963 	 0.016262945193548265 
82.5 	 0.9193263053894043 	 0.01705601304749261 
87.5 	 0.9520454406738281 	 0.018219105687919693 
92.5 	 0.9927104711532593 	 0.019285446298966932 
97.5 	 1.064951777458191 	 0.021816560336434494 
102.5 	 1.0539438724517822 	 0.022227432760844067 
107.5 	 1.0180916786193848 	 0.02252374915534994 
112.5 	 1.0256623029708862 	 0.02408101558926085 
117.5 	 0.9552966952323914 	 0.023221750214605864 
122.5 	 0.9898976683616638 	 0.025588466580015425 
127.5 	 1.0204758644104004 	 0.02738961060149079 
132.5 	 1.0480101108551025 	 0.029095207439886393 
137.5 	 1.075775146484375 	 0.03064728101678924 
142.5 	 1.0654112100601196 	 0.03067564349137484 
147.5 	 1.0582407712936401 	 0.031240628339438945 
152.5 	 1.0925053358078003 	 0.03279277969545433 
157.5 	 1.0474141836166382 	 0.03131858559342734 
162.5 	 1.0100126266479492 	 0.030413861195742808 
167.5 	 1.0594931840896606 	 0.03216600785069425 
172.5 	 1.0318398475646973 	 0.03202786755836039 
177.5 	 1.0045220851898193 	 0.031181919704809505 
182.5 	 0.9544515609741211 	 0.029592880221543345 
187.5 	 1.0443387031555176 	 0.03344117451910897 
192.5 	 0.9510135650634766 	 0.030426878012510407 
197.5 	 0.913904070854187 	 0.028914033150617816 
202.5 	 0.9209816455841064 	 0.029972604101229653 
207.5 	 0.9782475829124451 	 0.03194886617161894 
212.5 	 0.8986466526985168 	 0.02931149476949718 
217.5 	 0.9336191415786743 	 0.030904593405802927 
222.5 	 1.0262160301208496 	 0.0344531445522009 
227.5 	 0.955890953540802 	 0.03226571952252792 
232.5 	 0.8951544165611267 	 0.02983575875422431 
237.5 	 0.9711537957191467 	 0.03281707549336074 
242.5 	 0.9088075160980225 	 0.031058598971513078 
247.5 	 0.9556866884231567 	 0.03288645358762636 
252.5 	 0.9956508278846741 	 0.03514896957554097 
257.5 	 0.9697197079658508 	 0.0343808306774051 
262.5 	 0.9609681367874146 	 0.035008209079890384 
267.5 	 1.0034136772155762 	 0.03626993661993418 
272.5 	 1.0470327138900757 	 0.0397529973018374 
277.5 	 1.0027389526367188 	 0.03839918282971267 
282.5 	 1.0856075286865234 	 0.042976709462673714 
287.5 	 1.099472165107727 	 0.04436051802265325 
292.5 	 1.1260287761688232 	 0.04608894038464209 
297.5 	 1.1600911617279053 	 0.04860722141644889 
302.5 	 1.090929627418518 	 0.047700152890594344 
307.5 	 1.0917555093765259 	 0.04881252963236323 
312.5 	 0.9969519376754761 	 0.045364922034697955 
317.5 	 1.1015347242355347 	 0.052313703282454035 
322.5 	 1.1029080152511597 	 0.053329616305667564 
327.5 	 1.005415678024292 	 0.05034922410343682 
332.5 	 1.0192844867706299 	 0.052457045127498304 
337.5 	 1.0390461683273315 	 0.054732139735026636 
342.5 	 1.1618025302886963 	 0.06297970224281801 
347.5 	 1.052310824394226 	 0.05776022577147116 
352.5 	 1.0993952751159668 	 0.0615553267362474 
357.5 	 1.086819052696228 	 0.06251379610329676 
362.5 	 1.077780842781067 	 0.06323101328243555 
367.5 	 1.0019899606704712 	 0.059018577011799314 
372.5 	 1.0251710414886475 	 0.06261710248004777 
377.5 	 1.0266789197921753 	 0.06338930869286558 
382.5 	 0.968519926071167 	 0.061857641988568426 
387.5 	 0.8802436590194702 	 0.05477585036693833 
392.5 	 0.9201026558876038 	 0.058706444613515034 
397.5 	 0.9422234296798706 	 0.06314534362481966 
402.5 	 0.8697080612182617 	 0.05718797615342735 
407.5 	 0.8734911680221558 	 0.05745940780698943 
412.5 	 0.8498488664627075 	 0.05660189847309007 
417.5 	 0.9274405837059021 	 0.062237382607191756 
422.5 	 0.960974931716919 	 0.06733821346959164 
427.5 	 0.9066140651702881 	 0.06263959888354921 
432.5 	 0.8102215528488159 	 0.05533577583641652 
437.5 	 1.0223958492279053 	 0.07420699539045426 
442.5 	 0.8782231211662292 	 0.062414861781288314 
447.5 	 0.9265622496604919 	 0.06425607093241036 
452.5 	 0.939307689666748 	 0.06782391588478588 
457.5 	 1.0679701566696167 	 0.0759604079534765 
462.5 	 1.0354381799697876 	 0.07684404283702435 
467.5 	 0.9700731635093689 	 0.07250453192422965 
472.5 	 0.9376161098480225 	 0.06554666282910179 
477.5 	 0.9546732902526855 	 0.07223395287169115 
482.5 	 0.9568669199943542 	 0.0715639258183605 
487.5 	 0.9160451292991638 	 0.06914525696156987 
492.5 	 1.0528066158294678 	 0.07951773240311408 
497.5 	 1.0340981483459473 	 0.08133755533493525 
502.5 	 1.0472075939178467 	 0.0829428306794808 
507.5 	 0.9520132541656494 	 0.07427498282337672 
512.5 	 1.0549921989440918 	 0.08769365939216352 
