mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0	20231336.18640038	20231336.18640038	6050879.695672848	35510936.75701379	2194484.070375654	50703756.538278654
7.0	231895.7345971564	231895.7345971564	62555.596062705066	423470.6525701786	32172.803499817717	635978.8552679548
10.0	5304.534401373194	5304.534401373194	2015.7345158060364	9123.444428550993	1017.5940494922042	14401.087112001143
12.0	1334.9514563106795	1334.9514563106795	576.1731391585761	2363.1877022653725	285.0728155339806	3774.190938511327
14.0	509.48785292186477	509.48785292186477	237.5902823374918	957.5016414970453	113.98555482600132	1464.888378200919
17.0	197.93601003764115	197.93601003764115	89.46047678795483	370.7904642409034	38.362609786700126	587.32747804266
21.0	101.7181770560503	101.7181770560503	38.08276584599267	179.7197485594552	15.214772132006285	267.0246202200105
33.0	29.359895493141735	29.359895493141735	9.992161985630306	52.40692357935989	4.340300457217505	81.32984977139124
50.0	13.242331288343559	13.242331288343559	4.6650306748466255	23.410122699386502	2.045092024539877	36.205214723926375
100.0	7.444759825327511	7.444759825327511	3.1458515283842794	13.165502183406113	1.5170305676855893	20.482532751091703
200.0	8.530566461020753	8.530566461020753	4.037016264722379	14.355580482333147	1.9643858665171061	21.83258553000561
400.0	12.914806378132118	12.914806378132118	6.472892938496583	20.793621867881548	3.4300683371298404	33.920728929384964
1000.0	27.998173701298704	27.998173701298704	14.148741883116884	43.94683441558442	7.0383522727272725	71.49553571428572
4000.0	101.14615384615385	101.14615384615385	53.49615384615385	163.9269230769231	25.173076923076923	251.05384615384617
