mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0	1.4411506046170758e-06	1.4411506046170758e-06	4.2390985709050933e-07	2.5331440087944304e-06	1.6308171491388788e-07	3.8196042506412605e-06
7.0	5.61301775147929e-08	5.61301775147929e-08	1.6454881656804732e-08	1.0187352071005918e-07	6.82396449704142e-09	1.4936760355029587e-07
10.0	3.397242380261248e-09	3.397242380261248e-09	1.1182148040638607e-09	6.160957910014514e-09	5.788824383164005e-10	9.408925979680697e-09
12.0	1.279242329367564e-09	1.279242329367564e-09	4.712273011897308e-10	2.220851596743895e-09	2.329367564182843e-10	3.441045710707577e-09
14.0	6.805317630264096e-10	6.805317630264096e-10	2.5198072805139185e-10	1.1524268379728766e-09	1.307994289793005e-10	1.8078693790149892e-09
17.0	3.6821328924253385e-10	3.6821328924253385e-10	1.486927766869898e-10	6.805104887878475e-10	8.021080913506252e-11	1.0255141056112431e-09
21.0	2.6227303295225286e-10	2.6227303295225286e-10	9.75857431069267e-11	4.461466039004707e-10	4.577000672494956e-11	6.483658372562206e-10
33.0	1.5762844225236334e-10	1.5762844225236334e-10	6.045211672831895e-11	2.9475955610357583e-10	2.92642827784628e-11	4.472174270448007e-10
50.0	1.6619634191862634e-10	1.6619634191862634e-10	5.6405375139977605e-11	2.8984322508398654e-10	2.7521463232549457e-11	4.5748786860768945e-10
100.0	2.306838453914767e-10	2.306838453914767e-10	7.816650148662042e-11	4.13191278493558e-10	3.78394449950446e-11	6.506541129831516e-10
200.0	3.9687127024722936e-10	3.9687127024722936e-10	1.3145780051150895e-10	7.021824381926683e-10	6.245524296675192e-11	1.0891986359761297e-09
400.0	7.668702780903392e-10	7.668702780903392e-10	2.5357659540266837e-10	1.3079247709371484e-09	1.1282751969136794e-10	1.9902588008358786e-09
1000.0	1.8560671088568086e-09	1.8560671088568086e-09	5.930550136558721e-10	3.1351931330472104e-09	3.1467030823253997e-10	4.892040577448303e-09
4000.0	7.012170697889385e-09	7.012170697889385e-09	2.503928516407333e-09	1.2408257587428748e-08	1.235248806039131e-09	1.9135264211985828e-08
