mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0	10418565869.927736	10418565869.927736	2839772095.608671	24459838799.33296	390633685.38076705	40365619788.77154
7.0	1061923290.717065	1061923290.717065	273207337.409672	2419608115.6197886	52487493.051695384	4027709838.7993326
10.0	59770705.94774874	59770705.94774874	20956086.71484158	106050583.65758754	10646192.329071706	161364647.0261256
12.0	5954977.079240341	5954977.079240341	2325311.067452521	10304027.50491159	1205140.7989521937	16614931.237721022
14.0	1872779.5193312436	1872779.5193312436	742424.2424242425	3297492.1630094047	396865.20376175555	5100000.000000001
17.0	712972.2921914358	712972.2921914358	304554.99580184725	1250440.8060453401	147607.05289672545	1913643.9966414778
21.0	419534.0501792115	419534.0501792115	170872.16248506572	742640.3823178018	75232.97491039427	1157933.0943847075
33.0	299642.0901932713	299642.0901932713	106449.53471725126	527423.0493915534	50057.2655690766	787716.5354330709
50.0	251267.94258373207	251267.94258373207	89413.87559808613	456686.6028708134	41722.488038277515	736315.7894736843
100.0	249999.99999999997	249999.99999999997	91933.49753694581	450073.8916256157	45110.837438423645	687586.2068965517
200.0	213908.2161361954	213908.2161361954	104692.82013323465	340362.69430051814	42982.97557364915	581998.5196151
400.0	286789.5878524946	286789.5878524946	152722.3427331887	421095.44468546635	71203.90455531453	643568.3297180043
1000.0	602477.4774774775	602477.4774774775	318040.54054054053	857657.6576576576	135292.7927927928	1265450.4504504504
4000.0	2039653.7510305028	2039653.7510305028	1164056.059356966	2727205.276174773	461582.8524319867	4176586.9744435283
