mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0	1.623378489326765	1.623378489326765	0.4432471264367816	2.9411945812807883	0.18704844006568144	4.208271756978654
7.0	0.03626921093347086	0.03626921093347086	0.010503352243424444	0.06438112429087157	0.004603919546157813	0.09536101083032492
10.0	0.001332827140549273	0.001332827140549273	0.00046549273021001617	0.002397156704361874	0.0002592891760904685	0.0035221647819063005
12.0	0.00039038657748554587	0.00039038657748554587	0.0001619090806031062	0.0006985262441900011	8.42534859993198e-05	0.001073778483165174
14.0	0.0001920054794520548	0.0001920054794520548	7.758356164383561e-05	0.0003376986301369863	3.2947945205479446e-05	0.000503654794520548
17.0	8.820119573693788e-05	8.820119573693788e-05	3.7559136989862234e-05	0.00015880426306212636	1.721081362100338e-05	0.00024092799584091499
21.0	5.150349171573326e-05	5.150349171573326e-05	2.097494180473778e-05	9.300013693002876e-05	9.289333150759962e-06	0.0001397850198548542
33.0	2.432445652173913e-05	2.432445652173913e-05	8.191304347826087e-06	4.285217391304348e-05	3.66304347826087e-06	6.615869565217391e-05
50.0	1.6168316831683168e-05	1.6168316831683168e-05	5.683875530410184e-06	3.0290311173974544e-05	2.635077793493635e-06	4.54579207920792e-05
100.0	1.3770617696160267e-05	1.3770617696160267e-05	4.8864774624373954e-06	2.4496828046744576e-05	2.092153589315526e-06	3.7007011686143576e-05
200.0	1.9601294176207066e-05	1.9601294176207066e-05	7.380288700846191e-06	3.4365355898456946e-05	3.379790940766551e-06	5.2422100547536084e-05
400.0	3.2097431355181576e-05	3.2097431355181576e-05	1.2740478299379981e-05	5.8217006200177147e-05	5.989371124889283e-06	9.171213463241807e-05
1000.0	7.330968280467445e-05	7.330968280467445e-05	3.042153589315526e-05	0.00013017320534223706	1.5634390651085143e-05	0.00020514190317195323
4000.0	0.0002805528455284553	0.0002805528455284553	0.00011661788617886178	0.0005160325203252032	5.969918699186992e-05	0.0008019756097560975
