Time 	 Efficiency 	 EfficiencyError 
0 	 0.0 	 10 
20 	 65.03014642549526 	 10 
40 	 75.84471514704073 	 10 
60 	 82.17792543373939 	 10 
80 	 86.28429924941553 	 10 
100 	 89.34785283622493 	 10 
120 	 91.6863541282146 	 10 
140 	 93.46622369878183 	 10 
160 	 94.77574750830566 	 10 
180 	 95.76104343546204 	 10 
200 	 96.50916697428326 	 10 
220 	 97.09979082072105 	 10 
240 	 97.53691399040237 	 10 
260 	 97.8875968992248 	 10 
280 	 98.17029654238956 	 10 
300 	 98.3970099667774 	 10 
320 	 98.58157991878922 	 10 
340 	 98.73169681309216 	 10 
360 	 98.84489971699274 	 10 
380 	 98.94425987449243 	 10 
400 	 99.02147163775071 	 10 
420 	 99.09283868586193 	 10 
440 	 99.1475944382921 	 10 
460 	 99.19496739264181 	 10 
480 	 99.23403469915098 	 10 
500 	 99.26418112464624 	 10 
520 	 99.29248185062139 	 10 
540 	 99.31616832779623 	 10 
560 	 99.33462532299741 	 10 
580 	 99.34816045281161 	 10 
600 	 99.36507936507937 	 10 
620 	 99.37984496124031 	 10 
640 	 99.38876584225422 	 10 
660 	 99.39953242278824 	 10 
680 	 99.4093761535622 	 10 
700 	 99.41798941798942 	 10 
720 	 99.4250645994832 	 10 
740 	 99.42844838193675 	 10 
760 	 99.43275501415036 	 10 
780 	 99.43706164636397 	 10 
800 	 99.44136827857758 	 10 
820 	 99.44413682785776 	 10 
840 	 99.44690537713794 	 10 
860 	 99.44875107665806 	 10 
880 	 99.45151962593823 	 10 
900 	 99.45244247569829 	 10 
920 	 99.45336532545835 	 10 
940 	 99.45490340839179 	 10 
960 	 99.45613387473853 	 10 
980 	 99.45797957425864 	 10 
