Time	Efficiency	XError
0	0	12.5
75	90.76441005802708	12.5
100	93.04223081882657	12.5
125	94.38491295938104	12.5
150	95.17021276595744	12.5
175	95.69374597034172	12.5
200	96.08413926499033	12.5
225	96.34364925854288	12.5
250	96.53320438426822	12.5
275	96.70019342359768	12.5
300	96.81753707285623	12.5
325	96.90780141843972	12.5
350	96.99129593810446	12.5
375	97.04921555985386	12.5
400	97.11540941328175	12.5
425	97.16279819471309	12.5
450	97.20116054158608	12.5
475	97.24403610573823	12.5
500	97.25983236621535	12.5
525	97.28916827852998	12.5
550	97.32301740812379	12.5
575	97.32301740812379	12.5
600	97.35009671179884	12.5
625	97.36514076939609	12.5
650	97.36814958091554	12.5
675	97.38620245003224	12.5
700	97.38394584139265	12.5
725	97.4110251450677	12.5
750	97.41779497098646	12.5
775	97.41516226090694	12.5
800	97.41779497098646	12.5
825	97.43359123146357	12.5
850	97.43359123146357	12.5
875	97.42832581130453	12.5
900	97.4290780141844	12.5
925	97.44938749194068	12.5
950	97.4471308833011	12.5
975	97.44938749194068	12.5
1200	97.44487427466152	12.5
