Time 	 Efficiency 
0 	 0.0 
1 	 88.24113825781664 
2 	 89.35415051822983 
3 	 89.95433242062168 
4 	 90.3649326745171 
5 	 90.6994602922437 
6 	 90.97399371740815 
7 	 91.19909192790138 
8 	 91.40955155540944 
9 	 91.60609253024307 
10 	 91.78511520084855 
11 	 91.9466195672259 
12 	 92.07524711607917 
13 	 92.20651440940517 
14 	 92.3245829803675 
15 	 92.43641215530337 
16 	 92.54488165545575 
17 	 92.66271024964784 
18 	 92.7656602840845 
19 	 92.87292990038564 
20 	 92.95860160736441 
21 	 93.04739301235641 
22 	 93.13234478902443 
23 	 93.21825647277343 
24 	 93.29696885341498 
25 	 93.37064172188133 
26 	 93.4455144741989 
27 	 93.51918734266523 
28 	 93.59238025759107 
29 	 93.66149356742267 
30 	 93.72988694694354 
31 	 93.79588055876191 
32 	 93.85851449579681 
33 	 93.91658887419698 
34 	 93.97250346166491 
35 	 94.03081781683534 
36 	 94.0800130547363 
37 	 94.13496773512324 
38 	 94.18824257811845 
39 	 94.23911765341116 
40 	 94.29479226410884 
41 	 94.34302759492881 
42 	 94.39366269345128 
43 	 94.43781841917702 
44 	 94.48293405198378 
45 	 94.52636984739877 
46 	 94.56236636293607 
47 	 94.60292243710808 
48 	 94.64011883649663 
49 	 94.68259472483064 
50 	 94.72003110098942 
51 	 94.75482773267547 
52 	 94.79322401591526 
53 	 94.83210025269554 
54 	 94.86977660562458 
55 	 94.90433326054037 
56 	 94.94176963669916 
57 	 94.97512640776374 
58 	 95.00968306267953 
59 	 95.04711943883832 
60 	 95.07903634928138 
61 	 95.11527284158893 
62 	 95.14502996109977 
63 	 95.18150643017755 
64 	 95.21078359614789 
65 	 95.23838092472648 
66 	 95.26501834622408 
67 	 95.2892560000192 
68 	 95.31997302661102 
69 	 95.34805030873011 
70 	 95.37204798575499 
71 	 95.39604566277984 
72 	 95.42028331657497 
73 	 95.44596083099157 
74 	 95.47067843832717 
75 	 95.49731585982477 
76 	 95.52443323486285 
77 	 95.54699105126623 
78 	 95.56786903027788 
79 	 95.59234666084323 
80 	 95.61658431463835 
81 	 95.63746229364997 
82 	 95.6583402726616 
83 	 95.68185799614596 
84 	 95.70249599838736 
85 	 95.720494256156 
86 	 95.74089228162714 
87 	 95.75913051616604 
88 	 95.77928856486692 
89 	 95.79560698524384 
90 	 95.81504510363396 
91 	 95.83232343109187 
92 	 95.85008171209027 
93 	 95.86352041122419 
94 	 95.8803187851416 
95 	 95.89927694999125 
96 	 95.91799513807064 
97 	 95.93599339583928 
98 	 95.95399165360793 
99 	 95.97079002752534 
100 	 95.98710844790224 
101 	 96.00270693796841 
102 	 96.01902535834532 
103 	 96.03294401101974 
104 	 96.04878247785614 
105 	 96.0643809679223 
106 	 96.08213924892071 
107 	 96.10109741377035 
108 	 96.11573599675552 
109 	 96.12941467265969 
110 	 96.1442932324151 
111 	 96.15677202446803 
112 	 96.16829090943997 
113 	 96.18388939950613 
114 	 96.1975680754103 
115 	 96.21028684423348 
116 	 96.22180572920541 
117 	 96.23476447479884 
118 	 96.24892310424352 
119 	 96.26332171045843 
120 	 96.27844024698409 
121 	 96.28971915518578 
122 	 96.3041177614007 
123 	 96.31563664637262 
124 	 96.32907534550655 
125 	 96.338194462776 
126 	 96.35139318513967 
127 	 96.36027232563887 
128 	 96.37083130352981 
129 	 96.3840300258935 
130 	 96.39626884117617 
131 	 96.40634786552663 
132 	 96.41834670403905 
