Time	Efficiency	XError
0	0	12.5
75	90.19627122286697	12.5
100	92.4126370083817	12.5
125	93.71018697614443	12.5
150	94.47668171072426	12.5
175	95.00548033526758	12.5
200	95.38684719535783	12.5
225	95.63281753707285	12.5
250	95.81785944551902	12.5
275	95.96905222437138	12.5
300	96.08639587362991	12.5
325	96.18117343649259	12.5
350	96.25940253599828	12.5
375	96.3233397807866	12.5
400	96.38426821405545	12.5
425	96.43165699548679	12.5
450	96.4655061250806	12.5
475	96.49709864603481	12.5
500	96.5174081237911	12.5
525	96.5354609929078	12.5
550	96.57006232538147	12.5
575	96.59187620889749	12.5
600	96.59187620889749	12.5
625	96.62271652697184	12.5
650	96.6306146572104	12.5
675	96.6306146572104	12.5
700	96.63700838168923	12.5
725	96.65731785944553	12.5
750	96.65957446808511	12.5
775	96.65957446808511	12.5
800	96.65957446808511	12.5
825	96.6798839458414	12.5
850	96.6798839458414	12.5
875	96.68439716312056	12.5
900	96.68439716312056	12.5
925	96.68439716312056	12.5
950	96.69379969911886	12.5
975	96.6956802063185	12.5
1200	96.69379969911886	12.5
