Time 	 Efficiency 	 EfficiencyError 
0.0 	 0.0 	 10 
20.0 	 58.227888856692104 	 10 
40.0 	 69.94322633267866 	 10 
60.0 	 76.67879412301319 	 10 
80.0 	 80.90837867714136 	 10 
100.0 	 84.02824731425137 	 10 
120.0 	 86.40651662964036 	 10 
140.0 	 88.15587537697071 	 10 
160.0 	 89.55965527973642 	 10 
180.0 	 90.58029342005001 	 10 
200.0 	 91.41419019715165 	 10 
220.0 	 92.05490625368921 	 10 
240.0 	 92.62264292690257 	 10 
260.0 	 93.1077411807635 	 10 
280.0 	 93.45868615645492 	 10 
300.0 	 93.73235884392072 	 10 
320.0 	 93.99744572158365 	 10 
340.0 	 94.2260429075845 	 10 
360.0 	 94.38380716271183 	 10 
380.0 	 94.53298560803631 	 10 
400.0 	 94.65211371905083 	 10 
420.0 	 94.78304731854428 	 10 
440.0 	 94.86031960676992 	 10 
460.0 	 94.93973834744625 	 10 
480.0 	 95.01486418322118 	 10 
500.0 	 95.08891679277075 	 10 
520.0 	 95.14579778271461 	 10 
540.0 	 95.18980005795422 	 10 
560.0 	 95.22521652339097 	 10 
580.0 	 95.26492589372914 	 10 
600.0 	 95.29604945426446 	 10 
620.0 	 95.32502656234908 	 10 
640.0 	 95.35829657533512 	 10 
660.0 	 95.38620045719438 	 10 
680.0 	 95.40873820792685 	 10 
700.0 	 95.43878854223682 	 10 
720.0 	 95.4538137093918 	 10 
740.0 	 95.46991210277214 	 10 
760.0 	 95.48279081747641 	 10 
780.0 	 95.4956695321807 	 10 
800.0 	 95.50640179443425 	 10 
820.0 	 95.52035373536387 	 10 
840.0 	 95.53001277139208 	 10 
860.0 	 95.53645212874422 	 10 
880.0 	 95.54396471232171 	 10 
900.0 	 95.55362374834992 	 10 
920.0 	 95.56757568927954 	 10 
940.0 	 95.57401504663167 	 10 
960.0 	 95.57938117775846 	 10 
980.0 	 95.58796698756132 	 10 
