Time 	 Efficiency 
0 	 0.0 
1 	 68.97801917549506 
2 	 73.55270504063247 
3 	 75.62465105699575 
4 	 77.04110117796266 
5 	 78.16185441236276 
6 	 79.00965667454733 
7 	 79.75682549748072 
8 	 80.3633832135152 
9 	 80.87826800201266 
10 	 81.36420344497212 
11 	 81.79637581764669 
12 	 82.21958767860713 
13 	 82.56560128479953 
14 	 82.92126467283794 
15 	 83.2727924400852 
16 	 83.56297516559715 
17 	 83.83523686768082 
18 	 84.10336294897334 
19 	 84.38734224329856 
20 	 84.63479022063537 
21 	 84.88085965770846 
22 	 85.12279347399038 
23 	 85.34818480710776 
24 	 85.58046884154369 
25 	 85.79758893307876 
26 	 86.00436997263597 
27 	 86.20494758100648 
28 	 86.37381876331153 
29 	 86.55302899759445 
30 	 86.72465726042692 
31 	 86.91213873629215 
32 	 87.08238845886092 
33 	 87.24298839958368 
34 	 87.38911366753744 
35 	 87.52834623417264 
36 	 87.6599968293574 
37 	 87.78406545309171 
38 	 87.91433750801276 
39 	 88.04598810319753 
40 	 88.17557088798671 
41 	 88.30308586238033 
42 	 88.44369696927923 
43 	 88.56845486314542 
44 	 88.66977757252845 
45 	 88.7917783858672 
46 	 88.89930452643695 
47 	 89.0116555579297 
48 	 89.10332848546673 
49 	 89.20327265458606 
50 	 89.30528463410094 
51 	 89.39282194084683 
52 	 89.48656267877944 
53 	 89.56789655433862 
54 	 89.66025875200751 
55 	 89.75951365099496 
56 	 89.83464409536741 
57 	 89.92631702290444 
58 	 90.00144746727689 
59 	 90.07382083112192 
60 	 90.15515470668109 
61 	 90.23855639263584 
62 	 90.30403705516228 
63 	 90.39157436190818 
64 	 90.46877261667619 
65 	 90.54045671038938 
66 	 90.61007299370696 
67 	 90.68175708742014 
68 	 90.7486162902103 
69 	 90.80927206181374 
70 	 90.87613126460391 
71 	 90.93471922581179 
72 	 91.00640331952495 
73 	 91.06774836126026 
74 	 91.12771486273186 
75 	 91.18630282393974 
76 	 91.24420151501576 
77 	 91.29382896450949 
78 	 91.3469027646625 
79 	 91.40411218560665 
80 	 91.45718598575968 
81 	 91.5150846768357 
82 	 91.56746920685686 
83 	 91.61640738621874 
84 	 91.66672410584432 
85 	 91.70532323322833 
86 	 91.74599017100792 
87 	 91.79079272957865 
88 	 91.84455579986353 
89 	 91.90383303120326 
90 	 91.94932485990584 
91 	 91.99895230939957 
92 	 92.04789048876145 
93 	 92.09407158759589 
94 	 92.14921319814448 
95 	 92.19677283724265 
96 	 92.24019685554966 
97 	 92.28637795438411 
98 	 92.32222000124068 
99 	 92.36633328967956 
100 	 92.40562168719542 
101 	 92.44559935484315 
102 	 92.49315899394132 
103 	 92.5386508226439 
104 	 92.57862849029162 
105 	 92.60275294490664 
106 	 92.64686623334552 
107 	 92.68684390099324 
108 	 92.72199667771797 
109 	 92.74818894272855 
110 	 92.79161296103557 
111 	 92.82745500789214 
112 	 92.85847216382572 
113 	 92.89707129120974 
114 	 92.93567041859376 
115 	 92.97151246545033 
116 	 93.00459743177949 
117 	 93.03768239810864 
118 	 93.07007809430594 
119 	 93.10178452037138 
120 	 93.13831583735983 
121 	 93.17622569461199 
122 	 93.20793212067741 
123 	 93.23826000647914 
124 	 93.26652008188529 
125 	 93.29409088715958 
126 	 93.32235096256574 
127 	 93.35543592889489 
128 	 93.38507454456476 
129 	 93.41609170049834 
130 	 93.44504104603635 
131 	 93.48088309289292 
132 	 93.50983243843095 
133 	 93.53257835278224 
134 	 93.5573920775291 
135 	 93.59185558412197 
136 	 93.62494055045113 
137 	 93.65388989598914 
138 	 93.68008216099972 
139 	 93.70696369614215 
140 	 93.73177742088902 
141 	 93.75383406510845 
142 	 93.77933705998717 
143 	 93.8082864055252 
144 	 93.82896450948091 
145 	 93.8565353147552 
146 	 93.87652414857907 
147 	 93.89927006293036 
148 	 93.92821940846837 
149 	 93.95510094361082 
150 	 93.97853612809396 
151 	 93.99921423204968 
152 	 94.02058160613727 
153 	 94.04539533088413 
154 	 94.07158759589471 
155 	 94.09571205050972 
156 	 94.11156526354245 
157 	 94.12603993631144 
158 	 94.14465022987159 
159 	 94.16188198316803 
160 	 94.1784244663326 
161 	 94.19496694949717 
162 	 94.2170235937166 
163 	 94.24459439899091 
164 	 94.26527250294663 
165 	 94.28870768742979 
166 	 94.30869652125364 
167 	 94.32592827455008 
168 	 94.34247075771466 
169 	 94.36245959153851 
170 	 94.37762353443938 
171 	 94.39554455786767 
172 	 94.40932996050482 
173 	 94.42380463327382 
174 	 94.4451720073614 
175 	 94.4596466801304 
176 	 94.4775677035587 
177 	 94.49548872698699 
178 	 94.51203121015158 
179 	 94.524438072525 
180 	 94.54304836608515 
181 	 94.56096938951345 
182 	 94.5747547921506 
183 	 94.59681143637003 
184 	 94.61955735072132 
185 	 94.63403202349032 
186 	 94.64643888586376 
187 	 94.66229209889649 
188 	 94.67607750153363 
189 	 94.69055217430264 
190 	 94.70158049641235 
191 	 94.71881224970879 
192 	 94.73052984195036 
193 	 94.74293670432378 
194 	 94.75672210696095 
195 	 94.77050750959809 
196 	 94.78911780315823 
197 	 94.80014612526796 
198 	 94.81531006816881 
199 	 94.82978474093781 
200 	 94.84563795397054 
201 	 94.85942335660769 
202 	 94.87183021898112 
203 	 94.88079073069527 
204 	 94.89802248399171 
205 	 94.9076722658377 
206 	 94.91663277755184 
207 	 94.92628255939786 
208 	 94.93593234124386 
209 	 94.94282504256243 
210 	 94.949717743881 
211 	 94.96212460625443 
212 	 94.97522073875973 
213 	 94.98624906086944 
214 	 95.00279154403403 
215 	 95.01519840640745 
216 	 95.02691599864903 
217 	 95.0434584818136 
218 	 95.05724388445076 
219 	 95.06827220656048 
220 	 95.0758541780109 
221 	 95.08826104038434 
222 	 95.09791082223033 
223 	 95.10687133394448 
224 	 95.11583184565863 
225 	 95.1261708976365 
226 	 95.13168505869135 
227 	 95.13995630027364 
228 	 95.14684900159222 
229 	 95.15787732370194 
230 	 95.17097345620722 
231 	 95.18062323805323 
232 	 95.1875159393718 
233 	 95.1923408302948 
234 	 95.1971657212178 
235 	 95.20543696280009 
236 	 95.21301893425053 
237 	 95.22404725636025 
238 	 95.23507557846996 
239 	 95.24541463044783 
240 	 95.25506441229382 
241 	 95.26057857334868 
242 	 95.26953908506283 
243 	 95.27849959677698 
244 	 95.28883864875483 
245 	 95.29986697086456 
246 	 95.30675967218313 
247 	 95.31709872416099 
248 	 95.32605923587512 
249 	 95.33708755798484 
250 	 95.34811588009457 
251 	 95.35776566194058 
252 	 95.36672617365471 
253 	 95.37292960484145 
254 	 95.38189011655558 
255 	 95.38878281787416 
256 	 95.39498624906086 
257 	 95.40118968024758 
258 	 95.4073931114343 
259 	 95.41497508288474 
260 	 95.42393559459887 
261 	 95.43289610631302 
262 	 95.43772099723603 
263 	 95.4459922388183 
264 	 95.45081712974131 
265 	 95.45633129079619 
266 	 95.46598107264218 
267 	 95.47425231422447 
268 	 95.48114501554305 
269 	 95.48596990646604 
270 	 95.4963089584439 
271 	 95.50389092989433 
272 	 95.50664801042177 
273 	 95.5176763325315 
274 	 95.52663684424563 
275 	 95.53146173516863 
276 	 95.53835443648721 
277 	 95.5466256780695 
278 	 95.55696473004735 
279 	 95.55834327031107 
280 	 95.56247889110222 
281 	 95.57006086255264 
282 	 95.57419648334378 
283 	 95.5803999145305 
284 	 95.58798188598094 
285 	 95.5948745872995 
286 	 95.60176728861808 
287 	 95.61072780033223 
288 	 95.61693123151895 
289 	 95.6258917432331 
290 	 95.63485225494723 
291 	 95.63623079521095 
292 	 95.64243422639767 
293 	 95.64932692771623 
294 	 95.65139473811182 
295 	 95.65484108877111 
296 	 95.6582874394304 
297 	 95.66586941088082 
298 	 95.67620846285868 
299 	 95.68172262391353 
300 	 95.68930459536396 
301 	 95.69412948628697 
302 	 95.69895437720997 
303 	 95.70308999800112 
304 	 95.7099826993197 
305 	 95.71687540063827 
306 	 95.7210110214294 
307 	 95.72583591235241 
308 	 95.73272861367099 
309 	 95.7389320448577 
310 	 95.74444620591255 
311 	 95.7485818267037 
312 	 95.74996036696743 
313 	 95.75478525789042 
314 	 95.7582316085497 
315 	 95.76512430986827 
316 	 95.76857066052756 
317 	 95.77339555145056 
318 	 95.77890971250544 
319 	 95.78235606316471 
320 	 95.78718095408772 
321 	 95.79338438527444 
322 	 95.7988985463293 
323 	 95.8037234372523 
324 	 95.80785905804345 
325 	 95.81130540870274 
326 	 95.81475175936201 
327 	 95.82302300094429 
328 	 95.82646935160358 
329 	 95.83060497239472 
330 	 95.83474059318587 
331 	 95.83956548410887 
332 	 95.84921526595488 
333 	 95.85404015687789 
334 	 95.85955431793273 
335 	 95.86300066859202 
336 	 95.86506847898761 
