Time 	 Efficiency 	 EfficiencyError 
0 	 0.0 	 10 
20 	 64.36039360393605 	 10 
40 	 73.18573185731857 	 10 
60 	 78.75153751537516 	 10 
80 	 81.91881918819189 	 10 
100 	 84.50184501845018 	 10 
120 	 86.03936039360394 	 10 
140 	 87.4538745387454 	 10 
160 	 88.59163591635917 	 10 
180 	 89.54489544895449 	 10 
200 	 90.06765067650676 	 10 
220 	 90.59040590405904 	 10 
240 	 90.92865928659286 	 10 
260 	 91.17466174661747 	 10 
280 	 91.35916359163592 	 10 
300 	 91.48216482164821 	 10 
320 	 91.69741697416974 	 10 
340 	 91.72816728167281 	 10 
360 	 91.82041820418205 	 10 
380 	 91.85116851168512 	 10 
400 	 92.03567035670358 	 10 
420 	 92.22017220172202 	 10 
440 	 92.3739237392374 	 10 
460 	 92.55842558425584 	 10 
480 	 92.68142681426814 	 10 
500 	 92.74292742927429 	 10 
520 	 92.8659286592866 	 10 
540 	 92.89667896678966 	 10 
560 	 92.92742927429273 	 10 
580 	 92.92742927429273 	 10 
600 	 93.01968019680197 	 10 
620 	 93.01968019680197 	 10 
640 	 93.14268142681426 	 10 
660 	 93.17343173431735 	 10 
680 	 93.17343173431735 	 10 
700 	 93.2349323493235 	 10 
720 	 93.2349323493235 	 10 
740 	 93.26568265682657 	 10 
760 	 93.32718327183271 	 10 
780 	 93.35793357933579 	 10 
800 	 93.35793357933579 	 10 
820 	 93.38868388683886 	 10 
840 	 93.38868388683886 	 10 
860 	 93.38868388683886 	 10 
880 	 93.38868388683886 	 10 
900 	 93.41943419434195 	 10 
920 	 93.45018450184503 	 10 
940 	 93.45018450184503 	 10 
960 	 93.45018450184503 	 10 
980 	 93.45018450184503 	 10 
1000 	 93.45018450184503 	 10 
1020 	 93.4809348093481 	 10 
1040 	 93.4809348093481 	 10 
1060 	 93.4809348093481 	 10 
1080 	 93.4809348093481 	 10 
1100 	 93.4809348093481 	 10 
1120 	 93.4809348093481 	 10 
1140 	 93.4809348093481 	 10 
1160 	 93.4809348093481 	 10 
1180 	 93.4809348093481 	 10 
1200 	 93.4809348093481 	 10 
1220 	 93.4809348093481 	 10 
1240 	 93.4809348093481 	 10 
1260 	 93.4809348093481 	 10 
1280 	 93.4809348093481 	 10 
1300 	 93.4809348093481 	 10 
1320 	 93.4809348093481 	 10 
1340 	 93.4809348093481 	 10 
1360 	 93.4809348093481 	 10 
1380 	 93.4809348093481 	 10 
1400 	 93.4809348093481 	 10 
1420 	 93.4809348093481 	 10 
1440 	 93.4809348093481 	 10 
1460 	 93.4809348093481 	 10 
1480 	 93.4809348093481 	 10 
1500 	 93.4809348093481 	 10 
1520 	 93.4809348093481 	 10 
1540 	 93.4809348093481 	 10 
1560 	 93.4809348093481 	 10 
1580 	 93.4809348093481 	 10 
1600 	 93.4809348093481 	 10 
1620 	 93.4809348093481 	 10 
1640 	 93.4809348093481 	 10 
1660 	 93.4809348093481 	 10 
1680 	 93.4809348093481 	 10 
1700 	 93.4809348093481 	 10 
1720 	 93.4809348093481 	 10 
1740 	 93.4809348093481 	 10 
1760 	 93.4809348093481 	 10 
1780 	 93.4809348093481 	 10 
1800 	 93.4809348093481 	 10 
1820 	 93.4809348093481 	 10 
1840 	 93.4809348093481 	 10 
1860 	 93.4809348093481 	 10 
1880 	 93.4809348093481 	 10 
1900 	 93.4809348093481 	 10 
1920 	 93.4809348093481 	 10 
1940 	 93.4809348093481 	 10 
1960 	 93.4809348093481 	 10 
1980 	 93.4809348093481 	 10 
