0.1    2.2635858209726174e-8
0.2    8.507837124898754e-8
0.30000000000000004    1.7958601395966053e-7
0.4    2.9906617199661475e-7
0.5    4.3710495426323205e-7
0.6    5.87975453108907e-7
0.7000000000000001    7.466291639799702e-7
0.8    9.086745383157333e-7
0.9    1.070345996931692e-6
1.    1.2284661674251393e-6
1.1    1.3804036201289306e-6
1.2000000000000002    1.5240279551199568e-6
1.3000000000000003    1.6576637305408678e-6
1.4000000000000001    1.7800443957449357e-6
1.5000000000000002    1.8902621497452572e-6
1.6    1.9877162839297643e-6
1.7000000000000002    2.072081071473724e-6
1.8000000000000003    2.143269021719515e-6
1.9000000000000001    2.2013951315681647e-6
2.    2.2467439474986287e-6
2.1    2.279739500223603e-6
2.2    2.3009181053618052e-6
2.3000000000000003    2.310903970169548e-6
2.4000000000000004    2.3103875059080844e-6
2.5000000000000004    2.3001062157050393e-6
2.6    2.2808280069532843e-6
2.7    2.2533367637847025e-6
2.8000000000000003    2.2184200075903265e-6
2.9000000000000004    2.176858470761849e-6
3.0000000000000004    2.1294174098073755e-6
3.1    2.0768394879052423e-6
3.2    2.0198390630962196e-6
3.3000000000000003    1.9590977260855935e-6
3.4000000000000004    1.8952609405427525e-6
3.5000000000000004    1.8289356484441012e-6
3.6    1.760688713077543e-6
3.7    1.6910460825494034e-6
3.8000000000000003    1.6204925667982965e-6
3.9000000000000004    1.5494721310616695e-6
4.    1.4783886183354055e-6
4.1    1.4076068225231253e-6
4.2    1.337453842624952e-6
4.3    1.2682206564231933e-6
4.3999999999999995    1.200163859660199e-6
4.5    1.1335075236625228e-6
4.6    1.068445130747043e-6
4.7    1.0051415525608087e-6
4.8    9.437350417751565e-7
4.9    8.843392122998003e-7
5.    8.270449874315026e-7
5.1    7.719224991343495e-7
5.2    7.19022924996076e-7
5.3    6.683802523490846e-7
5.4    6.200129616177962e-7
5.5    5.739256231874541e-7
5.6    5.30110404013478e-7
5.7    4.88548481834897e-7
5.8    4.492113662475327e-7
5.9    4.120621270591743e-7
6.    3.770565313143276e-7
6.1    3.4414409116325133e-7
6.2    3.132690253799167e-7
6.3    2.8437113782587665e-7
6.4    2.573866165292298e-7
6.5    2.3224875731648687e-7
6.6    2.088886161143488e-7
6.7    1.872355941417392e-7
6.8    1.6721796025137145e-7
6.9    1.4876331466540054e-7
7.    1.3179899829053245e-7
7.1    1.1625245170261801e-7
7.2    1.0205152776639328e-7
7.3    8.91247617092389e-8
7.4    7.740160230364529e-8
7.5    6.681260763675206e-8
7.6    5.7289608760521475e-8
7.7    4.8765844326569534e-8
7.8    4.117606911806308e-8
7.9    3.4456639200123574e-8
8.    2.8545576221623474e-8
8.1    2.338261321683158e-8
8.2    1.8909224076519986e-8
8.3    1.506863868559446e-8
8.4    1.1805845559190919e-8
8.5    9.067583651685021e-9
8.6    6.802324863988548e-9
8.7    4.960248633541968e-9
8.8    3.4932098593147784e-9
8.9    2.3547012901377875e-9
9.    1.4998113893675026e-9
9.1    8.851785817015718e-10
9.2    4.689426885613646e-10
9.3    2.1069426700114902e-10
9.4    7.142248288872133e-11
9.5    1.3462071763579302e-11
9.6    4.4012111460653355e-13
