Bins	Weights
-7.5	0.0
7.5	0.0006754384625952101
22.5	0.05194159937722284
37.5	1.1197031505197441
52.5	1.9334910628424893
67.5	1.722503930517607
82.5	1.3771033993253248
97.5	1.1252341138400013
112.5	0.9371533130828996
127.5	0.7747481415902188
142.5	0.6475943705829378
157.5	0.5565208431914277
172.5	0.4948002686489704
187.5	0.44877219025231635
202.5	0.41338322165066477
217.5	0.3873406804756308
232.5	0.36447632530948054
247.5	0.3447075389617328
262.5	0.3283060232320303
277.5	0.3146303023827332
292.5	0.30097881336528626
307.5	0.2891868789400577
322.5	0.27857886984262664
337.5	0.269243699723719
352.5	0.2614444843008258
367.5	0.2529320516538702
382.5	0.2447871033230046
397.5	0.23749389434158105
412.5	0.23121365225222476
427.5	0.22519099262741746
442.5	0.21975905545464258
457.5	0.21422503930517608
472.5	0.20891464289530323
487.5	0.20356665852578879
502.5	0.19844649153603103
517.5	0.1957042876986247
532.5	0.1897758841756598
547.5	0.18544983438401538
562.5	0.181873635766947
577.5	0.1781394532382886
592.5	0.1739091859630913
607.5	0.17020877535756262
622.5	0.16687756628455422
637.5	0.16357631309816373
652.5	0.16023728115030605
667.5	0.1578638972417688
682.5	0.155086395066628
697.5	0.15186718666524202
712.5	0.14927209103536704
727.5	0.14682028757651153
742.5	0.14410117076000184
757.5	0.14116530306961977
772.5	0.13875146917405706
787.5	0.13552310228504266
802.5	0.1335895165844947
817.5	0.13047543998900982
832.5	0.1287748233175095
847.5	0.1269423625845252
862.5	0.1256080854181613
877.5	0.1233131210599423
892.5	0.1206691801627158
907.5	0.1191418115488529
922.5	0.11798841451315006
937.5	0.11593500526613039
952.5	0.11318478775204921
967.5	0.11210275059911773
982.5	0.108609932379833
997.5	0.10752446079404088
1012.5	0.10597743959214202
1027.5	0.10443118159754552
1042.5	0.10204730358860073
1057.5	0.10213240120281471
1072.5	0.10091222352815472
1087.5	0.09735682231007586
1102.5	0.09661479401034909
1117.5	0.09506548318654313
1132.5	0.09344805611100088
1147.5	0.09156541449788591
1162.5	0.09092145833651337
1177.5	0.08915577824248623
1192.5	0.08718727580785493
1207.5	0.08550497611161144
1222.5	0.0850107993833285
1237.5	0.08421153053592417
1252.5	0.08234682429441485
1267.5	0.08048917772045243
1282.5	0.0807456153740479
1297.5	0.07650084716010563
1312.5	0.07632168424587486
1327.5	0.07709385923404515
1342.5	0.074230496237388
1357.5	0.07509253888541205
1372.5	0.07231293789018974
1387.5	0.07345240639262436
1402.5	0.0710465861737365
1417.5	0.06993516553966388
1432.5	0.06871575107230626
1447.5	0.0668895867995665
1462.5	0.6512930639720361
1477.5	0.0
1492.5	0.0
1507.5	0.0
1522.5	0.0
1537.5	0.0
1552.5	0.0
1567.5	0.0
1582.5	0.0
1597.5	0.0
1612.5	0.0
1627.5	0.0
1642.5	0.0
1657.5	0.0
1672.5	0.0
1687.5	0.0
1702.5	0.0
1717.5	0.0
1732.5	0.0
1747.5	0.0
1762.5	0.0
1777.5	0.0
1792.5	0.0
1807.5	0.0
1822.5	0.0
1837.5	0.0
1852.5	0.0
1867.5	0.0
1882.5	0.0
1897.5	0.0
1912.5	0.0
1927.5	0.0
1942.5	0.0
1957.5	0.0
1972.5	0.0
1987.5	0.0
2002.5	0.0
2017.5	0.0
2032.5	0.0
2047.5	0.0
2062.5	0.0
2077.5	0.0
2092.5	0.0
2107.5	0.0
2122.5	0.0
2137.5	0.0
2152.5	0.0
2167.5	0.0
2182.5	0.0
2197.5	0.0
2212.5	0.0
2227.5	0.0
2242.5	0.0
2257.5	0.0
2272.5	0.0
2287.5	0.0
2302.5	0.0
2317.5	0.0
2332.5	0.0
2347.5	0.0
2362.5	0.0
2377.5	0.0
2392.5	0.0
2407.5	0.0
2422.5	0.0
2437.5	0.0
2452.5	0.0
2467.5	0.0
2482.5	0.0
2497.5	0.0
2512.5	0.0
2527.5	0.0
2542.5	0.0
2557.5	0.0
2572.5	0.0
2587.5	0.0
2602.5	0.0
2617.5	0.0
2632.5	0.0
2647.5	0.0
2662.5	0.0
2677.5	0.0
2692.5	0.0
2707.5	0.0
2722.5	0.0
2737.5	0.0
2752.5	0.0
2767.5	0.0
2782.5	0.0
2797.5	0.0
2812.5	0.0
2827.5	0.0
2842.5	0.0
2857.5	0.0
2872.5	0.0
2887.5	0.0
2902.5	0.0
2917.5	0.0
2932.5	0.0
