Bins 	 Weights 
-0.0075 	 0.0 
0.0075 	 0.0006754384625952101 
0.0225 	 0.05194159937722284 
0.0375 	 1.1197031505197441 
0.0525 	 1.9334910628424893 
0.0675 	 1.722503930517607 
0.0825 	 1.3771033993253248 
0.0975 	 1.1252341138400013 
0.1125 	 0.9371533130828996 
0.1275 	 0.7747481415902188 
0.1425 	 0.6475943705829378 
0.1575 	 0.5565208431914277 
0.1725 	 0.4948002686489704 
0.1875 	 0.44877219025231635 
0.2025 	 0.41338322165066477 
0.2175 	 0.3873406804756308 
0.2325 	 0.36447632530948054 
0.2475 	 0.3447075389617328 
0.2625 	 0.3283060232320303 
0.2775 	 0.3146303023827332 
0.2925 	 0.30097881336528626 
0.3075 	 0.2891868789400577 
0.3225 	 0.27857886984262664 
0.3375 	 0.269243699723719 
0.3525 	 0.2614444843008258 
0.3675 	 0.2529320516538702 
0.3825 	 0.2447871033230046 
0.3975 	 0.23749389434158105 
0.4125 	 0.23121365225222476 
0.4275 	 0.22519099262741746 
0.4425 	 0.21975905545464258 
0.4575 	 0.21422503930517608 
0.4725 	 0.20891464289530323 
0.4875 	 0.20356665852578879 
0.5025 	 0.19844649153603103 
0.5175 	 0.1957042876986247 
0.5325 	 0.1897758841756598 
0.5475 	 0.18544983438401538 
0.5625 	 0.181873635766947 
0.5775 	 0.1781394532382886 
0.5925 	 0.1739091859630913 
0.6075 	 0.17020877535756262 
0.6225 	 0.16687756628455422 
0.6375 	 0.16357631309816373 
0.6525 	 0.16023728115030605 
0.6675 	 0.1578638972417688 
0.6825 	 0.155086395066628 
0.6975 	 0.15186718666524202 
0.7125 	 0.14927209103536704 
0.7275 	 0.14682028757651153 
0.7425 	 0.14410117076000184 
0.7575 	 0.14116530306961977 
0.7725 	 0.13875146917405706 
0.7875 	 0.13552310228504266 
0.8025 	 0.1335895165844947 
0.8175 	 0.13047543998900982 
0.8325 	 0.1287748233175095 
0.8475 	 0.1269423625845252 
0.8625 	 0.1256080854181613 
0.8775 	 0.1233131210599423 
0.8925 	 0.1206691801627158 
0.9075 	 0.1191418115488529 
0.9225 	 0.11798841451315006 
0.9375 	 0.11593500526613039 
0.9525 	 0.11318478775204921 
0.9675 	 0.11210275059911773 
0.9825 	 0.108609932379833 
0.9975 	 0.10752446079404088 
1.0125 	 0.10597743959214202 
1.0275 	 0.10443118159754552 
1.0425 	 0.10204730358860073 
1.0575 	 0.10213240120281471 
1.0725 	 0.10091222352815472 
1.0875 	 0.09735682231007586 
1.1025 	 0.09661479401034909 
1.1175 	 0.09506548318654313 
1.1325 	 0.09344805611100088 
1.1475 	 0.09156541449788591 
1.1625 	 0.09092145833651337 
1.1775 	 0.08915577824248623 
1.1925 	 0.08718727580785493 
1.2075 	 0.08550497611161144 
1.2225 	 0.0850107993833285 
1.2375 	 0.08421153053592417 
1.2525 	 0.08234682429441485 
1.2675 	 0.08048917772045243 
1.2825 	 0.0807456153740479 
1.2975 	 0.07650084716010563 
1.3125 	 0.07632168424587486 
1.3275 	 0.07709385923404515 
1.3425 	 0.074230496237388 
1.3575 	 0.07509253888541205 
1.3725 	 0.07231293789018974 
1.3875 	 0.07345240639262436 
1.4025 	 0.0710465861737365 
1.4175 	 0.06993516553966388 
1.4325 	 0.06871575107230626 
1.4475 	 0.0668895867995665 
1.4625 	 0.6512930639720361 
1.4775 	 0.0 
1.4925 	 0.0 
1.5075 	 0.0 
1.5225 	 0.0 
1.5375 	 0.0 
1.5525 	 0.0 
1.5675 	 0.0 
1.5825 	 0.0 
1.5975 	 0.0 
1.6125 	 0.0 
1.6275 	 0.0 
1.6425 	 0.0 
1.6575 	 0.0 
1.6725 	 0.0 
1.6875 	 0.0 
1.7025 	 0.0 
1.7175 	 0.0 
1.7325 	 0.0 
1.7475 	 0.0 
1.7625 	 0.0 
1.7775 	 0.0 
1.7925 	 0.0 
1.8075 	 0.0 
1.8225 	 0.0 
1.8375 	 0.0 
1.8525 	 0.0 
1.8675 	 0.0 
1.8825 	 0.0 
1.8975 	 0.0 
1.9125 	 0.0 
1.9275 	 0.0 
1.9425 	 0.0 
1.9575 	 0.0 
1.9725 	 0.0 
1.9875 	 0.0 
2.0025 	 0.0 
2.0175 	 0.0 
2.0325 	 0.0 
2.0475 	 0.0 
2.0625 	 0.0 
2.0775 	 0.0 
2.0925 	 0.0 
2.1075 	 0.0 
2.1225 	 0.0 
2.1375 	 0.0 
2.1525 	 0.0 
2.1675 	 0.0 
2.1825 	 0.0 
2.1975 	 0.0 
2.2125 	 0.0 
2.2275 	 0.0 
2.2425 	 0.0 
2.2575 	 0.0 
2.2725 	 0.0 
2.2875 	 0.0 
2.3025 	 0.0 
2.3175 	 0.0 
2.3325 	 0.0 
2.3475 	 0.0 
2.3625 	 0.0 
2.3775 	 0.0 
2.3925 	 0.0 
2.4075 	 0.0 
2.4225 	 0.0 
2.4375 	 0.0 
2.4525 	 0.0 
2.4675 	 0.0 
2.4825 	 0.0 
2.4975 	 0.0 
2.5125 	 0.0 
2.5275 	 0.0 
2.5425 	 0.0 
2.5575 	 0.0 
2.5725 	 0.0 
2.5875 	 0.0 
2.6025 	 0.0 
2.6175 	 0.0 
2.6325 	 0.0 
2.6475 	 0.0 
2.6625 	 0.0 
2.6775 	 0.0 
2.6925 	 0.0 
2.7075 	 0.0 
2.7225 	 0.0 
2.7375 	 0.0 
2.7525 	 0.0 
2.7675 	 0.0 
2.7825 	 0.0 
2.7975 	 0.0 
2.8125 	 0.0 
2.8275 	 0.0 
2.8425 	 0.0 
2.8575 	 0.0 
2.8725 	 0.0 
2.8875 	 0.0 
2.9025 	 0.0 
2.9175 	 0.0 
2.9325 	 0.0 
2.9475 	 0.0 
2.9625 	 0.0 
2.9775 	 0.0 
2.9925 	 0.0 
3.0075 	 0.0 
3.0225 	 0.0 
3.0375 	 0.0 
3.0525 	 0.0 
3.0675 	 0.0 
3.0825 	 0.0 
3.0975 	 0.0 
3.1125 	 0.0 
