energy 	 mean 	 psig1 	 nsig1 	 psig2 	 nsig2 
0 	 2.7941176470588234 	 3.617647058823529 	 1.9705882352941178 	 5.26470588235294 	 0.32352941176470607 
1 	 3.130093131548312 	 4.111119234586468 	 2.149067028510155 	 6.073171440662781 	 0.18701482243384238 
2 	 3.332157968970381 	 4.446357033299775 	 2.2179589046409864 	 6.674755161958564 	 -0.010439224017802395 
3 	 3.598489822718319 	 4.892806412429156 	 2.3041732330074822 	 7.4814395918508305 	 -0.28445994641419237 
4 	 3.9988910937317614 	 5.536617114508855 	 2.461165072954667 	 8.612069156063043 	 -0.6142869685995214 
5 	 4.544644064359113 	 6.364349152376194 	 2.724938976342031 	 10.003759328410357 	 -0.9144711996921329 
6 	 5.240310874947679 	 7.375296517127429 	 3.1053252327679277 	 11.64526780148693 	 -1.164646051591574 
7 	 6.0837299197762285 	 8.54235130214078 	 3.625108537411678 	 13.45959406686988 	 -1.2921342273174234 
8 	 7.053204390491394 	 9.814056408636514 	 4.292352372346275 	 15.335760444926752 	 -1.2293516639439632 
9 	 8.117825424479909 	 11.151624599425189 	 5.084026249534629 	 17.21922294931575 	 -0.9835721003559303 
10 	 9.271079245283019 	 12.56200762914105 	 5.980150861424987 	 19.143864396857115 	 -0.6017059062910768 
11 	 10.521171008200675 	 14.047620470016724 	 6.994721546384625 	 21.100519393648824 	 -0.05817737724747296 
12 	 11.798556611823525 	 15.532714895819172 	 8.064398327827877 	 23.001031463810463 	 0.5960817598365864 
13 	 13.104407229973011 	 17.044988892960756 	 9.163825566985269 	 24.92615221893624 	 1.2826622410097812 
14 	 14.439472450316794 	 18.571991182832036 	 10.306953717801552 	 26.83702864786252 	 2.041916252771067 
15 	 15.790543992402979 	 20.104004954056755 	 11.477083030749203 	 28.730926877364304 	 2.850161107441652 
16 	 17.20412378562079 	 21.7141789115705 	 12.694068659671082 	 30.73428916346992 	 3.6739584077716607 
17 	 18.62606210227341 	 23.303391763283525 	 13.948732441263292 	 32.658051085303754 	 4.594073119243063 
18 	 20.06048913759841 	 24.895245439506134 	 15.225732835690685 	 34.56475804332159 	 5.556220231875233 
19 	 21.553023088671278 	 26.57216447270889 	 16.533881704633664 	 36.61044724078411 	 6.495598936558443 
20 	 23.041358463939535 	 28.210902773935675 	 17.871814153943394 	 38.549991393927954 	 7.532725533951112 
21 	 24.510659898477158 	 29.840656350656104 	 19.18066344629821 	 40.50064925501399 	 8.520670541940325 
22 	 26.02643762037491 	 31.53745792191826 	 20.51541731883156 	 42.55949852500497 	 9.493376715744855 
23 	 27.566580048737553 	 33.229410047273376 	 21.903750050201726 	 44.55507004434503 	 10.578090053130072 
24 	 29.125773436238962 	 34.9555575260413 	 23.295989346436627 	 46.615125705645966 	 11.636421166831955 
25 	 30.706605876150306 	 36.69649932678031 	 24.716712425520296 	 48.67628622804034 	 12.736925524260275 
26 	 32.30611093098935 	 38.44317105555062 	 26.169050806428075 	 50.71729130467317 	 13.894930557305528 
27 	 33.88100803768903 	 40.156915191515125 	 27.60510088386293 	 52.70872949916731 	 15.053286576210745 
28 	 35.46065192363043 	 41.88676548213324 	 29.034538365127613 	 54.738992599138875 	 16.182311248121984 
29 	 37.09304270398402 	 43.67224113094838 	 30.513844277019658 	 56.8306379848771 	 17.35544742309094 
30 	 38.7679753110186 	 45.472136221566174 	 32.06381440047103 	 58.88045804266132 	 18.655492579375892 
31 	 40.4215975975976 	 47.260406010672575 	 33.58278918452262 	 60.938022836822526 	 19.905172358372663 
32 	 42.06114225964052 	 49.03186465267815 	 35.090419866602886 	 62.97330943875342 	 21.148975080527617 
33 	 43.70022469479958 	 50.8040857958484 	 36.59636359375076 	 65.01180799794605 	 22.388641391653117 
34 	 45.37932601173462 	 52.60682857398094 	 38.1518234494883 	 67.06183369847358 	 23.69681832499566 
35 	 47.08961561876518 	 54.443451206312076 	 39.73578003121828 	 69.15112238140587 	 25.02810885612449 
36 	 48.79480288888356 	 56.302960674909976 	 41.28664510285714 	 71.3192762469628 	 26.270329530804315 
