energy 	 mean 	 psig1 	 nsig1 	 psig2 	 nsig2 
20 	 3.6493890858861584 	 3.6997039360085995 	 3.5990742357637173 	 3.8003336362534816 	 3.498444535518835 
21 	 3.6639924156464616 	 3.7135057956628454 	 3.6144790356300778 	 3.812532555695613 	 3.51545227559731 
22 	 3.6781512207960003 	 3.726975923390889 	 3.6293265182011116 	 3.824625328580666 	 3.5316771130113347 
23 	 3.691370750458035 	 3.739693133380065 	 3.6430483675360046 	 3.8363378992241257 	 3.546403601691944 
24 	 3.703822769826752 	 3.7516217601276667 	 3.656023779525837 	 3.847219740729496 	 3.560425798924008 
25 	 3.715862071031443 	 3.763117483997383 	 3.668606658065503 	 3.8576283099292623 	 3.5740958321336236 
26 	 3.727366619835009 	 3.774023266118073 	 3.680709973551945 	 3.8673365586842006 	 3.5873966809858175 
27 	 3.7381539388272524 	 3.7842726371418776 	 3.6920352405126273 	 3.8765100337711274 	 3.5997978438833775 
28 	 3.7484764854379415 	 3.79399968829052 	 3.702953282585363 	 3.885046093995677 	 3.611906876880206 
29 	 3.7585733237072465 	 3.8035087883406304 	 3.7136378590738626 	 3.8933797176073983 	 3.6237669298070947 
30 	 3.7682353153500023 	 3.8128269624678515 	 3.723643668232153 	 3.902010256703549 	 3.634460373996456 
31 	 3.7773983783783773 	 3.821669217997926 	 3.7331275387588287 	 3.9102108972370226 	 3.644585859519732 
32 	 3.7862956708812083 	 3.8301298185933543 	 3.7424615231690623 	 3.9177981140176468 	 3.65479322774477 
33 	 3.794932591965108 	 3.8383890736267934 	 3.751476110303422 	 3.925302036950164 	 3.6645631469800515 
34 	 3.803292282232586 	 3.8465937093824154 	 3.7599908550827568 	 3.9331965636820736 	 3.6733880007830986 
35 	 3.811260103795591 	 3.854263839144928 	 3.768256368446254 	 3.940271309843603 	 3.6822488977475794 
36 	 3.8188560836912444 	 3.8614076276557068 	 3.776304539726782 	 3.9465107155846315 	 3.6912014517978573 
37 	 3.826378865286368 	 3.868605443902148 	 3.784152286670588 	 3.953058601133708 	 3.699699129439028 
38 	 3.8337717551069384 	 3.8757736763818613 	 3.7917698338320154 	 3.9597775189317077 	 3.707765991282169 
39 	 3.8409065821749797 	 3.8825365827823144 	 3.799276581567645 	 3.9657965839969838 	 3.7160165803529757 
40 	 3.8478328084398092 	 3.889071140307459 	 3.8065944765721595 	 3.9715478040427588 	 3.7241178128368597 
41 	 3.854396029669975 	 3.8955591413826585 	 3.8132329179572912 	 3.977885364808026 	 3.7309066945319236 
42 	 3.86086193695041 	 3.9018238452272467 	 3.8199000286735734 	 3.9837476617809204 	 3.7379762121198996 
43 	 3.8673618882166183 	 3.908005152205115 	 3.8267186242281217 	 3.989291680182108 	 3.7454320962511285 
44 	 3.873417475320815 	 3.9136903431673793 	 3.833144607474251 	 3.994236078860508 	 3.7525988717811223 
45 	 3.8791554903604353 	 3.9192007274673504 	 3.83911025325352 	 3.99929120168118 	 3.7590197790396904 
46 	 3.884965865992415 	 3.924862616311896 	 3.845069115672934 	 4.004656116950858 	 3.7652756150339726 
47 	 3.8907360519021363 	 3.930395885817448 	 3.8510762179868245 	 4.009715553648072 	 3.7717565501562005 
48 	 3.896367199655313 	 3.9358811863807976 	 3.856853212929828 	 4.014909159831767 	 3.777825239478859 
49 	 3.9017425398694856 	 3.9411391603970483 	 3.862345919341923 	 4.0199324014521745 	 3.783552678286797 
50 	 3.9068649538906457 	 3.9460982732601466 	 3.867631634521145 	 4.024564911999149 	 3.7891649957821425 
51 	 3.9121580912714085 	 3.951208966320911 	 3.873107216221906 	 4.029310716419917 	 3.7950054661229 
52 	 3.91743347170898 	 3.9562335904477326 	 3.878633352970227 	 4.033833827925238 	 3.801033115492722 
53 	 3.922366728494689 	 3.960993720538837 	 3.883739736450541 	 4.038247704627133 	 3.806485752362245 
54 	 3.9270533138185244 	 3.965566122596747 	 3.888540505040302 	 4.042591740153192 	 3.811514887483857 
55 	 3.9317373381152816 	 3.9699933642451146 	 3.8934813119854486 	 4.046505416504782 	 3.816969259725782 
56 	 3.936458941999138 	 3.9745040344296787 	 3.898413849568597 	 4.050594219290761 	 3.822323664707515 
57 	 3.9409546810925047 	 3.978941745907544 	 3.9029676162774654 	 4.054915875537623 	 3.8269934866473867 
58 	 3.945653726820116 	 3.98353179883218 	 3.9077756548080522 	 4.059287942856307 	 3.8320195107839248 
59 	 3.950039990414283 	 3.9877371606553385 	 3.9123428201732273 	 4.063131501137449 	 3.8369484796911166 
60 	 3.954176417803303 	 3.9917744127143906 	 3.9165784228922154 	 4.066970402536565 	 3.8413824330700406 
61 	 3.958404514948139 	 3.9958504995476254 	 3.9209585303486527 	 4.070742468746597 	 3.8460665611496805 
62 	 3.9625871323309183 	 3.999784131624843 	 3.9253901330369936 	 4.074178130212693 	 3.8509961344491437 
63 	 3.9667355431238227 	 4.003920113321465 	 3.929550972926181 	 4.078289253716749 	 3.855181832530897 
64 	 3.970793754590897 	 4.007909489228782 	 3.9336780199530126 	 4.08214095850455 	 3.8594465506772435 
65 	 3.9745533040437553 	 4.01153781298003 	 3.9375687951074805 	 4.085506830852579 	 3.8635997772349313 
66 	 3.9783223636800376 	 4.015237824319258 	 3.9414069030408174 	 4.089068745597698 	 3.8675759817623767 
67 	 3.9820629332853152 	 4.018774534929728 	 3.9453513316409023 	 4.0921977382185535 	 3.8719281283520766 
68 	 3.985833864125275 	 4.0223977012326415 	 3.949270027017908 	 4.095525375447375 	 3.876142352803175 
69 	 3.989623508080978 	 4.026011734041976 	 3.95323528211998 	 4.098788185963972 	 3.880458830197984 
