energy rate negative_error possitive_error
0.0 0.0 0.0 0.0
0.02 0.12419736385345459 0.0008474526662956341 0.0008474526662956341
0.04 0.11195573210716248 0.0008046044383355714 0.0008046044383355714
0.06 0.05452355742454529 0.0005615020540053106 0.0005615020540053106
0.08 0.0535116121172905 0.0005562669774319531 0.0005562669774319531
0.1 0.04781581088900566 0.0005258295971014947 0.0005258295971014947
0.12 0.03145122528076172 0.00042645976259856493 0.00042645976259856493
0.14 0.01580945961177349 0.0003023554397577717 0.0003023554397577717
0.16 0.0075635602697730064 0.00020913292101216947 0.00020913292101216947
0.18 0.0046838559210300446 0.0001645739302637548 0.0001645739302637548
0.2 0.004013081546872854 0.00015233449831221084 0.00015233449831221084
0.22 0.003550478722900152 0.00014328565620832162 0.00014328565620832162
0.24 0.003342307172715664 0.00013902165381553591 0.00013902165381553591
0.26 0.003272916655987501 0.00013757095338209723 0.00013757095338209723
0.28 0.0032671340741217136 0.0001374493705449278 0.0001374493705449278
0.3 0.0028912692796438932 0.00012930149121780332 0.00012930149121780332
0.32 0.0030127023346722126 0.00013198889501642126 0.00013198889501642126
0.34 0.002648402703925967 0.00012375172757635047 0.00012375172757635047
0.36 0.0026310551911592484 0.00012334576127433152 0.00012334576127433152
0.38 0.002636837540194392 0.0001234812316735085 0.0001234812316735085
0.4 0.0025963596999645233 0.00012252979358821515 0.00012252979358821515
0.42 0.0030647453386336565 0.0001331240330256582 0.0001331240330256582
0.44 0.003030050080269575 0.00013236835596713725 0.00013236835596713725
0.46 0.002573229605332017 0.00012198278284955394 0.00012198278284955394
0.48 0.002775618340820074 0.00012668907058583138 0.00012668907058583138
0.5 0.002665750216692686 0.0001241563664574562 0.0001241563664574562
0.52 0.00234771054238081 0.00011651492184476592 0.00011651492184476592
0.54 0.0022262772545218468 0.00011346159806729196 0.00011346159806729196
0.56 0.0024171010591089725 0.00011822427850335757 0.00011822427850335757
0.58 0.002313015516847372 0.00011565076958204012 0.00011565076958204012
0.6 0.0026888803113251925 0.00012469384241800929 0.00012469384241800929
0.62 0.0030589629895985126 0.00013299838501934616 0.00013299838501934616
0.64 0.0037239547818899155 0.0001467443757454377 0.0001467443757454377
0.66 0.004423642065376043 0.00015993711175226323 0.00015993711175226323
0.68 0.005053938366472721 0.00017095202427361346 0.00017095202427361346
0.7000000000000001 0.005643757525831461 0.0001806522771292968 0.0001806522771292968
0.72 0.005609062500298023 0.00018009613745004771 0.00018009613745004771
0.74 0.005476064048707485 0.00017794816786186277 0.00017794816786186277
0.76 0.005013461224734783 0.00017026605752295455 0.00017026605752295455
0.78 0.0045739877969026566 0.00016263228845612304 0.00016263228845612304
0.8 0.0038049104623496532 0.00014833084753546828 0.00014833084753546828
0.8200000000000001 0.0032497865613549948 0.00013708397502775437 0.00013708397502775437
0.84 0.0024749264121055603 0.00011963008626705244 0.00011963008626705244
0.86 0.0022320598363876343 0.0001136088552325302 0.0001136088552325302
0.88 0.0019718455150723457 0.00010678142713244993 0.00010678142713244993
0.9 0.0019487155368551612 0.00010615329564075499 0.00010615329564075499
0.92 0.0016595885390415788 9.796241428363616e-05 9.796241428363616e-05
0.9400000000000001 0.0015265902038663626 9.395512936101983e-05 9.395512936101983e-05
0.96 0.001295288559049368 8.65451112585463e-05 8.65451112585463e-05
0.98 0.0014629822690039873 9.197690508687886e-05 9.197690508687886e-05
1.0 0.0012895060935989022 8.63517141201717e-05 8.63517141201717e-05
1.02 0.0010408569360151887 7.7580894730682e-05 7.7580894730682e-05
1.04 0.0010524219833314419 7.801070907085611e-05 7.801070907085611e-05
1.06 0.0009252061136066914 7.314396900611325e-05 7.314396900611325e-05
1.08 0.0009252061718143523 7.314396900611325e-05 7.314396900611325e-05
1.1 0.0007748601492494345 6.693772231819347e-05 6.693772231819347e-05
1.12 0.0007459474727511406 6.567701205776721e-05 6.567701205776721e-05
1.1400000000000001 0.0008037728257477283 6.817512321557661e-05 6.817512321557661e-05
1.16 0.0007690776255913079 6.668748696633635e-05 6.668748696633635e-05
1.18 0.0007864251965656877 6.743540740347141e-05 6.743540740347141e-05
1.2 0.0007112522143870592 6.413145410219798e-05 6.413145410219798e-05
1.22 0.0006939045852050185 6.334453529291569e-05 6.334453529291569e-05
1.24 0.0007343824254348874 6.516589913683006e-05 6.516589913683006e-05
1.26 0.0007285998435690999 6.490883344390972e-05 6.490883344390972e-05
1.28 0.0008905109134502709 7.175941537104022e-05 7.175941537104022e-05
1.3 0.0006707744905725121 6.227984542712241e-05 6.227984542712241e-05
1.32 0.0006881221197545528 6.308004756032724e-05 6.308004756032724e-05
1.34 0.0006302966503426433 6.037147412139439e-05 6.037147412139439e-05
