pulsearea rate x_error y_error
0.0 0.0 2.5 0.0
1.0 0.0 2.5 0.0
2.0 0.0 2.5 0.0
3.0 0.0 2.5 0.0
4.0 1.1109123229980469 2.5 1.0539982556902296
5.0 3.723330020904541 2.5 1.929593226797954
6.0 4.311732292175293 2.5 2.07647111517962
7.0 3.3334250450134277 2.5 1.825766974455784
8.0 2.337810754776001 2.5 1.5289901094434852
9.0 1.7405959367752075 2.5 1.3193164657409562
10.0 1.4253666400909424 2.5 1.1938871973896623
11.0 1.2833244800567627 2.5 1.1328391236432307
12.0 1.2320737838745117 2.5 1.109988190871647
13.0 1.2340630292892456 2.5 1.1108838955035965
14.0 1.2645138502120972 2.5 1.124506047210106
15.0 1.3057664632797241 2.5 1.1427013884999546
16.0 1.329463243484497 2.5 1.1530235225200296
17.0 1.3355696201324463 2.5 1.1556684732796194
18.0 1.3173778057098389 2.5 1.14777079842181
19.0 1.261310338973999 2.5 1.1230807357327428
20.0 1.1719238758087158 2.5 1.0825543292642248
21.0 1.0710763931274414 2.5 1.034928206750324
22.0 0.9453582167625427 2.5 0.9722953341256672
23.0 0.8118798732757568 2.5 0.9010437687902607
24.0 0.6894057393074036 2.5 0.8303046063387843
25.0 0.5745298266410828 2.5 0.7579774578713293
26.0 0.47303473949432373 2.5 0.6877752100027478
27.0 0.3814682364463806 2.5 0.6176311491872643
28.0 0.3079027831554413 2.5 0.5548898838106903
29.0 0.2465038150548935 2.5 0.49649150552138704
30.0 0.20140579342842102 2.5 0.44878256809776046
31.0 0.1667683869600296 2.5 0.4083728528685882
32.0 0.13861322402954102 2.5 0.3723079693339118
33.0 0.120785653591156 2.5 0.34754230475030806
34.0 0.10594187676906586 2.5 0.32548713763997783
35.0 0.09479892998933792 2.5 0.3078943487453739
36.0 0.0888313502073288 2.5 0.2980458860768402
37.0 0.08289846032857895 2.5 0.2879209272154057
38.0 0.0810307040810585 2.5 0.2846589258763169
39.0 0.07609819620847702 2.5 0.27585901509371963
40.0 0.07328788936138153 2.5 0.2707173606575344
41.0 0.07067996263504028 2.5 0.2658570342026712
42.0 0.06836116313934326 2.5 0.26145967784601754
43.0 0.06586311012506485 2.5 0.25663809172658847
44.0 0.06569541245698929 2.5 0.25631116334835924
45.0 0.06332457065582275 2.5 0.25164373756527847
46.0 0.06266536563634872 2.5 0.25033051279528173
47.0 0.06041595712304115 2.5 0.24579657671139596
48.0 0.0601152628660202 2.5 0.2451841407310436
49.0 0.0596989206969738 2.5 0.24433362580081727
50.0 0.0564202219247818 2.5 0.23752941275720318
51.0 0.05539093166589737 2.5 0.2353527813005348
52.0 0.05462763458490372 2.5 0.23372555398352085
53.0 0.05376025661826134 2.5 0.23186258132407078
54.0 0.053112611174583435 2.5 0.230461734729615
55.0 0.052609529346227646 2.5 0.2293676728447748
56.0 0.05066659674048424 2.5 0.22509241822079268
57.0 0.049515873193740845 2.5 0.22252162410368312
58.0 0.050319645553827286 2.5 0.22432040824193256
59.0 0.049192048609256744 2.5 0.22179280558498002
60.0 0.04849236458539963 2.5 0.2202098194572613
61.0 0.04680386185646057 2.5 0.21634200206261514
62.0 0.04654364660382271 2.5 0.21573976593067562
63.0 0.04553748667240143 2.5 0.21339514210122362
64.0 0.04533509910106659 2.5 0.21292040555349923
65.0 0.04402245953679085 2.5 0.2098152986242682
66.0 0.04423641413450241 2.5 0.21032454477426646
67.0 0.042345523834228516 2.5 0.20578028047951658
68.0 0.04276765137910843 2.5 0.2068034123971566
69.0 0.04162270948290825 2.5 0.20401644414828
70.0 0.04105601832270622 2.5 0.20262284748444886
71.0 0.04079580679535866 2.5 0.20197971877235263
