energy 	 mean 	 psig1 	 nsig1 	 psig2 	 nsig2 
0 	 3.0714285714285716 	 3.8823517317107807 	 2.2605054111463625 	 5.5041980522752 	 0.6386590905819438 
1 	 3.219552337063858 	 4.273254951903336 	 2.1658497222243795 	 6.380660181582294 	 0.058444492545421944 
2 	 3.422433258068801 	 4.604981177034361 	 2.239885339103241 	 6.970077014965479 	 -0.12521049882787816 
3 	 3.7263786716752754 	 5.112623566006381 	 2.34013377734417 	 7.88511335466859 	 -0.4323560113180398 
4 	 4.142707796733433 	 5.778681153766792 	 2.506734439700074 	 9.050627867833509 	 -0.7652122743666432 
5 	 4.67763129078884 	 6.602562937820774 	 2.7526996437569062 	 10.452426231884642 	 -1.0971636503069622 
6 	 5.361789061789062 	 7.6152620334045515 	 3.1083160901735716 	 12.122207976635533 	 -1.3986298530574084 
7 	 6.208557968249755 	 8.80379264347556 	 3.61332329302395 	 13.99426199392717 	 -1.57714605742766 
8 	 7.162770236299648 	 10.083839151584277 	 4.24170132101502 	 15.925976982153536 	 -1.600436509554239 
9 	 8.202887468265377 	 11.425239555692555 	 4.9805353808382 	 17.86994373054691 	 -1.4641687940161567 
10 	 9.388619119878603 	 12.909699069443475 	 5.867539170313732 	 19.951858968573216 	 -1.1746207288160093 
11 	 10.617880974257783 	 14.381805527263793 	 6.853956421251773 	 21.909654633275814 	 -0.6738926847602471 
12 	 11.886019603728904 	 15.88576045870471 	 7.8862787487530985 	 23.885242168656323 	 -0.11320296119851392 
13 	 13.212489359477905 	 17.418282635380024 	 9.006696083575784 	 25.829869187184265 	 0.5951095317715431 
14 	 14.572402796700253 	 18.990476888262272 	 10.154328705138234 	 27.826625071386307 	 1.3181805220141989 
15 	 15.981161955898767 	 20.611410545791834 	 11.350913366005699 	 29.871907725577973 	 2.09041618621956 
16 	 17.41123101036894 	 22.254483507087635 	 12.567978513650248 	 31.940988500525016 	 2.8814735202128627 
17 	 18.83788883376182 	 23.854380641622676 	 13.821397025900962 	 33.887364257344395 	 3.7884134101792473 
18 	 20.29042409710775 	 25.495604402156083 	 15.085243792059414 	 35.90596501225276 	 4.674883181962743 
19 	 21.808331829935653 	 27.197949605973395 	 16.41871405389791 	 37.97718515804888 	 5.639478501822424 
20 	 23.29078642906512 	 28.840211542970607 	 17.74136131515963 	 39.93906177078158 	 6.642511087348655 
21 	 24.80338689445075 	 30.57195631539668 	 19.03481747350482 	 42.109095157288536 	 7.49767863161296 
22 	 26.384895856730004 	 32.325170038170064 	 20.444621675289945 	 44.20571840105018 	 8.564073312409828 
23 	 27.912350327584907 	 33.99715487167714 	 21.827545783492678 	 46.1667639598616 	 9.65793669530822 
24 	 29.489566238576312 	 35.72554196069176 	 23.253590516460864 	 48.19749340492265 	 10.781639072229972 
25 	 31.08568378638441 	 37.4710552406299 	 24.70031233213892 	 50.24179814912088 	 11.929569423647937 
26 	 32.67201319933099 	 39.21078683856305 	 26.133239560098932 	 52.28833411702717 	 13.055692281634812 
27 	 34.30539047962063 	 41.02636090211684 	 27.58442005712441 	 54.46830174710927 	 14.142479212131981 
28 	 35.97734786882316 	 42.84227438033994 	 29.11242135730638 	 56.57212740337349 	 15.382568334272825 
29 	 37.63208279237737 	 44.63791409145977 	 30.626251493294966 	 58.64957668962458 	 16.614588895130154 
30 	 39.324855012427506 	 46.48275266613569 	 32.16695735871932 	 60.79854797355205 	 17.851162051302964 
31 	 40.98956474395814 	 48.28508422607721 	 33.69404526183907 	 62.87612319031534 	 19.10300629760094 
32 	 42.661758896283466 	 50.11539280080048 	 35.208124991766454 	 65.0226606098345 	 20.300857182732436 
33 	 44.398095782443896 	 52.02499052920822 	 36.771201035679574 	 67.27878002273687 	 21.51741154215093 
34 	 46.14518438954529 	 53.919475160496816 	 38.37089361859377 	 69.46805670239988 	 22.82231207669071 
35 	 47.902129120879124 	 55.8192169911133 	 39.98504125064495 	 71.65339273158165 	 24.150865510176597 
36 	 49.57116674117121 	 57.595799236321724 	 41.5465342460207 	 73.64506422662276 	 25.49726925571966 
37 	 51.26926403053617 	 59.41936660033618 	 43.11916146073616 	 75.7195717399362 	 26.81895632113614 
38 	 53.045641595578516 	 61.344524655262674 	 44.74675853589436 	 77.942290774631 	 28.14899241652603 
39 	 54.83666409289791 	 63.25951040446535 	 46.41381778133047 	 80.10520302760024 	 29.568125158195585 
40 	 56.60878351883691 	 65.12957232927815 	 48.08799470839567 	 82.17114995016061 	 31.046417087513202 
41 	 58.39739944936557 	 67.04131887342899 	 49.75348002530215 	 84.32915772155584 	 32.4656411771753 
42 	 60.192057885993925 	 68.99045936869943 	 51.39365640328841 	 86.58726233411046 	 33.79685343787739 
43 	 62.056322876702026 	 70.99691637328718 	 53.11572938011687 	 88.8781033664575 	 35.23454238694656 
44 	 63.859580802309495 	 72.89220581198177 	 54.82695579263722 	 90.95745583132631 	 36.76170577329268 
45 	 65.61988633800911 	 74.78835078969001 	 56.451421886328205 	 93.12527969305182 	 38.1144929829664 
46 	 67.40291699854225 	 76.68749270044171 	 58.118341296642804 	 95.25664410424059 	 39.549189892843906 
47 	 69.25806548243118 	 78.67414101225117 	 59.841989952611186 	 97.50629207189117 	 41.00983889297119 
48 	 71.16481578749907 	 80.7290376701621 	 61.600593904836025 	 99.85748143548818 	 42.47215013950995 
49 	 73.00403152745062 	 82.64183558600362 	 63.36622746889762 	 101.91744370310963 	 44.09061935179162 
50 	 74.84620929953142 	 84.5827631223187 	 65.10965547674415 	 104.05587076789325 	 45.636547831169594 
51 	 76.63402556149893 	 86.57244501019983 	 66.69560611279803 	 106.44928390760163 	 46.81876721539624 
52 	 78.51110677513283 	 88.601989815101 	 68.42022373516465 	 108.78375589503739 	 48.23845765522828 
53 	 80.4207965331614 	 90.59956101033727 	 70.24203205598552 	 110.957089964689 	 49.884503101633776 
54 	 82.2663081141342 	 92.52967904388727 	 72.00293718438114 	 113.05642090339342 	 51.47619532487499 
55 	 84.14125466137375 	 94.52456675050601 	 73.75794257224149 	 115.29119092877055 	 52.991318393976954 
56 	 86.03334430595663 	 96.54347818533125 	 75.52321042658201 	 117.5637459440805 	 54.50294266783278 
57 	 87.92210553011203 	 98.49043174355434 	 77.35377931666973 	 119.62708417043895 	 56.21712688978512 
58 	 89.85496536486325 	 100.52522999059784 	 79.18470073912866 	 121.86575924206704 	 57.84417148765946 
59 	 91.76689675870348 	 102.5713194102513 	 80.96247410715566 	 124.18016471334694 	 59.35362880406002 
60 	 93.72379140957287 	 104.63258787695284 	 82.8149949421929 	 126.45018081171278 	 60.997402007432946 
61 	 95.66207689187362 	 106.63017229707101 	 84.69398148667624 	 128.5663631074658 	 62.757790676281445 
62 	 97.56123925825419 	 108.6214633929377 	 86.50101512357068 	 130.7419116623047 	 64.38056685420369 
63 	 99.4588585302978 	 110.6647141634747 	 88.25300289712091 	 133.0764254298285 	 65.8412916307671 
64 	 101.38342413388315 	 112.74540274842116 	 90.02144551934515 	 135.46935997749716 	 67.29748829026913 
65 	 103.40192618067182 	 114.89063550158852 	 91.91321685975512 	 137.86805414342194 	 68.93579821792171 
66 	 105.31862583030266 	 116.85483913509867 	 93.78241252550666 	 139.9272657446907 	 70.70998591591464 
67 	 107.22801212503188 	 118.87215728622152 	 95.58386696384224 	 142.1604476086008 	 72.29557664146297 
68 	 109.21347254261661 	 120.99220370459922 	 97.43474138063401 	 144.54966602856442 	 73.87727905666881 
69 	 111.21543567716938 	 123.07639165394251 	 99.35447970039625 	 146.79830360748875 	 75.63256774685001 
70 	 113.18106548212613 	 125.12329629764082 	 101.23883466661144 	 149.00775792867023 	 77.35437303558204 
71 	 115.14652147610406 	 127.25937212889316 	 103.03367082331495 	 151.48507343447136 	 78.80796951773674 
72 	 117.18983360236547 	 129.39122705250355 	 104.98844015222738 	 153.7940139527797 	 80.58565325195124 
73 	 119.14403267463511 	 131.38746876953215 	 106.90059657973806 	 155.87434095932625 	 82.41372438994398 
74 	 121.10611258614003 	 133.5542063103038 	 108.65801886197625 	 158.45039375863138 	 83.7618314136487 
75 	 123.0793543746066 	 135.62379882749872 	 110.53490992171446 	 160.712687733283 	 85.4460210159302 
76 	 124.96361833804002 	 137.5462663884149 	 112.38097028766516 	 162.7115624891646 	 87.21567418691544 
77 	 126.98079114683301 	 139.68527585278466 	 114.27630644088137 	 165.09424526468797 	 88.86733702897807 
78 	 129.12704942736588 	 141.94308728998365 	 116.3110115647481 	 167.5751630152192 	 90.67893583951255 
79 	 131.15121515529069 	 144.0352596957978 	 118.26717061478357 	 169.80334877681204 	 92.49908153376933 
80 	 133.11526756659035 	 146.11138008915523 	 120.11915504402546 	 172.10360513428498 	 94.1269299988957 
81 	 135.20320786932805 	 148.3814032865138 	 122.02501245214232 	 174.73779412088527 	 95.66862161777084 
82 	 137.28640733087772 	 150.55154758815377 	 124.02126707360168 	 177.08182810270583 	 97.49098655904962 
83 	 139.18503594967046 	 152.45655760928733 	 125.9135142900536 	 178.99960092852106 	 99.37047097081987 
84 	 141.16238208613362 	 154.52943520257674 	 127.79532896969049 	 181.263541435463 	 101.06122273680424 
85 	 143.2640033692317 	 156.6965584531245 	 129.83144828533887 	 183.56166862091015 	 102.96633811755322 
86 	 145.26148030123107 	 158.74616254940526 	 131.7767980530569 	 185.71552704575362 	 104.80743355670853 
87 	 147.29952620222414 	 160.90160435916755 	 133.69744804528074 	 188.10576067305436 	 106.49329173139394 
88 	 149.39895737734514 	 163.1010339696177 	 135.69688078507258 	 190.50518715416285 	 108.29272760052744 
89 	 151.42104987661708 	 165.21638775130953 	 137.62571200192463 	 192.80706350069443 	 110.03503625253973 
90 	 153.4342429354073 	 167.34619114788393 	 139.52229472293067 	 195.1700875728372 	 111.69839829797742 
91 	 155.48413577383002 	 169.54369086821646 	 141.42458067944358 	 197.6628010569893 	 113.30547049067073 
92 	 157.56295243793 	 171.74640816249132 	 143.37949671336867 	 200.113319611614 	 115.01258526424598 
93 	 159.68413635954786 	 173.96067918994189 	 145.40759352915384 	 202.51376485072996 	 116.85450786836579 
94 	 161.7687599867346 	 176.12165715289106 	 147.41586282057816 	 204.82745148520397 	 118.71006848826525 
95 	 163.7606656376905 	 178.10563066681854 	 149.41570060856245 	 206.79556072507467 	 120.72577055030632 
96 	 165.791332478607 	 180.23969646872243 	 151.34296848849155 	 209.13642444895333 	 122.44624050826064 
97 	 167.8962266978361 	 182.48532812682564 	 153.3071252688466 	 211.6635309848047 	 124.12892241086753 
98 	 169.98682471005347 	 184.69138035013273 	 155.2822690699742 	 214.10049163029123 	 125.8731577898157 
99 	 172.09721806760396 	 186.88161285007845 	 157.31282328512947 	 216.45040241502744 	 127.74403372018048 
100 	 174.34939551467394 	 189.21491905413103 	 159.48387197521686 	 218.9459661330452 	 129.75282489630268 
101 	 176.65775682920219 	 191.54213757620076 	 161.7733760822036 	 221.31089907019793 	 132.00461458820644 
102 	 178.7832760922057 	 193.80265780499155 	 163.76389437941987 	 223.84142123056327 	 133.72513095384815 
103 	 180.90039658099116 	 196.0762780299008 	 165.7245151320815 	 226.4280409277201 	 135.3727522342622 
104 	 183.0001430442835 	 198.2375202708262 	 167.7627658177408 	 228.7122747239116 	 137.2880113646554 
105 	 185.0396765870635 	 200.324619210778 	 169.754733963349 	 230.89450445820705 	 139.18484871591994 
106 	 187.1191745744841 	 202.4479127891844 	 171.79043635978383 	 233.10538921858492 	 141.1329599303833 
107 	 189.22734853538722 	 204.59035648605817 	 173.86434058471627 	 235.31637238740007 	 143.13832468337438 
108 	 191.36167390255667 	 206.7429075737621 	 175.98044023135125 	 237.5053749161729 	 145.21797288894044 
109 	 193.53499317061582 	 209.0864783838578 	 177.98350795737383 	 240.1894488103418 	 146.88053753088985 
