mass	cl	exp	ps1	ps2	ns1
5.0	6453409.09090909	5892272.727272727	384680151.5151515	384680151.5151515	3826136.3636363633
7.0	7821.428571428572	43627.777777777774	2308534.1269841273	4011881.7460317463	35946.82539682539
10.0	206.57731958762886	628.4948453608247	1837.6082474226803	2425.2989690721647	481.8969072164948
12.0	246.8388625592417	153.95734597156397	402.23222748815164	549.127962085308	106.19431279620852
14.0	60.58038585209003	55.56752411575563	156.66559485530547	208.3118971061093	41.532154340836016
17.0	10.437895762299075	17.319045299561616	45.87286897223575	63.62786166585484	13.479298587433023
21.0	7.532540675844806	4.711514392991239	15.141270337922402	20.35607008760951	3.6178035043804755
33.0	0.21614233216814557	0.9279824325535538	2.6438334677780766	112.96526844133729	0.7097113919512414
200.0	0.11466211360046115	0.07749698103983568	0.1991054392359021	0.29801423562847273	0.05801511121812762
400.0	0.09746546705769943	0.1077659768362799	0.27397146786406645	0.38219585880845475	0.07675398626966902
