mass	cl	exp	ps1	ps2	ns1
5.0	14677054.794520548	20816438.356164385	1733145205.479452	1733145205.479452	20344178.08219178
7.0	385802.0833333334	361687.5	26403354.166666668	26403354.166666668	259375.0
10.0	11999.398797595191	5705.811623246493	17535.07014028056	25341.082164328658	4199.599198396793
12.0	1804.0223463687153	1583.9106145251396	4488.938547486034	5910.893854748604	1341.0055865921788
14.0	542.5446428571429	688.9285714285714	1986.9419642857147	2568.28125	393.25892857142856
17.0	236.10833333333332	283.56666666666666	788.2	996.9333333333332	209.09166666666664
21.0	37.03666666666667	119.10666666666667	334.99666666666667	16785.773333333334	90.11666666666667
33.0	22.887175893482834	28.756131744919415	88.55641205325858	3532.61037140855	20.814996496145763
200.0	0.6256684491978609	1.0987802679805325	2.42973021690801	3.619900258366881	0.710749263954816
400.0	0.7846784602535876	1.343937438311442	3.130665856806621	3.722648242350619	0.8476956950876928
