x   y   high    low
1.5 3.147991423074729 3.331100168025754 2.9648826781237037
2.5 3.18952340565633 3.3605800179993564 3.018466793313304
3.5 3.233499576301305 3.3946451515187652 3.072354001083845
4.5 3.2850936165728175 3.431949189558571 3.138238043587064
5.5 3.3338625007521934 3.4683408354763463 3.1993841660280404
6.5 3.371283209354634 3.500557223715657 3.2420091949936114
7.5 3.4052940935737306 3.521317104606817 3.2892710825406444
8.5 3.4343576875544723 3.5457635820730324 3.3229517930359123
9.5 3.4630452899562814 3.56875037300589 3.357340206906673
10.5 3.484719218867501 3.5846669643049585 3.384771473430044
11.5 3.5055127299414566 3.6041659178553522 3.406859542027561
12.5 3.5254342697932493 3.6204799289796283 3.43038861060687
13.5 3.5456528876339912 3.6379248966924385 3.453380878575544
14.5 3.561123404692387 3.6524050114176196 3.4698417979671543
15.5 3.575368303716394 3.6616480759201155 3.4890885315126723
16.5 3.590632075026718 3.6760689737818777 3.5051951762715583
17.5 3.603311607658616 3.684814621750828 3.521808593566404
18.5 3.615497939234169 3.6964070882934905 3.5345887901748476
19.5 3.6280752000430083 3.7069038180274814 3.5492465820585353
20.5 3.6391829625217236 3.7175267379534676 3.5608391870899796
21.5 3.6485978998472297 3.7238362972567867 3.5733595024376728
22.5 3.6624291975193484 3.7347546113185 3.590103783720197
23.5 3.6711258792383368 3.7429574516205713 3.5992943068561023
24.5 3.680379532689372 3.752165055282714 3.60859401009603
25.5 3.689450831876845 3.7600255246843837 3.6188761390693065
26.5 3.698638931587593 3.7674644867339757 3.6298133764412106
27.5 3.7067040266740143 3.775161264967174 3.6382467883808545
28.5 3.7134691213969324 3.782203875724938 3.644734367068927
29.5 3.7215193259350188 3.787411988221083 3.6556266636489547
30.5 3.729476006405481 3.794725413072777 3.664226599738185
31.5 3.7361948699494607 3.800656385953701 3.6717333539452204
32.5 3.7430720112685663 3.806644368103396 3.6794996544337364
33.5 3.750437369062632 3.8137515022812085 3.687123235844055
34.5 3.755883951743102 3.8185957576173633 3.6931721458688407
35.5 3.7608470620842698 3.8219213722642387 3.699772751904301
36.5 3.7695611793011703 3.829967892634608 3.7091544659677327
37.5 3.774176479949437 3.8350091820767775 3.713343777822096
38.5 3.778548096996262 3.8381862148095047 3.718909979183019
39.5 3.7857081489783315 3.843642006749844 3.7277742912068192
40.5 3.7910984528613194 3.849877902640197 3.732319003082442
41.5 3.793476817260379 3.850955573388546 3.735998061132212
42.5 3.8003471865674316 3.8583173332911165 3.742377039843747
43.5 3.8062565453633117 3.862555536790387 3.749957553936236
44.5 3.811557036130369 3.8676246777083945 3.7554893945523435
45.5 3.815536419354109 3.871716766032701 3.759356072675517
46.5 3.820417514888881 3.87534561828736 3.765489411490402
47.5 3.8257668971318495 3.8821215042615367 3.7694122900021623
48.5 3.8297224211550778 3.884225790847747 3.7752190514624084
49.5 3.832920978946431 3.88908890933373 3.776753048559132
50.5 3.8373015201191247 3.89183072824432 3.7827723119939294
51.5 3.8423396221894706 3.8952788657286077 3.7894003786503334
52.5 3.847513731959313 3.900289617760152 3.794737846158474
53.5 3.850502583574508 3.902726813806548 3.798278353342468
54.5 3.8541009383420044 3.9071656997361055 3.8010361769479033
55.5 3.8587617358784096 3.911623167997105 3.805900303759714
56.5 3.86176484065107 3.91477097665778 3.8087587046443603
57.5 3.866288573487683 3.918782076331828 3.813795070643538
58.5 3.868528826679106 3.9190149402342587 3.8180427131239534
59.5 3.872101350044438 3.9228232914218943 3.821379408666982
60.5 3.8759415635882193 3.927833881982251 3.8240492451941877
61.5 3.8802982331498543 3.931078564405902 3.829517901893807
