centre 	 rate 
-2.5 	 0.0 
2.5 	 0.0 
7.5 	 1.7950587272644043 
12.5 	 51.334938049316406 
17.5 	 49.5141487121582 
22.5 	 24.81291961669922 
27.5 	 12.77311897277832 
32.5 	 6.5376458168029785 
37.5 	 2.3098220825195312 
42.5 	 1.6262584924697876 
47.5 	 1.5784543752670288 
52.5 	 1.7413939237594604 
57.5 	 1.9292231798171997 
62.5 	 2.0838990211486816 
67.5 	 2.220783233642578 
72.5 	 2.234057903289795 
77.5 	 2.193449020385742 
82.5 	 2.0405690670013428 
87.5 	 1.8367501497268677 
92.5 	 1.658506155014038 
97.5 	 1.4360854625701904 
102.5 	 1.272454023361206 
107.5 	 1.1312923431396484 
112.5 	 0.9920064806938171 
117.5 	 0.9221596717834473 
122.5 	 0.8440548181533813 
127.5 	 0.7886703014373779 
132.5 	 0.7348096370697021 
137.5 	 0.6919695734977722 
142.5 	 0.67194664478302 
147.5 	 0.6242297887802124 
152.5 	 0.5824170112609863 
157.5 	 0.5628933906555176 
162.5 	 0.5394022464752197 
167.5 	 0.5140699148178101 
172.5 	 0.48954930901527405 
177.5 	 0.465261310338974 
182.5 	 0.4623507261276245 
187.5 	 0.4138612449169159 
192.5 	 0.41041454672813416 
197.5 	 0.40462201833724976 
202.5 	 0.37519770860671997 
207.5 	 0.3554392158985138 
212.5 	 0.35497337579727173 
217.5 	 0.33572620153427124 
222.5 	 0.3181293308734894 
227.5 	 0.3122573494911194 
232.5 	 0.3145597577095032 
237.5 	 0.2969602644443512 
242.5 	 0.2969335913658142 
247.5 	 0.288693904876709 
252.5 	 0.2709442675113678 
257.5 	 0.26229506731033325 
262.5 	 0.25921013951301575 
267.5 	 0.25638702511787415 
272.5 	 0.23690122365951538 
277.5 	 0.2350240796804428 
282.5 	 0.22010715305805206 
287.5 	 0.21632994711399078 
292.5 	 0.21273179352283478 
297.5 	 0.20180346071720123 
302.5 	 0.1893034428358078 
307.5 	 0.18625353276729584 
