centre 	 rate 
-2.5 	 0.0 
2.5 	 0.0 
7.5 	 6.804637908935547 
12.5 	 66.16427612304688 
17.5 	 51.180328369140625 
22.5 	 22.37140655517578 
27.5 	 10.958626747131348 
32.5 	 3.446190357208252 
37.5 	 1.9609575271606445 
42.5 	 1.3810474872589111 
47.5 	 0.9945515394210815 
52.5 	 0.9185860753059387 
57.5 	 0.8542060852050781 
62.5 	 0.8339386582374573 
67.5 	 0.7572070956230164 
72.5 	 0.7472904920578003 
77.5 	 0.6935259103775024 
82.5 	 0.6495475769042969 
87.5 	 0.6437694430351257 
92.5 	 0.5918261408805847 
97.5 	 0.5797511339187622 
102.5 	 0.5377076268196106 
107.5 	 0.5162271857261658 
112.5 	 0.4844191372394562 
117.5 	 0.46725401282310486 
122.5 	 0.4381580054759979 
127.5 	 0.42611902952194214 
132.5 	 0.4103690981864929 
137.5 	 0.38405537605285645 
142.5 	 0.3831709921360016 
147.5 	 0.3754907548427582 
152.5 	 0.36081281304359436 
157.5 	 0.3618738353252411 
162.5 	 0.3437676727771759 
167.5 	 0.35420238971710205 
172.5 	 0.31673410534858704 
177.5 	 0.33681365847587585 
182.5 	 0.3243505656719208 
187.5 	 0.3105785846710205 
192.5 	 0.30316975712776184 
197.5 	 0.29599490761756897 
202.5 	 0.27905747294425964 
207.5 	 0.2743253707885742 
212.5 	 0.275929719209671 
217.5 	 0.2667085826396942 
222.5 	 0.2631411850452423 
227.5 	 0.2589605748653412 
232.5 	 0.25064796209335327 
237.5 	 0.23060771822929382 
242.5 	 0.22645489871501923 
247.5 	 0.22880908846855164 
252.5 	 0.20568452775478363 
257.5 	 0.2031184583902359 
262.5 	 0.1942327320575714 
267.5 	 0.19127891957759857 
272.5 	 0.18100032210350037 
277.5 	 0.17219075560569763 
282.5 	 0.15919522941112518 
287.5 	 0.16766062378883362 
292.5 	 0.15135729312896729 
297.5 	 0.14326393604278564 
302.5 	 0.13992424309253693 
307.5 	 0.1407080739736557 
