centre 	 rate 
-2.5 	 0.0 
2.5 	 0.0 
7.5 	 0.0018110236851498485 
12.5 	 0.048149608075618744 
17.5 	 0.06614173203706741 
22.5 	 0.05850393697619438 
27.5 	 0.05259842425584793 
32.5 	 0.050669290125370026 
37.5 	 0.043425194919109344 
42.5 	 0.04228346422314644 
47.5 	 0.03606299310922623 
52.5 	 0.03287401422858238 
57.5 	 0.03295275568962097 
62.5 	 0.03098425269126892 
67.5 	 0.02862204611301422 
72.5 	 0.028188977390527725 
77.5 	 0.026062991470098495 
82.5 	 0.02515747956931591 
87.5 	 0.023307086899876595 
92.5 	 0.024960629642009735 
97.5 	 0.02334645763039589 
102.5 	 0.023937007412314415 
107.5 	 0.022598424926400185 
112.5 	 0.02334645576775074 
117.5 	 0.02279527485370636 
122.5 	 0.021811023354530334 
127.5 	 0.022362206131219864 
132.5 	 0.023543307557702065 
137.5 	 0.02295275591313839 
142.5 	 0.02287401631474495 
147.5 	 0.02232283353805542 
152.5 	 0.023937007412314415 
157.5 	 0.025433070957660675 
162.5 	 0.025118110701441765 
167.5 	 0.027165353298187256 
172.5 	 0.026141732931137085 
177.5 	 0.028503937646746635 
182.5 	 0.02893700823187828 
187.5 	 0.029448818415403366 
192.5 	 0.02996062859892845 
197.5 	 0.03377952799201012 
202.5 	 0.03287401422858238 
207.5 	 0.03330708667635918 
212.5 	 0.03826771676540375 
217.5 	 0.03606299310922623 
222.5 	 0.03618110343813896 
227.5 	 0.0390157476067543 
232.5 	 0.04055118188261986 
237.5 	 0.04232283681631088 
242.5 	 0.04141732305288315 
247.5 	 0.03889763727784157 
252.5 	 0.03728346526622772 
257.5 	 0.03669291362166405 
262.5 	 0.03484252095222473 
267.5 	 0.03511811047792435 
272.5 	 0.03185039386153221 
277.5 	 0.031259842216968536 
282.5 	 0.028031494468450546 
287.5 	 0.026771653443574905 
292.5 	 0.024251967668533325 
297.5 	 0.02531496062874794 
302.5 	 0.022440945729613304 
