date 	 noise 	 noise_error 	 100kev 	 100kev_error 	 200kev 	 200kev_error 
2021-11-27 	 253.25256014835148 	 10.325256014835148 	 97.69588485675719 	 5.769588485675719 	 43.10205445738745 	 3.310205445738745 
2021-12-30 	 251.15985779968182 	 10.115985779968184 	 96.46126854062878 	 5.646126854062878 	 42.6433481160338 	 3.26433481160338 
2022-01-06 	 250.38823346229972 	 10.038823346229975 	 95.95217561147662 	 5.595217561147662 	 42.49147031200011 	 3.249147031200011 
2022-01-13 	 249.93348655141622 	 10.993348655141624 	 95.5232640025386 	 5.55232640025386 	 42.395318883219836 	 3.2395318883219835 
2022-01-27 	 250.10444535126044 	 10.010444535126044 	 95.15372167376846 	 5.515372167376846 	 42.47119892917783 	 3.247119892917783 
2022-02-03 	 249.906879964728 	 10.9906879964728 	 95.33156200564744 	 5.533156200564745 	 42.43285732650569 	 3.243285732650569 
2022-02-10 	 250.99758395074952 	 10.099758395074954 	 95.97365256665056 	5.597365256665055 	 42.828314710494205 	 3.282831471049421 
2022-02-17 	 249.77730291326986 	 10.97773029132699 	 95.69981737432708 	 5.569981737432709 	 42.645323891736666 	 3.264532389173667 
2022-02-24 	 249.08789686313833 	 10.908789686313835 	 94.71181513805244 	 5.471181513805245 	 42.39254360394305 	 3.2392543603943045
2022-03-03 	 248.29556544878986 	 10.829556544878987 	 93.99758918856655 	 5.399758918856655 	 42.21050080076568 	 3.2210500800765685
2022-03-10 	 248.35201879339644 	 10.835201879339646 	 94.18831538463502 	 5.418831538463502 	 42.31224758302022 	 3.231224758302022 
2022-03-17 	 249.10517574295397 	 10.910517574295397 	 94.52113984880447 	 5.452113984880446 	 42.64868520013592 	 3.264868520013592 
2022-03-24 	 248.69071880688165 	 10.869071880688168 	 94.3355626706365 	 5.43355626706365 	 42.51721323866864 	 3.251721323866864
2022-03-31 	 248.2001598822136 	 10.82001598822136 	 94.18139665572889 	 5.41813966557289 	 42.47148973795304 	 4.247148973795304 
2022-04-07 	 247.1978919290047 	 10.71978919290047 	 93.75706539038008 	 5.375706539038008 	 42.41776178317692 	 4.241776178317692 
2022-04-14 	 247.07718394335697 	 10.7077183943357 	 93.745855737916 	 5.3745855737916 	 42.27402081779826 	 4.227402081779826 
