time weight xerror yerror
0.4 0.026529664173722267 0.4 0.0012410053597139178
1.2000000000000002 0.1440264731645584 0.4 0.002891538234160518
2.0 0.3031463921070099 0.4 0.004195019566966136
2.8000000000000003 0.470045268535614 0.4 0.005223692777768351
3.6 0.6119818687438965 0.4 0.005960422741481252
4.4 0.7344130873680115 0.4 0.006529470814258189
5.200000000000001 0.826076865196228 0.4 0.0069249717675358875
6.000000000000001 0.8984674215316772 0.4 0.0072220243507049526
6.800000000000001 0.9240682721138 0.4 0.007324193462379836
7.6000000000000005 0.961685836315155 0.4 0.007471785327185731
8.4 0.977011501789093 0.4 0.0075310861408706565
9.200000000000001 0.9943109154701233 0.4 0.00759746808265779
10.000000000000002 0.9920468926429749 0.4 0.007588813537029564
10.8 0.9939045906066895 0.4 0.007595915428774601
11.600000000000001 0.9993614554405212 0.4 0.007616738940395936
12.4 1.0 0.4 0.00761917201470824
13.200000000000001 0.9770695567131042 0.4 0.00753130987748011
14.000000000000002 0.979856014251709 0.4 0.0075420414293855985
14.8 0.9551259875297546 0.4 0.0074462584504976425
15.600000000000001 0.9411354660987854 0.4 0.00739152167300453
16.4 0.932659924030304 0.4 0.007358163579851091
17.2 0.9177986979484558 0.4 0.007299304683153329
18.0 0.8913851380348206 0.4 0.007193503636858486
18.8 0.8883083462715149 0.4 0.0071810781972124465
19.6 0.8645651936531067 0.4 0.007084458357812584
20.4 0.8517938256263733 0.4 0.007031937723856217
21.2 0.8627656102180481 0.4 0.007077081314475843
22.0 0.8141762614250183 0.4 0.006874909603115645
22.8 0.837338924407959 0.4 0.00697201662417389
23.6 0.8214907646179199 0.4 0.006905722499301023
24.4 0.797573447227478 0.4 0.006804451436979089
25.2 0.7990827560424805 0.4 0.00681088684409066
26.0 0.7684314250946045 0.4 0.0066789830537047346
26.8 0.7627423405647278 0.4 0.006654213229899207
27.6 0.746778130531311 0.4 0.006584208465695031
28.4 0.7372576594352722 0.4 0.006542103604774553
