time weight xerror yerror
0.8 764.0 0.8 27.640549922170507
2.4 1049.0 0.8 32.38826948140329
4.0 1359.0 0.8 36.864617182333525
5.6 1651.0 0.8 40.63249930782009
7.2 1741.0 0.8 41.72529209005013
8.8 1757.0 0.8 41.916583830269374
10.4 1792.0 0.8 42.33202097703345
12.0 1768.0 0.8 42.04759208325728
13.6 1695.0 0.8 41.1703777004778
15.2 1658.0 0.8 40.718546143004666
16.8 1632.0 0.8 40.39801975344831
18.4 1553.0 0.8 39.408120990476064
20.0 1491.0 0.8 38.61346915261564
21.6 1386.0 0.8 37.22902093797257
23.2 1468.0 0.8 38.31448812133603
24.8 1390.0 0.8 37.282703764614496
26.4 1277.0 0.8 35.73513677041127
28.0 1232.0 0.8 35.09985754956849
29.6 1119.0 0.8 33.45145736735546
31.2 1003.0 0.8 31.670175244226233
32.8 1093.0 0.8 33.06055050963308
34.4 1065.0 0.8 32.63433774416144
36.0 932.0 0.8 30.528675044947494
37.6 929.0 0.8 30.47950130825634
39.2 916.0 0.8 30.265491900843113
40.8 857.0 0.8 29.274562336608895
42.4 784.0 0.8 28.0
44.0 821.0 0.8 28.653097563788805
45.6 779.0 0.8 27.910571473905726
47.2 708.0 0.8 26.608269391300144
48.8 719.0 0.8 26.814175355583846
50.4 695.0 0.8 26.362852652928137
52.0 669.0 0.8 25.865034312755125
53.6 598.0 0.8 24.454038521274967
55.2 562.0 0.8 23.706539182259394
56.8 546.0 0.8 23.366642891095847
58.4 574.0 0.8 23.958297101421877
60.0 489.0 0.8 22.11334438749598
61.6 528.0 0.8 22.978250586152114
63.2 493.0 0.8 22.20360331117452
64.8 496.0 0.8 22.271057451320086
66.4 456.0 0.8 21.354156504062622
68.0 490.0 0.8 22.135943621178654
69.6 417.0 0.8 20.42057785666214
71.2 364.0 0.8 19.078784028338912
72.8 423.0 0.8 20.566963801203133
74.4 394.0 0.8 19.849433241279208
76.0 395.0 0.8 19.87460691435179
77.6 343.0 0.8 18.520259177452136
79.2 337.0 0.8 18.35755975068582
80.8 335.0 0.8 18.303005217723125
82.4 325.0 0.8 18.027756377319946
84.0 307.0 0.8 17.52141546793523
85.6 335.0 0.8 18.303005217723125
87.2 296.0 0.8 17.204650534085253
88.8 292.0 0.8 17.08800749063506
90.4 284.0 0.8 16.852299546352718
92.0 334.0 0.8 18.275666882497067
93.6 268.0 0.8 16.3707055437449
95.2 284.0 0.8 16.852299546352718
96.8 261.0 0.8 16.15549442140351
98.4 259.0 0.8 16.09347693943108
100.0 227.0 0.8 15.066519173319364
101.6 240.0 0.8 15.491933384829668
103.2 228.0 0.8 15.0996688705415
104.8 238.0 0.8 15.427248620541512
106.4 242.0 0.8 15.556349186104045
108.0 227.0 0.8 15.066519173319364
109.6 228.0 0.8 15.0996688705415
111.2 199.0 0.8 14.106735979665885
112.8 184.0 0.8 13.564659966250536
114.4 207.0 0.8 14.38749456993816
116.0 178.0 0.8 13.341664064126334
117.6 197.0 0.8 14.035668847618199
119.2 168.0 0.8 12.96148139681572
120.8 172.0 0.8 13.114877048604
122.4 215.0 0.8 14.66287829861518
124.0 170.0 0.8 13.038404810405298
125.6 135.0 0.8 11.61895003862225
127.2 133.0 0.8 11.532562594670797
128.8 144.0 0.8 12.0
130.4 143.0 0.8 11.958260743101398
132.0 159.0 0.8 12.609520212918492
133.6 137.0 0.8 11.704699910719626
135.2 158.0 0.8 12.569805089976535
136.8 151.0 0.8 12.288205727444508
138.4 128.0 0.8 11.313708498984761
140.0 142.0 0.8 11.916375287812984
141.6 153.0 0.8 12.369316876852983
143.2 120.0 0.8 10.954451150103322
144.8 158.0 0.8 12.569805089976535
146.4 116.0 0.8 10.770329614269007
148.0 116.0 0.8 10.770329614269007
149.6 118.0 0.8 10.862780491200215
151.2 121.0 0.8 11.0
152.8 114.0 0.8 10.677078252031311
154.4 113.0 0.8 10.63014581273465
156.0 103.0 0.8 10.14889156509222
157.6 127.0 0.8 11.269427669584644
159.2 108.0 0.8 10.392304845413264
160.8 102.0 0.8 10.099504938362077
162.4 102.0 0.8 10.099504938362077
164.0 117.0 0.8 10.816653826391967
165.6 118.0 0.8 10.862780491200215
167.2 118.0 0.8 10.862780491200215
168.8 88.0 0.8 9.38083151964686
170.4 118.0 0.8 10.862780491200215
172.0 93.0 0.8 9.643650760992955
173.6 89.0 0.8 9.433981132056605
175.2 84.0 0.8 9.16515138991168
176.8 97.0 0.8 9.848857801796104
178.4 92.0 0.8 9.591663046625438
180.0 91.0 0.8 9.539392014169456
181.6 104.0 0.8 10.198039027185569
183.2 85.0 0.8 9.219544457292887
184.8 87.0 0.8 9.327379053088816
186.4 97.0 0.8 9.848857801796104
188.0 86.0 0.8 9.273618495495704
189.6 79.0 0.8 8.888194417315589
191.2 67.0 0.8 8.18535277187245
192.8 78.0 0.8 8.831760866327848
194.4 88.0 0.8 9.38083151964686
196.0 67.0 0.8 8.18535277187245
197.6 78.0 0.8 8.831760866327848
199.2 84.0 0.8 9.16515138991168
200.8 68.0 0.8 8.246211251235321
202.4 60.0 0.8 7.745966692414833
204.0 65.0 0.8 8.06225774829855
205.6 51.0 0.8 7.14142842854285
207.2 74.0 0.8 8.602325267042627
208.8 68.0 0.8 8.246211251235321
210.4 80.0 0.8 8.94427190999916
212.0 65.0 0.8 8.06225774829855
213.6 67.0 0.8 8.18535277187245
215.2 56.0 0.8 7.483314773547883
216.8 63.0 0.8 7.937253933193771
218.4 57.0 0.8 7.549834435270749
220.0 73.0 0.8 8.54400374531753
221.6 47.0 0.8 6.855654600401044
