pulsearea weight xerror yerror
1235.0 121.0 5.0 11.0
1245.0 100.0 5.0 10.0
1255.0 126.0 5.0 11.224972160321824
1265.0 112.0 5.0 10.583005244258363
1275.0 111.0 5.0 10.535653752852738
1285.0 138.0 5.0 11.74734012447073
1295.0 110.0 5.0 10.488088481701515
1305.0 120.0 5.0 10.954451150103322
1315.0 119.0 5.0 10.908712114635714
1325.0 123.0 5.0 11.090536506409418
1335.0 109.0 5.0 10.44030650891055
1345.0 109.0 5.0 10.44030650891055
1355.0 109.0 5.0 10.44030650891055
1365.0 112.0 5.0 10.583005244258363
1375.0 115.0 5.0 10.723805294763608
1385.0 113.0 5.0 10.63014581273465
1395.0 118.0 5.0 10.862780491200215
1405.0 102.0 5.0 10.099504938362077
1415.0 109.0 5.0 10.44030650891055
1425.0 111.0 5.0 10.535653752852738
1435.0 85.0 5.0 9.219544457292887
1445.0 105.0 5.0 10.246950765959598
1455.0 106.0 5.0 10.295630140987
1465.0 91.0 5.0 9.539392014169456
1475.0 92.0 5.0 9.591663046625438
1485.0 100.0 5.0 10.0
1495.0 111.0 5.0 10.535653752852738
1505.0 122.0 5.0 11.045361017187261
1515.0 91.0 5.0 9.539392014169456
1525.0 103.0 5.0 10.14889156509222
1535.0 88.0 5.0 9.38083151964686
1545.0 93.0 5.0 9.643650760992955
1555.0 113.0 5.0 10.63014581273465
1565.0 84.0 5.0 9.16515138991168
1575.0 70.0 5.0 8.366600265340756
1585.0 78.0 5.0 8.831760866327848
1595.0 72.0 5.0 8.48528137423857
1605.0 82.0 5.0 9.055385138137417
1615.0 65.0 5.0 8.06225774829855
1625.0 57.0 5.0 7.54983443527075
1635.0 51.0 5.0 7.14142842854285
1645.0 58.0 5.0 7.615773105863909
1655.0 40.0 5.0 6.324555320336759
1665.0 31.0 5.0 5.5677643628300215
1675.0 27.0 5.0 5.196152422706632
1685.0 18.0 5.0 4.242640687119285
1695.0 27.0 5.0 5.196152422706632
1705.0 11.0 5.0 3.3166247903554
1715.0 14.0 5.0 3.7416573867739413
1725.0 11.0 5.0 3.3166247903554
1735.0 12.0 5.0 3.4641016151377544
1745.0 10.0 5.0 3.1622776601683795
1755.0 17.0 5.0 4.123105625617661
1765.0 7.0 5.0 2.6457513110645907
1775.0 8.0 5.0 2.8284271247461903
1785.0 9.0 5.0 3.0000000000000004
1795.0 7.0 5.0 2.6457513110645907
1805.0 5.0 5.0 2.23606797749979
1815.0 6.0 5.0 2.449489742783178
1825.0 4.0 5.0 2.0
1835.0 4.0 5.0 2.0
1845.0 5.0 5.0 2.23606797749979
1855.0 0.0 5.0 0.0
1865.0 5.0 5.0 2.23606797749979
1875.0 2.0 5.0 1.4142135623730951
1885.0 4.0 5.0 2.0
1895.0 5.0 5.0 2.23606797749979
1905.0 1.0 5.0 1.0
1915.0 3.0 5.0 1.7320508075688772
1925.0 2.0 5.0 1.4142135623730951
1935.0 2.0 5.0 1.4142135623730951
1945.0 5.0 5.0 2.23606797749979
1955.0 6.0 5.0 2.449489742783178
1965.0 3.0 5.0 1.7320508075688772
1975.0 3.0 5.0 1.7320508075688772
1985.0 4.0 5.0 2.0
1995.0 1.0 5.0 1.0
2005.0 0.0 5.0 0.0
2015.0 1.0 5.0 1.0
2025.0 1.0 5.0 1.0
2035.0 3.0 5.0 1.7320508075688772
2045.0 3.0 5.0 1.7320508075688772
2055.0 2.0 5.0 1.4142135623730951
2065.0 0.0 5.0 0.0
2075.0 0.0 5.0 0.0
2085.0 0.0 5.0 0.0
2095.0 0.0 5.0 0.0
2105.0 1.0 5.0 1.0
2115.0 1.0 5.0 1.0
2125.0 0.0 5.0 0.0
2135.0 0.0 5.0 0.0
2145.0 0.0 5.0 0.0
2155.0 1.0 5.0 1.0
2165.0 1.0 5.0 1.0
2175.0 2.0 5.0 1.4142135623730951
2185.0 1.0 5.0 1.0
2195.0 0.0 5.0 0.0
2205.0 0.0 5.0 0.0
2215.0 0.0 5.0 0.0
2225.0 1.0 5.0 1.0
2235.0 0.0 5.0 0.0
2245.0 0.0 5.0 0.0
2255.0 0.0 5.0 0.0
2265.0 1.0 5.0 1.0
2275.0 3.0 5.0 1.7320508075688772
2285.0 2.0 5.0 1.4142135623730951
2295.0 0.0 5.0 0.0
2305.0 1.0 5.0 1.0
2315.0 1.0 5.0 1.0
2325.0 1.0 5.0 1.0
2335.0 1.0 5.0 1.0
2345.0 1.0 5.0 1.0
2355.0 2.0 5.0 1.4142135623730951
2365.0 3.0 5.0 1.7320508075688774
2375.0 0.0 5.0 0.0
2385.0 1.0 5.0 1.0
2395.0 1.0 5.0 1.0
2405.0 0.0 5.0 0.0
2415.0 3.0 5.0 1.7320508075688772
2425.0 2.0 5.0 1.4142135623730951
2435.0 1.0 5.0 1.0
2445.0 0.0 5.0 0.0
2455.0 0.0 5.0 0.0
2465.0 0.0 5.0 0.0
2475.0 1.0 5.0 1.0
2485.0 0.0 5.0 0.0
2495.0 0.0 5.0 0.0
2505.0 1.0 5.0 1.0
2515.0 0.0 5.0 0.0
2525.0 1.0 5.0 1.0
2535.0 1.0 5.0 1.0
2545.0 2.0 5.0 1.4142135623730951
2555.0 3.0 5.0 1.7320508075688772
2565.0 1.0 5.0 1.0
2575.0 0.0 5.0 0.0
2585.0 0.0 5.0 0.0
2595.0 1.0 5.0 1.0
2605.0 1.0 5.0 1.0
2615.0 0.0 5.0 0.0
2625.0 0.0 5.0 0.0
2635.0 0.0 5.0 0.0
2645.0 1.0 5.0 1.0
2655.0 1.0 5.0 1.0
2665.0 2.0 5.0 1.4142135623730951
2675.0 0.0 5.0 0.0
2685.0 0.0 5.0 0.0
2695.0 1.0 5.0 1.0
2705.0 1.0 5.0 1.0
2715.0 1.0 5.0 1.0
2725.0 1.0 5.0 1.0
2735.0 0.0 5.0 0.0
2745.0 0.0 5.0 0.0
2755.0 0.0 5.0 0.0
2765.0 0.0 5.0 0.0
2775.0 2.0 5.0 1.4142135623730951
2785.0 0.0 5.0 0.0
2795.0 0.0 5.0 0.0
2805.0 0.0 5.0 0.0
2815.0 1.0 5.0 1.0
2825.0 2.0 5.0 1.4142135623730951
2835.0 0.0 5.0 0.0
2845.0 0.0 5.0 0.0
2855.0 0.0 5.0 0.0
2865.0 0.0 5.0 0.0
2875.0 0.0 5.0 0.0
2885.0 0.0 5.0 0.0
2895.0 0.0 5.0 0.0
2905.0 0.0 5.0 0.0
2915.0 0.0 5.0 0.0
2925.0 0.0 5.0 0.0
2935.0 1.0 5.0 1.0
2945.0 0.0 5.0 0.0
2955.0 0.0 5.0 0.0
2965.0 1.0 5.0 1.0
2975.0 0.0 5.0 0.0
2985.0 2.0 5.0 1.4142135623730951
2995.0 1.0 5.0 1.0
3005.0 0.0 5.0 0.0
3015.0 0.0 5.0 0.0
3025.0 0.0 5.0 0.0
3035.0 0.0 5.0 0.0
3045.0 0.0 5.0 0.0
3055.0 0.0 5.0 0.0
3065.0 0.0 5.0 0.0
3075.0 1.0 5.0 1.0
3085.0 0.0 5.0 0.0
3095.0 0.0 5.0 0.0
3105.0 0.0 5.0 0.0
3115.0 0.0 5.0 0.0
3125.0 1.0 5.0 1.0
3135.0 0.0 5.0 0.0
3145.0 0.0 5.0 0.0
3155.0 0.0 5.0 0.0
3165.0 0.0 5.0 0.0
3175.0 2.0 5.0 1.4142135623730951
3185.0 0.0 5.0 0.0
3195.0 0.0 5.0 0.0
3205.0 0.0 5.0 0.0
3215.0 0.0 5.0 0.0
3225.0 0.0 5.0 0.0
3235.0 0.0 5.0 0.0
3245.0 0.0 5.0 0.0
3255.0 0.0 5.0 0.0
3265.0 1.0 5.0 1.0
3275.0 0.0 5.0 0.0
3285.0 0.0 5.0 0.0
3295.0 0.0 5.0 0.0
3305.0 0.0 5.0 0.0
3315.0 1.0 5.0 1.0
3325.0 1.0 5.0 1.0
3335.0 0.0 5.0 0.0
3345.0 0.0 5.0 0.0
3355.0 0.0 5.0 0.0
3365.0 0.0 5.0 0.0
3375.0 0.0 5.0 0.0
3385.0 0.0 5.0 0.0
3395.0 0.0 5.0 0.0
3405.0 0.0 5.0 0.0
3415.0 0.0 5.0 0.0
3425.0 0.0 5.0 0.0
3435.0 0.0 5.0 0.0
3445.0 0.0 5.0 0.0
3455.0 0.0 5.0 0.0
3465.0 0.0 5.0 0.0
3475.0 0.0 5.0 0.0
3485.0 0.0 5.0 0.0
3495.0 0.0 5.0 0.0
3505.0 0.0 5.0 0.0
3515.0 0.0 5.0 0.0
3525.0 0.0 5.0 0.0
3535.0 0.0 5.0 0.0
3545.0 0.0 5.0 0.0
3555.0 0.0 5.0 0.0
3565.0 0.0 5.0 0.0
3575.0 0.0 5.0 0.0
3585.0 0.0 5.0 0.0
3595.0 0.0 5.0 0.0
3605.0 0.0 5.0 0.0
3615.0 0.0 5.0 0.0
3625.0 0.0 5.0 0.0
3635.0 0.0 5.0 0.0
3645.0 0.0 5.0 0.0
3655.0 0.0 5.0 0.0
3665.0 0.0 5.0 0.0
3675.0 0.0 5.0 0.0
3685.0 0.0 5.0 0.0
3695.0 0.0 5.0 0.0
3705.0 0.0 5.0 0.0
3715.0 0.0 5.0 0.0
3725.0 0.0 5.0 0.0
3735.0 0.0 5.0 0.0
3745.0 0.0 5.0 0.0
3755.0 0.0 5.0 0.0
3765.0 1.0 5.0 1.0
3775.0 0.0 5.0 0.0
3785.0 0.0 5.0 0.0
3795.0 0.0 5.0 0.0
3805.0 0.0 5.0 0.0
3815.0 0.0 5.0 0.0
3825.0 0.0 5.0 0.0
3835.0 0.0 5.0 0.0
3845.0 0.0 5.0 0.0
3855.0 0.0 5.0 0.0
3865.0 0.0 5.0 0.0
3875.0 0.0 5.0 0.0
3885.0 0.0 5.0 0.0
3895.0 0.0 5.0 0.0
3905.0 0.0 5.0 0.0
3915.0 0.0 5.0 0.0
3925.0 0.0 5.0 0.0
3935.0 0.0 5.0 0.0
3945.0 1.0 5.0 1.0
3955.0 0.0 5.0 0.0
3965.0 0.0 5.0 0.0
3975.0 0.0 5.0 0.0
3985.0 0.0 5.0 0.0
3995.0 0.0 5.0 0.0
4005.0 3.0 5.0 1.7320508075688772
