volume fraction
Water 0.009676137378112347
GdLS 0.4578022497019404
OD_Tanks 0.049714035582843284
Foam 0.0014830984374190055
Cryostat 0.14357832775611526
TPC_Xenon 0.19879854627555105
Skin_Xenon 0.11225759260005874
Other 0.00010367290047977514
