Low	Centre	Weight	Normed
0.9400000000000001	0.9450000000000001	33.0	0.019607843831181526
0.9500000000000001	0.9550000000000001	23.0	0.013666072860360146
0.96	0.965	28.0	0.016636958345770836
0.97	0.975	31.0	0.01841948926448822
0.98	0.985	19.0	0.011289364658296108
0.99	0.995	21.0	0.01247771829366684
1.0	1.005	16.0	0.00950683280825615
1.01	1.0150000000000001	18.0	0.010695187374949455
1.02	1.025	26.0	0.01544860377907753
1.03	1.0350000000000001	27.0	0.01604278013110161
1.04	1.045	15.0	0.008912655524909496
1.05	1.0550000000000002	22.0	0.013071895577013493
1.06	1.065	21.0	0.01247771829366684
1.07	1.0750000000000002	15.0	0.008912655524909496
1.08	1.085	18.0	0.010695187374949455
1.09	1.0950000000000002	20.0	0.011883541010320187
1.1	1.105	19.0	0.011289364658296108
1.11	1.1150000000000002	20.0	0.011883541010320187
1.12	1.125	18.0	0.010695187374949455
1.1300000000000001	1.1350000000000002	23.0	0.013666072860360146
1.1400000000000001	1.145	14.0	0.008318479172885418
1.1500000000000001	1.155	14.0	0.008318479172885418
1.16	1.165	24.0	0.014260249212384224
1.17	1.1749999999999998	18.0	0.010695187374949455
1.18	1.185	19.0	0.011289364658296108
1.19	1.1949999999999998	17.0	0.010101010091602802
1.2	1.205	16.0	0.00950683280825615
1.21	1.2149999999999999	21.0	0.01247771829366684
1.22	1.225	16.0	0.00950683280825615
1.23	1.2349999999999999	16.0	0.00950683280825615
1.24	1.245	9.0	0.005347593687474728
1.25	1.255	13.0	0.007724301889538765
1.26	1.2650000000000001	15.0	0.008912655524909496
1.27	1.275	7.0	0.004159239586442709
1.28	1.2850000000000001	19.0	0.011289364658296108
1.29	1.295	19.0	0.011289364658296108
1.3	1.3050000000000002	17.0	0.010101010091602802
1.31	1.315	12.0	0.007130124606192112
1.32	1.3250000000000002	16.0	0.00950683280825615
1.33	1.335	13.0	0.007724301889538765
1.34	1.3450000000000002	13.0	0.007724301889538765
1.35	1.355	10.0	0.005941770505160093
1.36	1.3650000000000002	11.0	0.006535947788506746
1.37	1.375	12.0	0.007130124606192112
1.3800000000000001	1.3850000000000002	9.0	0.005347593687474728
1.3900000000000001	1.395	14.0	0.008318479172885418
1.4000000000000001	1.405	15.0	0.008912655524909496
1.41	1.415	10.0	0.005941770505160093
1.42	1.4249999999999998	10.0	0.005941770505160093
1.43	1.435	12.0	0.007130124606192112
1.44	1.4449999999999998	11.0	0.006535947788506746
1.45	1.455	13.0	0.007724301889538765
1.46	1.4649999999999999	13.0	0.007724301889538765
1.47	1.475	7.0	0.004159239586442709
1.48	1.4849999999999999	9.0	0.005347593687474728
1.49	1.495	7.0	0.004159239586442709
1.5	1.505	12.0	0.007130124606192112
1.51	1.5150000000000001	7.0	0.004159239586442709
1.52	1.525	3.0	0.001782531151548028
1.53	1.5350000000000001	6.0	0.003565062303096056
1.54	1.545	6.0	0.003565062303096056
1.55	1.5550000000000002	3.0	0.001782531151548028
1.56	1.565	9.0	0.005347593687474728
1.57	1.5750000000000002	6.0	0.003565062303096056
1.58	1.585	6.0	0.003565062303096056
1.59	1.5950000000000002	9.0	0.005347593687474728
1.6	1.605	7.0	0.004159239586442709
1.61	1.6150000000000002	9.0	0.005347593687474728
1.62	1.625	7.0	0.004159239586442709
1.6300000000000001	1.6350000000000002	11.0	0.006535947788506746
1.6400000000000001	1.645	7.0	0.004159239586442709
1.6500000000000001	1.6550000000000002	9.0	0.005347593687474728
1.6600000000000001	1.665	12.0	0.007130124606192112
1.67	1.6749999999999998	6.0	0.003565062303096056
1.68	1.685	4.0	0.0023767082020640373
1.69	1.6949999999999998	4.0	0.0023767082020640373
1.7	1.705	7.0	0.004159239586442709
1.71	1.7149999999999999	5.0	0.0029708852525800467
1.72	1.725	8.0	0.004753416404128075
1.73	1.7349999999999999	7.0	0.004159239586442709
1.74	1.745	4.0	0.0023767082020640373
1.75	1.755	4.0	0.0023767082020640373
1.76	1.7650000000000001	6.0	0.003565062303096056
1.77	1.775	5.0	0.0029708852525800467
1.78	1.7850000000000001	1.0	0.0005941770505160093
1.79	1.795	2.0	0.0011883541010320187
1.8	1.8050000000000002	11.0	0.006535947788506746
1.81	1.815	4.0	0.0023767082020640373
1.82	1.8250000000000002	8.0	0.004753416404128075
1.83	1.835	4.0	0.0023767082020640373
1.84	1.8450000000000002	3.0	0.001782531151548028
1.85	1.855	7.0	0.004159239586442709
1.86	1.8650000000000002	5.0	0.0029708852525800467
