Centre	Normed
0.01	0.0
0.02	0.0
0.03	0.0
0.04	0.0
0.05	0.0
0.060000000000000005	0.0
0.06999999999999999	0.0014806224943854937
0.08	0.01691865505225695
0.09	0.03999037030255562
0.09999999999999999	0.06089879436640096
0.11	0.06494394544075648
0.12	0.08647513514918688
0.13	0.07896125855172519
0.14	0.04603266637506311
0.15000000000000002	0.05485875878625129
0.16	0.03498111923758108
0.17	0.06465573266513187
0.18000000000000002	0.04392475725137683
0.19	0.02381428698984926
0.2	0.016291368422956216
0.21000000000000002	0.028198511917880864
0.22	0.026890817088870127
0.23	0.019483183632226942
0.24000000000000002	0.023413049596332614
0.25	0.02597757817630259
0.26	0.05132334873858891
0.27	0.05844955089668082
0.28	0.1019086467223427
0.29000000000000004	0.24480115013851145
0.3	0.23204632200939673
0.31	0.4635840332382801
0.32	0.6267836697511088
0.33	0.7484026795876412
0.34	0.7741203011427928
0.35000000000000003	0.9127167388328865
0.36000000000000004	0.9229047778896721
0.37	0.8962264470824394
0.38	0.8799949817069659
0.39	0.9305644562442151
0.4	0.8392722118804706
0.41000000000000003	1.0
0.42000000000000004	0.8659912315501438
0.43	0.7953576268447029
0.44	0.740868458558959
0.45	0.7504461646791291
0.46	0.7017031679670149
0.47000000000000003	0.6098706659297458
0.48000000000000004	0.5364883025171711
0.49	0.5765555295598935
0.5	0.40117975096155767
0.51	0.4588539529794992
0.52	0.44533620867961293
0.53	0.41618150849436575
0.54	0.4782139397782226
0.55	0.3780944727571108
0.56	0.33697159578327923
0.5700000000000001	0.36048636753571195
0.5800000000000001	0.2922477544834041
0.59	0.3097846541955303
0.6	0.30336372565308456
0.61	0.2932186359510966
0.62	0.21303671152613768
0.63	0.23844012464354808
0.64	0.17328256267497616
0.65	0.20128215126536694
0.66	0.164084619270923
0.67	0.14617021733503796
0.68	0.17140974475650558
0.6900000000000001	0.1639116916055485
0.7000000000000001	0.14937107451373988
0.7100000000000001	0.13519439669154326
0.72	0.11929748418503035
0.73	0.13449364406061293
0.74	0.15568575991536723
0.75	0.12886840882812675
0.76	0.1212166421968369
0.77	0.1395786216195749
0.78	0.12545054438307204
0.79	0.10016919785298407
0.8	0.08464865732405187
0.81	0.09877673456055476
0.8200000000000001	0.09491581361336303
0.8300000000000001	0.1263897789577552
0.8400000000000001	0.12510921003703798
0.85	0.11098113280053541
0.86	0.1536140186694063
0.87	0.10901676494157238
0.88	0.13151092439444234
0.89	0.09490225065921619
0.9	0.09367028232419307
0.91	0.07480308285947758
0.92	0.07883693147204406
0.93	0.09723394852632873
0.9400000000000001	0.08455597713738003
0.9500000000000001	0.09415741842730788
0.9600000000000001	0.06154868591927936
0.97	0.14878673723923858
0.98	0.07730996888432269
0.99	0.07620797885987554
1.0	0.09212975678232471
1.01	0.07326933879468282
1.02	0.06494394544075648
1.03	0.07535690348714881
1.04	0.06826460871442387
1.05	0.06305982506049641
1.06	0.07530378191673953
1.07	0.08943185915324237
1.08	0.06564469807168709
1.09	0.10036020945722011
1.1	0.04642486179914859
1.11	0.05042141228781038
1.12	0.05177092622544153
1.1300000000000001	0.05157878437502412
1.1400000000000001	0.05517070673163397
1.1500000000000001	0.085557375251904
1.1600000000000001	0.06462973700301577
1.17	0.05195515635260518
1.18	0.06851891410468135
1.19	0.07143833998483212
1.2	0.033136557473582996
1.21	0.05771376063420376
1.22	0.05064972201595228
1.23	0.04171060498687224
1.24	0.042250862660396286
1.25	0.0494064512191399
1.26	0.056886420431233924
1.27	0.04236275703210877
1.28	0.049594072084841186
1.29	0.04257072232903057
1.3	0.033103780334394484
1.31	0.02603974171614311
1.32	0.05195515635260518
1.33	0.05195515635260518
1.34	0.04866161898723139
1.35	0.03674995450759124
1.36	0.03247197272037824
1.37	0.029116271815163935
1.3800000000000001	0.05345499303203262
1.3900000000000001	0.039973416609870686
1.4000000000000001	0.031042211304044304
1.4100000000000001	0.02683769551846082
1.42	0.02597757817630259
1.43	0.032751143526571554
1.44	0.038966367264453884
1.45	0.04747712099172335
1.46	0.06202791029914191
1.47	0.023419831073406096
1.48	0.022610574809299306
1.49	0.018583507673806305
1.5	0.025788827064422818
1.51	0.06148991311797687
1.52	0.028190600194627692
1.53	0.037410018276080696
1.54	0.05175171204039933
1.55	0.027839093632984535
1.56	0.04784106026133562
1.57	0.05317017099494409
1.58	0.02964861776543497
1.59	0.012988789088151294
1.6	0.016457514611257586
1.61	0.03159829242407335
1.62	0.03435835359299605
1.6300000000000001	0.027294314974744573
1.6400000000000001	0.03747218181592165
1.6500000000000001	0.045283313158439135
1.6600000000000001	0.028330750720815378
1.6700000000000002	0.05821106895292729
1.68	0.022546150777100725
1.69	0.03877535566021652
1.7	0.04127206946945092
1.71	0.02597757817630259
1.72	0.04502787752200332
1.73	0.0453104390667329
1.74	0.019168975194487185
1.75	0.04058374954648883
1.76	0.0271948533109994
1.77	0.038966367264453884
1.78	0.036765777954095955
1.79	0.022089531320817243
1.8	0.03247197272037824
1.81	0.027587048735084906
1.82	0.022495289699049504
1.83	0.029559328317300848
1.84	0.024169184290030118
1.85	0.014762145342877014
1.86	0.03415151854225397
1.87	0.0506870201398569
1.8800000000000001	0.05838512686448256
1.8900000000000001	0.043945101682597194
1.9000000000000001	0.029202170524762535
1.9100000000000001	0.047105269998858675
1.9200000000000002	0.05195515635260518
1.93	0.04360376733656362
1.94	0.045885734371803835
1.95	0.05452646640964873
1.96	0.047462427791397276
1.97	0.03027364390237821
1.98	0.03724161159542161
1.99	0.02656304569698317
