low_edge centre high_edge rate neg_error pos_error bin_error
0.0 0.5 1.0 0.0 0.0 0.0 0.5
1.0 1.5 2.0 0.0 0.0 0.0 0.5
2.0 2.5 3.0 660.5203247070312 0.7067614973409546 0.7067614973409546 0.5
3.0 3.5 4.0 660.5203247070312 0.19394183116818237 0.19394183116818237 0.5
4.0 4.5 5.0 153.91461181640625 0.07784362638816578 0.07784362638816578 0.5
5.0 5.5 6.0 59.16263961791992 0.04826217678964985 0.04826217678964985 0.5
6.0 6.5 7.0 30.068937301635742 0.03440663333766957 0.03440663333766957 0.5
7.0 7.5 8.0 16.374685287475586 0.025390404473841662 0.025390404473841662 0.5
8.0 8.5 9.0 9.509527206420898 0.019349182121777074 0.019349182121777074 0.5
9.0 9.5 10.0 6.104094505310059 0.01550221534611622 0.01550221534611622 0.5
10.0 10.5 11.0 4.4651970863342285 0.013258776398684124 0.013258776398684124 0.5
11.0 11.5 12.0 3.786496162414551 0.012209612940191687 0.012209612940191687 0.5
12.0 12.5 13.0 3.5891733169555664 0.01188722139997675 0.01188722139997675 0.5
13.0 13.5 14.0 3.606456756591797 0.011915808154421082 0.011915808154421082 0.5
14.0 14.5 15.0 3.7264959812164307 0.012112491214646425 0.012112491214646425 0.5
15.0 15.5 16.0 3.859999895095825 0.012327550605737049 0.012327550605737049 0.5
16.0 16.5 17.0 3.974370002746582 0.012508847386651013 0.012508847386651013 0.5
17.0 17.5 18.0 3.946850299835205 0.012465464723612254 0.012465464723612254 0.5
18.0 18.5 19.0 3.770117998123169 0.0121831788487116 0.0121831788487116 0.5
19.0 19.5 20.0 3.507362127304077 0.01175096277631124 0.01175096277631124 0.5
20.0 20.5 21.0 3.109330654144287 0.011064112925543993 0.011064112925543993 0.5
21.0 21.5 22.0 2.6577951908111572 0.010229252625447206 0.010229252625447206 0.5
22.0 22.5 23.0 2.2031495571136475 0.009313333102404689 0.009313333102404689 0.5
23.0 23.5 24.0 1.77279531955719 0.008354345551279237 0.008354345551279237 0.5
24.0 24.5 25.0 1.396062970161438 0.007413710941641834 0.007413710941641834 0.5
25.0 25.5 26.0 1.0775591135025024 0.006513338993724317 0.006513338993724317 0.5
26.0 26.5 27.0 0.8338189125061035 0.00572953014260605 0.00572953014260605 0.5
27.0 27.5 28.0 0.6608267426490784 0.005100666822446263 0.005100666822446263 0.5
28.0 28.5 29.0 0.5440157651901245 0.0046279523372530175 0.0046279523372530175 0.5
29.0 29.5 30.0 0.4636220335960388 0.004272333847637964 0.004272333847637964 0.5
30.0 30.5 31.0 0.40740156173706055 0.004004925976702211 0.004004925976702211 0.5
31.0 31.5 32.0 0.3633464574813843 0.003782192302085818 0.003782192302085818 0.5
32.0 32.5 33.0 0.3484252095222473 0.0037037180555564526 0.0037037180555564526 0.5
33.0 33.5 34.0 0.33917322754859924 0.0036542135551378783 0.0036542135551378783 0.5
34.0 34.5 35.0 0.32271653413772583 0.003564460044768467 0.003564460044768467 0.5
35.0 35.5 36.0 0.31720471382141113 0.0035338894969636435 0.0035338894969636435 0.5
36.0 36.5 37.0 0.30688977241516113 0.003475956582661574 0.003475956582661574 0.5
37.0 37.5 38.0 0.30539369583129883 0.0034674737269009106 0.0034674737269009106 0.5
38.0 38.5 39.0 0.29944881796836853 0.003433558442585062 0.003433558442585062 0.5
39.0 39.5 40.0 0.294685035943985 0.00340613757848188 0.00340613757848188 0.5
40.0 40.5 41.0 0.2903937101364136 0.003381245756469904 0.003381245756469904 0.5
41.0 41.5 42.0 0.28039368987083435 0.0033225174308412824 0.0033225174308412824 0.5
42.0 42.5 43.0 0.28318896889686584 0.003339037630567316 0.003339037630567316 0.5
