low_edge centre high_edge rate neg_error pos_error bin_error
0.0 0.5 1.0 0.0 0.0 0.0 0.5
1.0 1.5 2.0 0.0 0.0 0.0 0.5
2.0 2.5 3.0 136.73365783691406 0.004022461932697437 0.004022461932697437 0.5
3.0 3.5 4.0 61.20566940307617 0.0042419688824884135 0.0042419688824884135 0.5
4.0 4.5 5.0 28.00784683227539 0.005111555536233565 0.005111555536233565 0.5
5.0 5.5 6.0 14.751945495605469 0.006146820316228547 0.006146820316228547 0.5
6.0 6.5 7.0 10.02486801147461 0.007054544634489175 0.007054544634489175 0.5
7.0 7.5 8.0 8.622530937194824 0.007652176161066864 0.007652176161066864 0.5
8.0 8.5 9.0 7.988566875457764 0.007845195982255639 0.007845195982255639 0.5
9.0 9.5 10.0 7.2439446449279785 0.007609717471759383 0.007609717471759383 0.5
10.0 10.5 11.0 6.171150207519531 0.0070141000848291295 0.0070141000848291295 0.5
11.0 11.5 12.0 4.8756208419799805 0.006181795855574657 0.006181795855574657 0.5
12.0 12.5 13.0 3.6974892616271973 0.005215429033166879 0.005215429033166879 0.5
13.0 13.5 14.0 2.659939765930176 0.004244349184504027 0.004244349184504027 0.5
14.0 14.5 15.0 1.8910773992538452 0.0033536845409191367 0.0033536845409191367 0.5
15.0 15.5 16.0 1.4075391292572021 0.002642555581250847 0.002642555581250847 0.5
16.0 16.5 17.0 1.1215394735336304 0.00213976634238414 0.00213976634238414 0.5
17.0 17.5 18.0 0.9564855098724365 0.001862981481389442 0.001862981481389442 0.5
18.0 18.5 19.0 0.8889135122299194 0.0017878199014442144 0.0017878199014442144 0.5
19.0 19.5 20.0 0.9003204107284546 0.001874726646740799 0.001874726646740799 0.5
20.0 20.5 21.0 0.9248729944229126 0.0020306156701847843 0.0020306156701847843 0.5
21.0 21.5 22.0 1.009068489074707 0.0022233533232484666 0.0022233533232484666 0.5
22.0 22.5 23.0 1.0744318962097168 0.002420661066733631 0.002420661066733631 0.5
23.0 23.5 24.0 1.1503616571426392 0.0026073933343475435 0.0026073933343475435 0.5
24.0 24.5 25.0 1.2301952838897705 0.00277113695078392 0.00277113695078392 0.5
25.0 25.5 26.0 1.3201789855957031 0.0029262774988028733 0.0029262774988028733 0.5
26.0 26.5 27.0 1.3845250606536865 0.0030314517974066486 0.0030314517974066486 0.5
27.0 27.5 28.0 1.4249240159988403 0.003117996151376714 0.003117996151376714 0.5
28.0 28.5 29.0 1.4236984252929688 0.0031513806498104924 0.0031513806498104924 0.5
29.0 29.5 30.0 1.4257209300994873 0.00315607350991703 0.00315607350991703 0.5
30.0 30.5 31.0 1.4035935401916504 0.0031401751543504706 0.0031401751543504706 0.5
31.0 31.5 32.0 1.3534587621688843 0.00306659420204239 0.00306659420204239 0.5
32.0 32.5 33.0 1.2911860942840576 0.0029805200888435566 0.0029805200888435566 0.5
33.0 33.5 34.0 1.2214158773422241 0.0028803645602596905 0.0028803645602596905 0.5
34.0 34.5 35.0 1.1488926410675049 0.0027537792213610736 0.0027537792213610736 0.5
35.0 35.5 36.0 1.080916404724121 0.002636474919281426 0.002636474919281426 0.5
36.0 36.5 37.0 1.022474765777588 0.0024965376023605174 0.0024965376023605174 0.5
37.0 37.5 38.0 0.9348767995834351 0.002357583508595189 0.002357583508595189 0.5
38.0 38.5 39.0 0.8750492334365845 0.0022445266761613684 0.0022445266761613684 0.5
39.0 39.5 40.0 0.815743088722229 0.00212713422237526 0.00212713422237526 0.5
40.0 40.5 41.0 0.7637227773666382 0.0020438688803345486 0.0020438688803345486 0.5
41.0 41.5 42.0 0.7310521602630615 0.0019447364860052379 0.0019447364860052379 0.5
42.0 42.5 43.0 0.7080362439155579 0.001880132974020721 0.001880132974020721 0.5
43.0 43.5 44.0 0.6701428890228271 0.0018159295140505868 0.0018159295140505868 0.5
44.0 44.5 45.0 0.6422456502914429 0.00175527775579821 0.00175527775579821 0.5
45.0 45.5 46.0 0.628517746925354 0.0017081569014584113 0.0017081569014584113 0.5
46.0 46.5 47.0 0.6283951997756958 0.0016525434941326053 0.0016525434941326053 0.5
47.0 47.5 48.0 0.5817009210586548 0.0016004999218994047 0.0016004999218994047 0.5
48.0 48.5 49.0 0.5622870922088623 0.0015474172029546526 0.0015474172029546526 0.5
49.0 49.5 50.0 0.5521596074104309 0.0015087743370033838 0.0015087743370033838 0.5
50.0 50.5 51.0 0.5358909368515015 0.0014479640879524604 0.0014479640879524604 0.5
51.0 51.5 52.0 0.535757303237915 0.0014046351839534707 0.0014046351839534707 0.5
52.0 52.5 53.0 0.5201475620269775 0.0013438005804433932 0.0013438005804433932 0.5
53.0 53.5 54.0 0.48219072818756104 0.0012942179105544785 0.0012942179105544785 0.5
54.0 54.5 55.0 0.47126084566116333 0.0012435433245367852 0.0012435433245367852 0.5
55.0 55.5 56.0 0.467851847410202 0.0011967455869983396 0.0011967455869983396 0.5
56.0 56.5 57.0 0.46267664432525635 0.0011369696565871933 0.0011369696565871933 0.5
57.0 57.5 58.0 0.44468945264816284 0.0010982258419833329 0.0010982258419833329 0.5
58.0 58.5 59.0 0.44881781935691833 0.0010624970588194586 0.0010624970588194586 0.5
59.0 59.5 60.0 0.43308550119400024 0.0010134594219799824 0.0010134594219799824 0.5
60.0 60.5 61.0 0.41689062118530273 0.0009768827974736786 0.0009768827974736786 0.5
61.0 61.5 62.0 0.42645463347435 0.0009571833680126291 0.0009571833680126291 0.5
62.0 62.5 63.0 0.3971441686153412 0.0009200543462209176 0.0009200543462209176 0.5
