bin 	 mean 	 low 	high
0.5 	 3.3849422112647765 	 3.1493592098641168 	 3.6024551842677313 
1.3681725414878971 	 3.3979979471986175 	 3.1588626248496077 	 3.6135411840092195 
2.239985484363143 	 3.4139625867708814 	 3.173936399934717 	 3.62651031671184 
3.105676791155088 	 3.4362338473831473 	 3.197865762818165 	 3.6441608817894173 
4.022776888817182 	 3.4681035117833656 	 3.2370218045192134 	 3.6677440611286025 
4.990204004491596 	 3.5078906457891414 	 3.2926591117920307 	 3.6956469861241743 
5.982739045295728 	 3.5484899131412617 	 3.3537454596506664 	 3.723743326636882 
6.981071242700636 	 3.5846868433116126 	 3.4064116190936318 	 3.7496794066291916 
7.979884752877618 	 3.6162593997673445 	 3.448796939945447 	 3.7733242306171455 
8.979106241712131 	 3.644562922857441 	 3.4843846926209436 	 3.795394716298118 
9.978900877146986 	 3.670548642991511 	 3.516304391303868 	 3.815557332566719 
10.979023044221542 	 3.6946402698102614 	 3.545684509117807 	 3.8339568433476043 
11.979698133379454 	 3.7170256346863613 	 3.57339228599417 	 3.8511615783151565 
12.980760414032389 	 3.7378030447942865 	 3.5995813781894976 	 3.8671926764013103 
13.981704436947304 	 3.7570022067178783 	 3.623890321879595 	 3.881882156068774 
14.98243926017174 	 3.7746558496932794 	 3.6458710094065987 	 3.8953768294019127 
15.983129754443441 	 3.7909684476392 	 3.6663998152578103 	 3.908358107065954 
16.983948692845107 	 3.8061880677703797 	 3.685550846250961 	 3.920678028617741 
17.984781821906513 	 3.820405500869504 	 3.7028909782088393 	 3.9321455966493737 
18.985420045993266 	 3.833703717087175 	 3.7189826410589513 	 3.942762532694533 
19.98589574017091 	 3.8462532408573593 	 3.73405639547708 	 3.9530297250504085 
20.986281061092072 	 3.8581830432359423 	 3.7483290137620315 	 3.96314584212748 
21.986721190957542 	 3.8694843469890134 	 3.7618899578403875 	 3.9722857453641947 
22.987045654844287 	 3.8801391762348847 	 3.7746519711959454 	 3.9812401806381894 
23.987117318512325 	 3.8902634371227256 	 3.78627344055051 	 3.9897403099947315 
24.987577365015834 	 3.900008342169563 	 3.7975793542431013 	 3.997809379680713 
25.988275362035246 	 3.909389690868554 	 3.8086708837772396 	 4.005968933764559 
26.988683540809777 	 3.9183416540412774 	 3.819448563291864 	 4.013182178661769 
27.988916125951672 	 3.9269061090535087 	 3.829133688543227 	 4.02057180382109 
28.989295985157703 	 3.935192633940874 	 3.838894583297871 	 4.027406753090363 
29.989782037198154 	 3.9431811472426386 	 3.848424720028449 	 4.034290540501004 
30.99004975181411 	 3.9508035997790856 	 3.8569548413152135 	 4.04074759654099 
31.99017753071245 	 3.9581309348930036 	 3.8657723480448625 	 4.046715688491441 
32.99021828131771 	 3.9652224070055198 	 3.873596310177817 	 4.053049162002891 
33.990227001416635 	 3.9720883477730635 	 3.88188799825904 	 4.058597296843405 
34.9905311331303 	 3.9787904908155554 	 3.8894514403200304 	 4.064695237632277 
35.99076436453418 	 3.985228037014898 	 3.8970769385258954 	 4.070231567716347 
36.99087337045095 	 3.991327369928387 	 3.9038071269214845 	 4.075035005936851 
37.99117264882785 	 3.997240437510064 	 3.9109745231129756 	 4.080771207676707 
38.99128731946992 	 4.003029097749396 	 3.917257208048123 	 4.085749889520544 
39.991165369906525 	 4.008683735459003 	 3.924156821180049 	 4.090247643866838 
40.99093473448016 	 4.014198938759053 	 3.9300231641191856 	 4.095558733618024 
41.991169312970285 	 4.019554707670897 	 3.9361588034269466 	 4.100187741451671 
42.99152631924668 	 4.024777130343888 	 3.942205461705876 	 4.104358127637585 
43.99156270218052 	 4.029905041625186 	 3.947728413613539 	 4.1093164652916485 
44.991618701422894 	 4.034938600605184 	 3.9537836043069796 	 4.113863060048033 
45.991567257735426 	 4.039817750073271 	 3.9589952391726078 	 4.117837728596658 
46.99182190089917 	 4.0445534466348265 	 3.9642102630038987 	 4.121998944928783 
47.99206121620199 	 4.049206782640817 	 3.9698813544359672 	 4.126489411962037 
48.99194600744463 	 4.05375386916023 	 3.974500436304789 	 4.1304594715168905 
49.992017975123495 	 4.058183987617939 	 3.9795106979267114 	 4.133970911206006 
50.99209793254143 	 4.062511254853512 	 3.9849236761508906 	 4.137953485907167 
51.99211603827449 	 4.066755358641462 	 3.989191579810414 	 4.141941355709132 
52.992318328088665 	 4.070964861477883 	 3.993870779799492 	 4.145587855103687 
53.9926115700038 	 4.075088558030049 	 3.9989588387653785 	 4.148882414423831 
54.99283078384758 	 4.079080782536748 	 4.003138291733428 	 4.152664474105518 
55.99256954428229 	 4.082972016278062 	 4.007293143990041 	 4.156430998668748 
56.992209705435315 	 4.086761423307271 	 4.011744712171113 	 4.159768097509274 
57.992224873514964 	 4.090491577807532 	 4.016138402877308 	 4.162836345477892 
58.992456816808065 	 4.094182346233974 	 4.019928386913038 	 4.165922880742226 
59.99282368707619 	 4.097830305502409 	 4.02401057773906 	 4.1695109983415595 
60.99275074914889 	 4.101450441644833 	 4.028341642303077 	 4.172859279329452 
61.992608048884215 	 4.104975786658949 	 4.03206008687828 	 4.175963811685302 
62.992741211565914 	 4.1083964871549705 	 4.035484887503135 	 4.178774495935098 
63.99267851869922 	 4.111774637933859 	 4.039174257673314 	 4.181848036502819 
64.9926563653065 	 4.11505931207308 	 4.043165322468116 	 4.185005168350604 
65.99278988804768 	 4.118270766161101 	 4.046790504282966 	 4.187920123863169 
66.99328484620345 	 4.1215054984942965 	 4.050069764031625 	 4.19079502543235 
67.99332309441411 	 4.124720313719055 	 4.053477244211761 	 4.193513211596251 
